"Item","Type","CriticalSparePart","CriticalEquipment","Warehouse","SourcingGroup","StockDept","StockAll","SupplierCount","UnitCost","LeadTimeMean","LeadTimeStd","CompletedCycles","ProcurementType","ReceivingDate","LinkedEquipment","SparePartHoldingStd","DeptCode"
"Q1078248","보험품","X","O","QFC01","Q_Machining(General)","2","2","1","150000","48.75","13.12","8","국내","2024-09-12","FM Main Motor","","SEO26FF"
"Q1078249","보험품","X","O","QFC01","Q_Machining(General)","1","1","1","141000","52.17","14.63","6","국내","2023-04-11","FM Main Motor","","SEO26FF"
"Q1053247","보험품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","4","26881","49.44","13.33","9","국내","2026-01-28","FM Main Motor","","SEO26FF"
"Q1053248","보험품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","4","21000","44.12","10.96","8","국내","2026-01-28","FM Main Motor","","SEO26FF"
"Q1053287","보험품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","3","3","2","25000","62.50","12.02","2","국내","2025-10-28","FM Main Motor","","SEO26FF"
"Q1053317","계획품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","1","36000","54.33","22.85","3","국내","2019-11-04","FM Main Motor","","SEO26FF"
"Q1053318","계획품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","2","36850","55","22.54","4","국내","2019-10-31","FM Main Motor","","SEO26FF"
"Q1053378","계획품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","3","67000","61","8.68","4","국내","2019-11-29","FM Main Motor","","SEO26FF"
"Q1053392","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","5","176000","84.12","31.10","8","국내","2023-04-20","","","SEO26FF"
"Q1053400","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","4","150000","60.33","17.47","9","국내","2023-08-04","","","SEO26FF"
"Q1053401","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","1","1","4","150000","60.33","17.47","9","국내","2023-08-04","","","SEO26FF"
"Q1053468","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","3","190000","66.50","7.33","4","국내","2022-03-24","","","SEO26FF"
"Q1053581","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","1","1","4","9634025","70","30.95","11","국내","2024-08-26","","","SEO26FF"
"Q1053588","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","4","65000","51.85","13.72","13","국내","2025-06-25","","","SEO26FF"
"Q1053590","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","3","68750","56","12.18","6","국내","2025-06-23","","","SEO26FF"
"Q1117822","보험품","X","X","QHB24","Q_Manual Valve","1","1","1","1029700","52.50","20.42","6","국내","2026-06-09","","","SEO26FF"
"Q1051490","보험품","X","X","QFC01","Q_Instrument Parts","8","8","1","19716","35.20","9.98","5","국내","2022-01-04","","","SEO26FF"
"Q1119268","계획품","X","X","QHB24","Q_Fitting","60","60","1","23591","25","9.63","4","국내","2026-08-19","","","SEO26FF"
"Q1119452","계획품","X","X","QFC01","Q_Fitting","2","2","2","30636.98","102.05","142.50","19","수입","2026-05-28","","","SEO26FF"
"Q1119526","보험품","X","X","QFC01","Q_Fitting","0","2","9","317753","33.22","17.80","18","수입","2026-08-27","","","SEO26FF"
"Q1119649","보험품","X","X","QFC01","Q_Fitting","20","90","4","103889.63","88.19","96.14","21","수입","2026-06-11","","","SEO26FF"
"Q1119795","보험품","X","X","QFC01","Q_Fitting","1","6","3","728590.20","125","128.76","13","수입","2026-08-31","","","SEO26FF"
"Q1120753","보험품","X","X","QFC01","Q_Fitting","2","2","2","91511.60","241.00","170.44","534","수입","2026-08-12","","","SEO26FF"
"Q1121188","보험품","X","X","QFC01","Q_Fitting","0","0","1","384451","31.55","17.61","11","국내","2026-03-11","","","SEO26FF"
"Q1000751","계획품","X","X","QFC01","Q_Hydraulic Cylinder","2","2","4","1285000","89","15.58","6","국내","2026-03-26","","","SEO26FF"
"Q1204795","보험품","X","X","QFC01","Q_Packing & Seal","12","12","1","16373","30.25","23.29","8","국내","2022-01-10","","","SEO26FF"
"Q1204949","보험품","X","X","QFC01","Q_Packing & Seal","13","33","1","1880.35","71.71","55.88","31","국내","2026-05-08","","","SEO26FF"
"Q1305036","계획품","X","X","QFC01","Q_Packing & Seal","10","10","1","2867","30","0","1","국내","2017-06-07","","","SEO26FF"
"Q1002238","보험품","X","X","QFC01","Q_Manual Valve","1","1","2","197767","42.12","35.95","8","수입","2025-10-27","","","SEO26FF"
"Q1002292","보험품","X","X","QFC01","Q_Packing & Seal","10","25","10","1765.50","68.96","41.89","25","수입","2025-09-23","","","SEO26FF"
"Q1201276","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","1","1","1","475153","60.14","41.40","7","국내","2025-11-11","","","SEO26FF"
"Q1201564","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","1","3","1","98467200","125.17","87.96","23","국내","2026-08-20","","","SEO26FF"
"Q1004847","계획품","X","X","QVC07","Q_Steel Material","30","30","4","48014","30.21","24.07","76","수입","2024-10-24","","","SEO26FF"
"Q1005323","계획품","X","X","QVC07","Q_Steel Material","322.56","1209.6000000000001","9","4509","26.30","21.73","118","수입","2026-08-25","","","SEO26FF"
"Q1011982","계획품","X","X","QFC01","Q_Bolt & Nut","100","100","1","2791","48.80","16.59","10","국내","2026-05-27","","","SEO26FF"
"Q1021614","보험품","X","X","QFC01","Q_Packing & Seal","10","10","1","117.50","44.75","18.80","12","국내","2026-05-27","","","SEO26FF"
"Q1021836","보험품","X","X","QFC01","Q_Packing & Seal","3","16","7","55.59","86.57","78.77","63","수입","2026-05-14","","","SEO26FF"
"Q1021920","보험품","X","X","QFC01","Q_Packing & Seal","15","73","9","611.45","82.23","73.61","88","수입","2026-05-12","","","SEO26FF"
"Q1030043","계획품","X","O","QFC01","Q_Drive Coupling","1","1","4","210000","64.90","24.53","10","국내","2025-11-24","FM Spindle 감속기","","SEO26FF"
"Q1030044","계획품","X","O","QFC01","Q_Drive Coupling","1","1","4","210000","68.60","21.25","10","국내","2025-11-24","FM Spindle 감속기","","SEO26FF"
"Q1030453","계획품","X","X","QFC01","Q_Hydraulic & Pneumatics","6","7","1","51285","57.50","37.83","8","국내","2024-12-26","","","SEO26FF"
"Q1293261","계획품","X","X","QHB24","Q_Hydraulic Cylinder","1","1","1","11770000","84","0","1","국내","2019-01-25","","","SEO26FF"
"Q1297201","보험품","X","X","QFC01","Q_Packing & Seal","22","22","2","342.88","73.11","62.73","38","수입","2026-02-20","","","SEO26FF"
"Q1297240","계획품","X","X","QFC01","Q_Ball & Roller BRG","2","2","1","63716.30","42.20","13.88","5","국내","2018-09-18","","","SEO26FF"
"Q1308654","계획품","X","X","QFC01","Q_Hydraulic & Pneumatics","1","3","1","895678","137.27","49.38","15","국내","2025-02-21","","","SEO26FF"
"Q1012773","계획품","X","X","QHB25","Q_Bolt & Nut","2","2","1","12404","68.50","25.30","4","국내","2026-04-20","","","SEO26FF"
"Q1012781","보험품","X","X","QFC01","Q_Bolt & Nut","50","50","1","4135","61.40","16.89","10","국내","2024-10-21","","","SEO26FF"
"Q1018930","보험품","X","X","QFC01","Q_Ball & Roller BRG","1","14","2","3168.71","134.25","188.40","16","수입","2026-08-14","","","SEO26FF"
"Q1019015","보험품","X","X","QFC01","Q_Ball & Roller BRG","1","1","1","509948.82","57.57","69.78","56","국내","2026-07-02","","","SEO26FF"
"Q1019385","계획품","X","O","QVC03","Q_Ball & Roller BRG","2","2","1","41063883","341.75","140.86","4","국내","2020-06-18","FM Crop Shear","","SEO26FF"
"Q1023561","보험품","X","X","QFC01","Q_Packing & Seal","14","14","1","2300","52.27","18.54","15","국내","2023-08-17","","","SEO26FF"
"Q1023576","보험품","X","X","QFC01","Q_Packing & Seal","1","1","1","12440","47.67","8.96","3","국내","2024-08-19","","","SEO26FF"
"Q1024150","보험품","X","X","QFC01","Q_Packing & Seal","9","9","3","5834.02","56.12","78.04","17","수입","2026-05-29","","","SEO26FF"
"Q1024335","보험품","X","X","QFC01","Q_Packing & Seal","32","45","3","31939.05","120.32","55.19","19","수입","2024-12-12","","","SEO26FF"
"Q1031104","계획품","X","X","QFC01","Q_Hydraulic & Pneumatics","1","1","","401049","","","0","(미확인)","","","","SEO26FF"
"Q1031233","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","2","2","1","1690348","191.17","59.36","6","국내","2026-03-06","","","SEO26FF"
"Q1031361","계획품","X","X","QHB24","Q_Hydraulic & Pneumatics","3","7","1","939998","209","81.74","15","국내","2026-07-20","","","SEO26FF"
"Q1031708","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","1","1","1","260175","146","1.41","2","국내","2022-04-27","FM Main Motor","","SEO26FF"
"Q1032182","보험품","X","O","QFC01","Q_Hydraulic & Pneumatics","1","1","1","558639","67.33","7.64","3","국내","2021-07-27","FM Roll Alignment","","SEO26FF"
"Q1035525","계획품","X","X","QHB24","Q_Machinery Common","4","22","5","99452.24","62.30","76.89","439","수입","2026-08-26","","","SEO26FF"
"Q1036694","보험품","X","X","QFC01","Q_Drive Coupling","3","3","2","85000","39.14","17.59","7","국내","2025-09-23","","","SEO26FF"
"Q1036702","보험품","X","X","QFC01","Q_Drive Coupling","3","3","2","82500","58.25","15.75","16","국내","2026-05-28","","","SEO26FF"
"Q1036822","계획품","X","X","QFC01","Q_Expan/Joint(Non-Metal)","2","2","","570000","65","8.49","2","(미확인)","2015-05-22","","","SEO26FF"
"Q1036844","계획품","X","X","QFC01","Q_Expan/Joint(Non-Metal)","4","4","2","650333.33","73.67","23.44","3","국내","2021-06-22","","","SEO26FF"
"Q1036971","계획품","X","X","QFC01","Q_Expan/Joint(Non-Metal)","12","32","6","560000","52.38","25.60","50","국내","2026-06-17","","","SEO26FF"
"Q1040729","보험품","X","X","QFC01","Q_Pneumatic Cylinder","2","3","4","1460000","75.43","18.24","7","국내","2024-11-07","","","SEO26FF"
"Q1041363","계획품","X","X","QFC01","Q_Drive Joint","1","1","","1000000","","","0","(미확인)","","","","SEO26FF"
"Q1041364","보험품","X","X","QFC01","Q_Drive Joint","5","5","3","825000","58.83","16.19","6","국내","2023-06-02","","","SEO26FF"
"Q1041372","보험품","X","X","QFC01","Q_Drive Joint","4","4","3","4700000","59.67","10.17","6","국내","2023-06-15","","","SEO26FF"
"Q1080083","계획품","X","O","QFC01","Q_Bolt & Nut","1","1","","1750000","","","0","(미확인)","","FM Screw Down","","SEO26FF"
"Q1080084","계획품","X","O","QFC01","Q_Bolt & Nut","1","1","","1750000","","","0","(미확인)","","FM Screw Down","","SEO26FF"
"Q1080117","계획품","X","X","QFC01","Q_Machining(General)","2","2","1","20500","60","0","1","국내","2016-11-30","","","SEO26FF"
"Q1010099","계획품","X","X","QFC01","Q_Fitting","9","9","3","43384.12","37","18.24","8","수입","2026-02-05","","","SEO26FF"
"Q1010193","계획품","X","X","QHB24","Q_Fitting","15","25","2","14411","25.90","13.16","21","수입","2026-08-18","","","SEO26FF"
"Q1010224","보험품","X","X","QFC01","Q_Fitting","7","7","2","116059","39","21.32","8","수입","2025-09-12","","","SEO26FF"
"Q1010299","보험품","X","X","QFC01","Q_Fitting","4","4","3","239090.13","59.14","77.94","22","수입","2025-10-26","","","SEO26FF"
"Q1015021","계획품","X","X","QHB24","Q_Machinery Common","54","54","2","41.30","49.75","24.73","8","국내","2026-06-25","","","SEO26FF"
"Q1019683","보험품","X","X","QFC01","Q_Ball & Roller BRG","2","2","1","10049325","177.94","95.76","16","국내","2026-04-17","","","SEO26FF"
"Q1019689","계획품","X","X","QFC01","Q_Ball & Roller BRG","3","3","","8021737.20","","","0","(미확인)","","","","SEO26FF"
"Q1019695","계획품","X","X","QVC03","Q_Ball & Roller BRG","2","2","1","50274148","403.67","200.05","3","국내","2020-08-25","","","SEO26FF"
"Q1019962","보험품","X","X","QFC01","Q_Ball & Roller BRG","1","8","3","310787","67.44","68.41","9","수입","2019-10-18","","","SEO26FF"
"Q1020094","계획품","X","X","QFC01","Q_Ball & Roller BRG","2","2","1","1898633.38","83.80","48.14","5","국내","2025-08-26","","","SEO26FF"
"Q1020168","보험품","X","X","QFC01","Q_Ball & Roller BRG","2","3","1","3293252.14","215.71","214.08","7","국내","2025-09-25","","","SEO26FF"
"Q1020996","보험품","X","X","QFC01","Q_Machinery Common","2","2","1","87855","83.67","40.38","3","국내","2022-04-18","","","SEO26FF"
"Q1024603","보험품","X","X","QFC01","Q_Packing & Seal","14","14","1","16667","55.58","20.21","12","국내","2021-03-03","","","SEO26FF"
"Q1024620","보험품","X","X","QFC01","Q_Packing & Seal","10","10","1","10833","48.95","17.36","21","국내","2025-05-21","","","SEO26FF"
"Q1029602","보험품","X","O","QFC01","Q_Drive Coupling","4","4","2","1650000","63.12","18.91","8","국내","2025-10-16","FM Spindle 감속기","","SEO26FF"
"Q1029614","계획품","X","O","QFC01","Q_Drive Coupling","1","1","1","1241316","57","0","2","국내","2016-01-29","FM Spindle 감속기","","SEO26FF"
"Q1029653","계획품","X","O","QFC01","Q_Drive Coupling","3","3","2","150000","78.33","8.62","3","국내","2025-09-01","FM Crop Shear","","SEO26FF"
"Q1029662","보험품","X","X","QFC01","Q_Drive Coupling","5","5","3","275000","60.40","13.18","5","국내","2025-09-08","","","SEO26FF"
"Q1029893","계획품","X","X","QFC01","Q_Drive Coupling","1","3","4","180000","60","25.27","14","국내","2025-12-18","","","SEO26FF"
"Q1033612","보험품","X","X","QFC01","Q_Hydraulic & Pneumatics","2","2","1","230834","85","0","1","국내","2016-02-03","","","SEO26FF"
"Q1033796","계획품","X","X","QFC01","Q_Hydraulic & Pneumatics","3","3","1","161798.53","97.50","12.02","2","수입","2016-07-07","","","SEO26FF"
"Q1033995","계획품","X","X","QHB27","Q_Hydraulic & Pneumatics","5","5","1","26282850","126.60","45.40","42","국내","2026-08-27","","","SEO26FF"
"Q1034231","계획품","X","X","QHB25","Q_Hydraulic & Pneumatics","3","3","1","97916500","144.70","47.48","10","국내","2026-07-28","","","SEO26FF"
"Q1034397","계획품","X","X","QHB24","Q_Hydraulic & Pneumatics","6","6","2","1442980","81.88","29.78","8","수입","2025-09-17","FM Main Motor","","SEO26FF"
"Q1039075","계획품","X","X","QFC01","Q_Hydraulic Cylinder","9","9","4","3390000","93.32","24.19","19","국내","2026-08-27","","","SEO26FF"
"Q1039945","계획품","X","X","QFC01","Q_Hydraulic Cylinder","3","5","3","830000","102.20","23.32","5","국내","2025-02-25","","","SEO26FF"
"Q1039948","계획품","X","X","QFC01","Q_Hydraulic Cylinder","3","3","5","2350000","99","27.66","10","국내","2026-01-08","","","SEO26FF"
"Q1039950","보험품","X","X","QFC01","Q_Hydraulic Cylinder","4","4","6","3380000","89.33","24.86","9","국내","2026-05-21","","","SEO26FF"
"Q1039951","계획품","X","X","QFC01","Q_Hydraulic Cylinder","1","2","4","2600000","88.67","33.52","6","국내","2025-10-30","","","SEO26FF"
"Q1040051","보험품","O","X","QFC01","Q_Hydraulic Cylinder","1","1","5","3630000","85.62","21.69","8","국내","2026-03-18","","2","SEO26FF"
"Q1040053","계획품","X","X","QFC01","Q_Hydraulic Cylinder","1","1","3","1220000","85.10","13.09","10","국내","2025-05-30","","","SEO26FF"
"Q1040054","보험품","X","X","QFC01","Q_Hydraulic Cylinder","2","2","4","1857000","80.27","20.01","11","국내","2026-05-27","","","SEO26FF"
"Q1040058","보험품","X","X","QFC01","Q_Hydraulic Cylinder","1","1","4","690000","71.13","21.88","15","국내","2026-02-19","","","SEO26FF"
"Q1040060","계획품","X","X","QFC01","Q_Hydraulic Cylinder","7","7","1","630000","122","2.83","2","국내","2017-06-02","","","SEO26FF"
"Q1040061","보험품","X","X","QFC01","Q_Hydraulic Cylinder","4","5","8","1950000","94.23","19.69","13","국내","2026-06-30","","","SEO26FF"
"Q1040065","계획품","X","X","QFC01","Q_Hydraulic Cylinder","1","1","3","2005000","74","22.11","3","국내","2024-02-23","","","SEO26FF"
"Q1040129","계획품","X","X","QFC01","Q_Hydraulic Cylinder","3","3","4","2030000","98.60","15.87","5","국내","2024-02-14","","","SEO26FF"
"Q1080541","계획품","X","X","QFC01","Q_Machining(General)","1","1","5","650000","53.50","10.45","6","국내","2026-08-20","","","SEO26FF"
"Q1080794","계획품","X","X","QHB25","Q_Machining(General)","4","4","1","214800","45.50","9.19","2","국내","2025-11-07","","","SEO26FF"
"Q1080969","계획품","X","X","QFC01","Q_Machining(General)","2","2","1","135000","44","0","1","국내","2020-04-17","","","SEO26FF"
"Q1080970","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","125000","44","0","1","국내","2020-04-17","","","SEO26FF"
"Q1113604","계획품","X","X","QVC07","Q_Steel Material","24","24","1","837206","43.50","27.90","8","국내","2024-04-18","","","SEO26FF"
"Q2008527","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","2","74000","63.20","18.19","5","국내","2024-10-14","","","SEO26FF"
"Q2013987","계획품","X","O","QFC01","Q_Hydraulic Cylinder","2","2","1","5380000","125","0","1","국내","2017-06-30","FM Crop Shear","","SEO26FF"
"Q2015221","계획품","X","X","QFC01","Q_Ball & Roller BRG","3","6","2","626687","335","404.83","3","수입","2025-05-09","","","SEO26FF"
"Q2018730","보험품","X","X","QFC01","Q_Drive Coupling","11","11","2","187000","55.60","14.08","5","국내","2025-09-08","","","SEO26FF"
"Q2019637","계획품","X","X","QHB24","Q_Drive Coupling","3","3","2","1400000","61.57","23.84","14","국내","2025-12-17","","","SEO26FF"
"Q1072616","계획품","X","X","QFC01","Q_Machining(General)","8","8","2","1289380","64","19.52","3","국내","2016-12-07","","","SEO26FF"
"Q1072668","보험품","X","X","QFC01","Q_Machining(General)","20","20","1","6400","41","0","1","국내","2022-01-26","","","SEO26FF"
"Q1072820","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","96000","41.38","16.83","8","국내","2026-01-29","","","SEO26FF"
"Q1072821","보험품","X","X","QFC01","Q_Machining(General)","4","4","2","45200","52.06","16.50","17","국내","2025-06-30","","","SEO26FF"
"Q1072836","보험품","X","X","QVC03","Q_Machining(General)","1","1","2","4200000","86.80","13.75","5","국내","2025-08-25","FM Main Motor","","SEO26FF"
"Q1072924","계획품","X","X","QFC01","Q_Machining(General)","2","2","4","537550","65.86","21.52","7","국내","2019-10-28","","","SEO26FF"
"Q1072926","계획품","X","X","QFC01","Q_Machining(General)","3","3","2","12342666.67","77.38","41.78","8","국내","2020-02-04","","","SEO26FF"
"Q1072928","계획품","X","X","QHB24","Q_Gear & Gear box","2","2","2","20000000","147.43","53.88","7","국내","2026-07-29","","","SEO26FF"
"Q1072961","보험품","X","X","QFC01","Q_Resinoid Class (Bakelite)","4","4","4","76346","46.78","14.99","9","국내","2024-09-06","","","SEO26FF"
"Q1072973","보험품","X","X","QFC01","Q_Machining(General)","14","14","2","40500","55","3.61","3","국내","2022-04-06","","","SEO26FF"
"Q1072995","계획품","X","O","QVC03","Q_Machining(General)","1","1","1","3203333.33","55","0","1","국내","2016-12-29","FM Roll Alignment","","SEO26FF"
"Q1073040","계획품","X","X","QFC01","Q_Machining(General)","1","1","","1080000","","","0","(미확인)","","","","SEO26FF"
"Q1073183","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","38190","52","24.04","2","국내","2019-11-11","","","SEO26FF"
"Q1073184","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","22910","48.50","28.99","2","국내","2019-11-04","","","SEO26FF"
"Q1073210","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","1","1","3","320000","80","6.24","3","국내","2019-09-30","","","SEO26FF"
"Q1073215","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","1","1","3","320000","80","6.24","3","국내","2019-09-30","","","SEO26FF"
"Q1073310","계획품","X","X","QVC03","Q_Machining(General)","1","1","","3180000","","","0","(미확인)","","","","SEO26FF"
"Q1073449","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","5280","53.33","12.86","3","국내","2020-02-27","","","SEO26FF"
"Q1073553","계획품","X","X","QHB25","Q_Non/Fe Casting Metal(Copper)","4","4","","476739","","","0","(미확인)","","","","SEO26FF"
"Q1073590","보험품","X","X","QHB25","Q_Machining(General)","8","8","2","123500","49.50","19.04","16","국내","2025-07-24","","","SEO26FF"
"Q1073594","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","8","8","3","80000","52.25","12.53","8","국내","2023-04-18","","","SEO26FF"
"Q1073859","보험품","X","X","QFC01","Q_Machining(General)","1","1","2","145000","65.67","8.50","3","국내","2021-10-01","","","SEO26FF"
"Q1073865","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","20900","43","0","1","국내","2018-08-30","","","SEO26FF"
"Q1073866","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","4400","49","0","1","국내","2018-09-05","","","SEO26FF"
"Q1073870","보험품","X","X","QFC01","Q_Machining(General)","2","2","1","37400","43","0","1","국내","2018-08-30","","","SEO26FF"
"Q1121309","계획품","X","X","QFC01","Q_Fitting","1","1","1","63430.17","38.25","12.01","4","국내","2022-08-25","","","SEO26FF"
"Q1122097","보험품","X","X","QFC01","Q_Bolt & Nut","100","100","1","1003","35.12","21.83","8","국내","2025-05-15","","","SEO26FF"
"Q1269776","보험품","X","X","QFC01","Q_Spare Parts","2","2","","748071.42","","","0","(미확인)","","","","SEO26FF"
"Q2011794","계획품","X","X","QHB24","Q_Steel Grating","6","6","3","103470","32.52","13.68","50","수입","2026-07-31","","","SEO26FF"
"Q2011846","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","3","3","1","545000","78","2","3","국내","2023-07-18","","","SEO26FF"
"Q1076627","계획품","X","X","QFC01","Q_Drive Coupling","1","1","1","1150000","77","3.61","3","국내","2026-08-05","","","SEO26FF"
"Q1076630","계획품","X","X","QFC01","Q_Drive Coupling","2","2","1","3800000","54","28.82","7","국내","2023-01-09","","","SEO26FF"
"Q1077285","보험품","X","X","QFC01","Q_Machining(General)","10","10","1","200000","58.17","8.13","6","국내","2022-06-20","","","SEO26FF"
"Q1077340","계획품","X","X","QHB24","Q_Machining(General)","1","1","2","5100000","70.60","13.24","5","국내","2026-04-28","","","SEO26FF"
"Q1077367","계획품","X","X","QFC01","Q_Machining(General)","3","3","3","127825","51.33","9.67","6","국내","2020-03-05","","","SEO26FF"
"Q1077400","계획품","X","O","QFC01","Q_Non/Fe Casting Metal(Copper)","2","2","1","35150","58","29.21","3","국내","2018-02-12","FM Roll Alignment","","SEO26FF"
"Q1077476","보험품","X","O","QFC01","Q_Gear & Gear box","2","3","4","13800000","87.60","13.01","5","국내","2025-10-15","FM Spindle 감속기","","SEO26FF"
"Q1077486","계획품","X","X","QVC03","Q_Machining(General)","4","4","3","600000","63.33","17.81","15","국내","2026-08-06","","","SEO26FF"
"Q1077487","계획품","X","X","QVC03","Q_Machining(General)","4","4","3","600000","63.33","17.81","15","국내","2026-08-06","","","SEO26FF"
"Q1077622","계획품","X","O","QFC01","Q_Machining(General)","1","1","1","3524000","102","0","1","국내","2020-03-31","FM Roll Alignment","","SEO26FF"
"Q1077624","보험품","X","X","QVC03","Q_Machining(General)","1","1","1","10200000","95.33","13.32","3","국내","2025-07-28","","","SEO26FF"
"Q1077646","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","470000","68","0","1","국내","2014-09-25","","","SEO26FF"
"Q1077670","보험품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","10","10","4","2000000","71.31","45.61","32","국내","2026-04-08","","","SEO26FF"
"Q1077676","계획품","X","X","QFC01","Q_Machining(General)","40","40","1","7765.85","49.06","16.34","17","국내","2025-07-30","","","SEO26FF"
"Q1077684","보험품","X","X","QFC01","Q_Gear & Gear box","3","5","3","6700000","81.33","11.68","3","국내","2025-10-02","","","SEO26FF"
"Q1077685","보험품","X","X","QFC01","Q_Gear & Gear box","3","4","1","2600000","86.67","15.70","3","국내","2025-12-30","","","SEO26FF"
"Q1077724","계획품","X","X","QVC03","Q_Machining(General)","6","6","4","550000","62.65","15.03","17","국내","2026-08-06","","","SEO26FF"
"Q1077747","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","63400","50.83","26.45","6","국내","2023-03-22","","","SEO26FF"
"Q1077761","계획품","X","X","QFC01","Q_Machining(General)","7","7","1","141000","57.17","20.83","12","국내","2026-05-12","","","SEO26FF"
"Q1077763","계획품","X","X","QFC01","Q_Machining(General)","7","7","1","101000","66.75","15.91","8","국내","2026-05-12","","","SEO26FF"
"Q1077776","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","4","4","4","5450000","79.19","29.91","16","국내","2026-04-23","","","SEO26FF"
"Q1077777","계획품","X","X","QFC01","Q_Non/Fe Casting Metal(Copper)","12","12","3","1680000","61.10","16.60","30","국내","2026-04-08","","","SEO26FF"
"Q1077786","계획품","X","X","QFC01","Q_Machining(General)","1","1","1","1180494.44","65.50","33.88","12","국내","2025-08-28","","","SEO26FF"
"Q1077922","계획품","X","X","QHB25","Q_Machining(General)","1","1","","1100000","","","0","(미확인)","","","","SEO26FF"
"Q1077925","계획품","X","X","QFC01","Q_Machining(General)","4","4","1","1130000","60","2.83","2","국내","2023-04-21","","","SEO26FF"
"Q1077941","보험품","X","X","QHB25","Q_Machining(General)","4","4","2","195000","49.33","6.51","3","국내","2026-02-02","","","SEO26FF"
"Q1078004","보험품","X","X","QFC01","Q_Machining(General)","1","3","2","116025","58.80","13.44","5","국내","2018-09-14","","","SEO26FF"
