"Signal","Status","Item","Type","Equipment","Kind","StopDate","OrderByDate","D_days","ExpectedNeed","CurrentStock","OrderNeed","OrderAmount","DeptCode"
"red","즉시발주","Q4015405","계획품","FM Roll Alignment","대수리","2026-09-04","2026-05-17","-109","2","1","1","2119000","SEO26FF"
"red","즉시발주","Q4015414","보험품","","상시","","","","4","1","3","118800","SEO26FF"
"red","즉시발주","Q4026534","계획품","FM Main Motor","대수리","2026-09-04","2026-05-21","-105","200","100","100","1600000","SEO26FF"
"red","즉시발주","Q4080430","계획품","FM Main Motor","대수리","2026-09-04","2026-05-05","-121","2","1","1","5700000","SEO26FF"
"red","즉시발주","Q4246475","보험품","Stand Main TR","상시","","","","10","2","8","3113776","SEO26FF"
"red","즉시발주","Q4357975","보험품","","상시","","","","3","1","2","7604980","SEO26FF"
"red","즉시발주","Q4419677","계획품","FM Roll Alignment","대수리","2026-09-04","2026-05-01","-125","8","4","4","3200000","SEO26FF"
"red","즉시발주","Q4541491","보험품","","상시","","","","8","2","6","5250000","SEO26FF"
"red","즉시발주","Q4541492","보험품","","상시","","","","8","2","6","5250000","SEO26FF"
"red","즉시발주","Q1000737","보험품","","상시","","","","1","0","1","760000","SEO26FF"
"red","즉시발주","Q1000781","보험품","","상시","","","","2","0","2","10913448","SEO26FF"
"red","즉시발주","Q1000971","보험품","","상시","","","","1","0","1","3567054","SEO26FF"
"red","즉시발주","Q1032374","보험품","","상시","","","","3","0","3","625842","SEO26FF"
"red","즉시발주","Q1039284","보험품","","상시","","","","2","0","2","10870000","SEO26FF"
"red","즉시발주","Q1040012","보험품","","상시","","","","2","0","2","13641810","SEO26FF"
"red","즉시발주","Q1040224","보험품","","상시","","","","2","0","2","17872000","SEO26FF"
"red","즉시발주","Q1040225","보험품","","상시","","","","2","0","2","10523682","SEO26FF"
"red","즉시발주","Q1040312","보험품","","상시","","","","4","0","4","4480000","SEO26FF"
"red","즉시발주","Q1042421","보험품","","상시","","","","1","0","1","5550000","SEO26FF"
"red","즉시발주","Q1049004","보험품","","상시","","","","1","0","1","3016846","SEO26FF"
"red","즉시발주","Q1071793","보험품","","상시","","","","25","0","25","1908725","SEO26FF"
"red","즉시발주","Q1073119","보험품","","상시","","","","1","0","1","6502210","SEO26FF"
"red","즉시발주","Q1073185","보험품","","상시","","","","24","0","24","1778496","SEO26FF"
"red","즉시발주","Q1073416","보험품","","상시","","","","24","0","24","1832376","SEO26FF"
"red","즉시발주","Q1073453","보험품","","상시","","","","21","0","21","1603329","SEO26FF"
"red","즉시발주","Q1074634","보험품","","상시","","","","2","0","2","126304000","SEO26FF"
"red","즉시발주","Q1074772","보험품","","상시","","","","4","0","4","208620000","SEO26FF"
"red","즉시발주","Q1078283","보험품","","상시","","","","4","0","4","23796240","SEO26FF"
"red","즉시발주","Q1218393","보험품","","상시","","","","1","0","1","2577600","SEO26FF"
"red","즉시발주","Q1292612","보험품","","상시","","","","6","0","6","29400000","SEO26FF"
"red","즉시발주","Q1314441","보험품","","상시","","","","1","0","1","3598518","SEO26FF"
"red","즉시발주","Q1316039","보험품","","상시","","","","1","0","1","135333","SEO26FF"
"red","즉시발주","Q2010934","보험품","","상시","","","","2","0","2","0","SEO26FF"
"red","즉시발주","Q2024559","보험품","","상시","","","","3","1","2","18000000","SEO26FF"
"red","즉시발주","Q2028061","보험품","","상시","","","","2","0","2","168050800","SEO26FF"
"red","즉시발주","Q2028134","보험품","","상시","","","","1","0","1","9333184","SEO26FF"
"red","즉시발주","Q2045742","보험품","","상시","","","","1","0","1","4099280","SEO26FF"
"red","즉시발주","Q2074769","보험품","","상시","","","","4","0","4","1640000","SEO26FF"
"red","즉시발주","Q2094703","보험품","","상시","","","","1","0","1","18565170","SEO26FF"
"red","즉시발주","Q2118996","보험품","","상시","","","","1","0","1","2396595","SEO26FF"
"red","즉시발주","Q2124049","보험품","","상시","","","","15","0","15","6000000","SEO26FF"
"red","즉시발주","Q2130293","보험품","","상시","","","","1","0","1","4616560","SEO26FF"
"red","즉시발주","Q2143592","보험품","","상시","","","","1","0","1","7982500","SEO26FF"
"red","즉시발주","Q2143616","보험품","","상시","","","","1","0","1","541022","SEO26FF"
"red","즉시발주","Q2226242","보험품","","상시","","","","1","0","1","11730000","SEO26FF"
"red","즉시발주","Q4018011","보험품","","상시","","","","10","3","7","5147270","SEO26FF"
"red","즉시발주","Q4018015","보험품","","상시","","","","8","1","7","17729468","SEO26FF"
"red","즉시발주","Q4018018","보험품","","상시","","","","13","1","12","36603797","SEO26FF"
"red","즉시발주","Q4018023","보험품","","상시","","","","1","0","1","2757626","SEO26FF"
"red","즉시발주","Q4169634","보험품","","상시","","","","2","0","2","10486132","SEO26FF"
"red","즉시발주","Q4178355","보험품","","상시","","","","4","0","4","77800000","SEO26FF"
"red","즉시발주","Q4185031","보험품","","상시","","","","4","0","4","7840000","SEO26FF"
"red","즉시발주","Q4210213","보험품","","상시","","","","2","0","2","19900000","SEO26FF"
"red","즉시발주","Q4521625","보험품","","상시","","","","1","0","1","1040000000","SEO26FF"
"red","즉시발주","Q4604630","보험품","","상시","","","","1","0","1","1503362000","SEO26FF"
"red","즉시발주","QS424543","보험품","","상시","","","","1","0","1","98500000","SEO26FF"
"yellow","발주임박","Q1000108","보험품","","상시","","","","2","1","1","1422190","SEO26FF"
"yellow","발주임박","Q1052919","보험품","","상시","","","","3","2","1","39000","SEO26FF"
"yellow","발주임박","Q1201276","보험품","","상시","","","","2","1","1","475153","SEO26FF"
"yellow","발주임박","Q1201564","보험품","","상시","","","","2","1","1","98467200","SEO26FF"
"yellow","발주임박","Q1012781","보험품","","상시","","","","100","50","50","206750","SEO26FF"
"yellow","발주임박","Q1032182","보험품","FM Roll Alignment","상시","","","","2","1","1","558639","SEO26FF"
"yellow","발주임박","Q1010299","보험품","","상시","","","","7","4","3","717270","SEO26FF"
"yellow","발주임박","Q1024620","보험품","","상시","","","","12","10","2","21666","SEO26FF"
"yellow","발주임박","Q1040051","보험품","","상시","","","","2","1","1","3630000","SEO26FF"
"yellow","발주임박","Q1072820","보험품","","상시","","","","3","2","1","96000","SEO26FF"
"yellow","발주임박","Q1072836","보험품","FM Main Motor","상시","","","","2","1","1","4200000","SEO26FF"
"yellow","발주임박","Q1073590","보험품","","상시","","","","15","8","7","864500","SEO26FF"
"yellow","발주임박","Q1077285","보험품","","상시","","","","14","10","4","800000","SEO26FF"
"yellow","발주임박","Q1078004","보험품","","상시","","","","2","1","1","116025","SEO26FF"
"yellow","발주임박","Q1034310","보험품","","상시","","","","4","2","2","639626","SEO26FF"
"yellow","발주임박","Q2059082","보험품","","상시","","","","7","5","2","26000","SEO26FF"
"yellow","발주임박","Q2060148","보험품","","상시","","","","14","10","4","80000","SEO26FF"
"yellow","발주임박","Q2060463","보험품","","상시","","","","2","1","1","4970000","SEO26FF"
"yellow","발주임박","Q2060474","보험품","","상시","","","","2","1","1","3490000","SEO26FF"
"yellow","발주임박","Q2064661","보험품","","상시","","","","2","1","1","970000","SEO26FF"
"yellow","발주임박","Q2066145","보험품","","상시","","","","2","1","1","1050000","SEO26FF"
"yellow","발주임박","Q2076004","보험품","","상시","","","","4","2","2","8142530","SEO26FF"
"yellow","발주임박","Q2087261","보험품","","상시","","","","2","1","1","218106","SEO26FF"
"yellow","발주임박","Q2091278","보험품","","상시","","","","2","1","1","6880000","SEO26FF"
"yellow","발주임박","Q2095281","보험품","","상시","","","","2","1","1","1590000","SEO26FF"
"yellow","발주임박","Q2096490","보험품","","상시","","","","2","1","1","1253120","SEO26FF"
"yellow","발주임박","Q2101009","보험품","FM Screw Down","상시","","","","6","4","2","26824","SEO26FF"
"yellow","발주임박","Q2194827","보험품","","상시","","","","3","2","1","551000","SEO26FF"
"yellow","발주임박","Q2200466","보험품","","상시","","","","6","4","2","26824","SEO26FF"
"yellow","발주임박","Q2228118","보험품","","상시","","","","2","1","1","900000","SEO26FF"
"yellow","발주임박","Q4012998","보험품","Walking Beam 기어베어링","상시","","","","3","2","1","300000","SEO26FF"
"yellow","발주임박","Q4020699","보험품","Table Roller 기어박스","상시","","","","5","3","2","310710","SEO26FF"
"yellow","발주임박","Q4047391","보험품","","상시","","","","2","1","1","4470495","SEO26FF"
"yellow","발주임박","Q4124066","보험품","","상시","","","","2","1","1","467112","SEO26FF"
"yellow","발주임박","Q4169942","보험품","","상시","","","","2","1","1","5641350","SEO26FF"
"yellow","발주임박","Q4172575","보험품","","상시","","","","2","1","1","27940000","SEO26FF"
"yellow","발주임박","Q4182619","보험품","","상시","","","","2","1","1","3704000","SEO26FF"
"yellow","발주임박","Q4188532","보험품","","상시","","","","5","4","1","194000","SEO26FF"
"yellow","발주임박","Q4210315","보험품","","상시","","","","2","1","1","3630000","SEO26FF"
"yellow","발주임박","Q4256411","보험품","","상시","","","","5","4","1","154755","SEO26FF"
"yellow","발주임박","Q4273074","보험품","","상시","","","","3","2","1","1150000","SEO26FF"
"yellow","발주임박","Q4283104","보험품","","상시","","","","2","1","1","895839","SEO26FF"
"yellow","발주임박","Q4327789","보험품","","상시","","","","2","1","1","2100000","SEO26FF"
"yellow","발주임박","Q4384099","보험품","","상시","","","","3","2","1","904166","SEO26FF"
"yellow","발주임박","Q4386124","보험품","QOC Servo","상시","","","","3","2","1","8923590","SEO26FF"
"yellow","발주임박","Q4439265","보험품","QOC Servo","상시","","","","2","1","1","11900000","SEO26FF"
"yellow","발주임박","Q4439266","보험품","QOC Servo","상시","","","","2","1","1","14806000","SEO26FF"
"yellow","발주임박","Q4465267","보험품","","상시","","","","2","1","1","13900000","SEO26FF"
"yellow","발주임박","QS418165","보험품","","상시","","","","2","1","1","65000000","SEO26FF"
"yellow","발주임박","Q4515205","보험품","FM Roll Alignment","상시","","","","36","20","16","240976","SEO26FF"
"yellow","발주임박","Q1000745","보험품","","상시","","","","4","2","2","2440000","SEO26FF"
"yellow","발주임박","Q1039371","보험품","","상시","","","","2","1","1","1179555","SEO26FF"
"yellow","발주임박","Q2054727","보험품","","상시","","","","21","16","5","19726878","SEO26FF"
"yellow","발주임박","Q2212113","보험품","","상시","","","","2","1","1","5700000","SEO26FF"
"yellow","발주임박","Q4017998","보험품","","상시","","","","2","1","1","17510329","SEO26FF"
"yellow","발주임박","Q4018007","보험품","","상시","","","","7","5","2","2163788","SEO26FF"
"yellow","발주임박","Q4018210","보험품","","상시","","","","6","3","3","8733404","SEO26FF"
"yellow","발주임박","Q4039953","보험품","","상시","","","","3","2","1","22320000","SEO26FF"
"yellow","발주임박","Q4173290","보험품","","상시","","","","3","2","1","15145171","SEO26FF"
"green","여유","Q1042338","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1053133","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q1078248","보험품","FM Main Motor","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q1078249","보험품","FM Main Motor","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1053247","보험품","FM Main Motor","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q1053248","보험품","FM Main Motor","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q1053401","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1053581","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1053588","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q1119795","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1120753","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q1002238","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1021614","보험품","","상시","","","","10","10","0","0","SEO26FF"
"green","여유","Q1031708","보험품","FM Main Motor","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1040729","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q1019962","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1040054","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q1040061","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q1072821","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q1073859","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1269776","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q1077476","보험품","FM Spindle 감속기","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q1077624","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1077670","보험품","","상시","","","","10","10","0","0","SEO26FF"
"green","여유","Q1077941","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q2024605","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2042214","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2054201","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2056110","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2059088","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q2060332","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2060337","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2060465","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2070797","계획품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2084886","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q2087833","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q2091279","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2094313","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2095868","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2106112","보험품","","상시","","","","8","8","0","0","SEO26FF"
"green","여유","Q2110732","보험품","FM Roll Alignment","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2110733","보험품","FM Roll Alignment","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2116694","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2116695","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2133118","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2133119","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2140042","보험품","","상시","","","","5","5","0","0","SEO26FF"
"green","여유","Q2141016","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2141021","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2176849","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2179246","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2200004","보험품","","상시","","","","16","16","0","0","SEO26FF"
"green","여유","Q2200005","보험품","","상시","","","","16","16","0","0","SEO26FF"
"green","여유","Q2202508","보험품","FM Roll Alignment","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2206557","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q2224741","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q2235169","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2235172","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4002139","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4003811","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4015363","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4030286","보험품","Walking Beam 기어베어링","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4030636","보험품","Walking Beam 기어베어링","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4034332","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4041104","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4073338","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4085105","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4089851","보험품","FM Edge Heater","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4103142","보험품","FM Hot Leveller","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4112995","보험품","FM Hot Leveller","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q4119198","보험품","FM Main Motor","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4136434","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4140768","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4189151","보험품","","상시","","","","6","6","0","0","SEO26FF"
"green","여유","Q4203928","보험품","FM Main Motor","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4204059","보험품","FM Pinion Stand","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q4204061","보험품","FM Pinion Stand","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4204060","보험품","FM Pinion Stand","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4210501","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4210610","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4210612","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4232430","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4239083","보험품","","상시","","","","3","3","0","0","SEO26FF"
"green","여유","Q4264097","보험품","","상시","","","","5","5","0","0","SEO26FF"
"green","여유","Q4312812","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4321160","보험품","FM Main Motor","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4336678","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4390457","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4394089","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4398385","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4435466","보험품","FM Main Motor","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q4439263","보험품","QOC Servo","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4439264","보험품","QOC Servo","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4439269","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4439270","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4443501","보험품","","상시","","","","6","6","0","0","SEO26FF"
"green","여유","Q4450272","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4453988","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4459402","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4460076","보험품","FM Edge Heater","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4471765","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4480769","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4485045","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4485080","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4485081","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4485087","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4493662","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4504475","보험품","FM Hot Leveller","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4504476","보험품","FM Roll Alignment","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4504478","보험품","FM Roll Alignment","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4515206","보험품","FM Roll Alignment","상시","","","","8","8","0","0","SEO26FF"
"green","여유","Q4515573","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4517465","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4517801","보험품","","상시","","","","6","6","0","0","SEO26FF"
"green","여유","Q4524604","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4524949","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4532058","보험품","Stand Main TR","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4536719","보험품","","상시","","","","4","4","0","0","SEO26FF"
"green","여유","Q4546235","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4551507","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4559574","보험품","","상시","","","","6","6","0","0","SEO26FF"
"green","여유","Q4559575","보험품","","상시","","","","3","3","0","0","SEO26FF"
"green","여유","Q4559686","보험품","","상시","","","","3","3","0","0","SEO26FF"
"green","여유","Q4562126","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4562194","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4572470","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4572473","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4575867","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4576623","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4576624","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4582819","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4587154","보험품","QOC Servo","상시","","","","5","5","0","0","SEO26FF"
"green","여유","Q4588343","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4590955","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4597580","보험품","FM Hot Leveller","상시","","","","30","30","0","0","SEO26FF"
"green","여유","Q4598537","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4612557","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4625628","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4625646","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4652294","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","QS429155","보험품","Table Roller 기어박스","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q1042306","보험품","","상시","","","","3","3","0","0","SEO26FF"
"green","여유","Q1218391","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2062201","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q2139998","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4018016","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4018019","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4018022","보험품","","상시","","","","2","2","0","0","SEO26FF"
"green","여유","Q4169635","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4174454","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4174455","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4192179","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4257701","보험품","","상시","","","","1","1","0","0","SEO26FF"
"green","여유","Q4441695","보험품","","상시","","","","1","1","0","0","SEO26FF"
"gray","재고불요","Q1042383","계획품","","상시","","","","0","2","0","0","SEO26FF"
"gray","재고불요","Q1052933","계획품","","상시","","","","0","2","0","0","SEO26FF"
"gray","충분","Q1053112","보험품","FM Crop Shear","상시","","","","2","4","0","0","SEO26FF"
"gray","충분","Q1053113","보험품","FM Crop Shear","상시","","","","2","4","0","0","SEO26FF"
"gray","재고불요","Q1053117","계획품","","상시","","","","0","2","0","0","SEO26FF"
"gray","재고불요","Q1053210","계획품","","상시","","","","0","3","0","0","SEO26FF"
"gray","재고불요","Q1078241","계획품","","상시","","","","0","1","0","0","SEO26FF"
"gray","재고불요","Q1078244","보험품","","상시","","","","0","1","0","0","SEO26FF"
"gray","충분","Q1053287","보험품","FM Main Motor","상시","","","","1","3","0","0","SEO26FF"
"gray","재고충분","Q1053317","계획품","FM Main Motor","대수리","2026-09-04","2026-05-17","-109","1","2","0","0","SEO26FF"
"gray","재고충분","Q1053318","계획품","FM Main Motor","대수리","2026-09-04","2026-05-16","-110","1","2","0","0","SEO26FF"
"gray","재고충분","Q1053378","계획품","FM Main Motor","대수리","2026-09-04","2026-05-17","-109","1","2","0","0","SEO26FF"
"gray","재고불요","Q1053392","계획품","","상시","","","","0","2","0","0","SEO26FF"
"gray","충분","Q1053400","보험품","","상시","","","","1","2","0","0","SEO26FF"
"gray","재고불요","Q1053468","계획품","","상시","","","","0","2","0","0","SEO26FF"
"gray","충분","Q1053590","보험품","","상시","","","","2","4","0","0","SEO26FF"
"gray","재고불요","Q1117822","보험품","","상시","","","","0","1","0","0","SEO26FF"
"gray","충분","Q1051490","보험품","","상시","","","","2","8","0","0","SEO26FF"
"gray","재고불요","Q1119268","계획품","","상시","","","","0","60","0","0","SEO26FF"
"gray","재고불요","Q1119452","계획품","","상시","","","","0","2","0","0","SEO26FF"
"gray","충분","Q1119649","보험품","","상시","","","","7","20","0","0","SEO26FF"
"gray","재고불요","Q1000751","계획품","","상시","","","","0","2","0","0","SEO26FF"
"gray","충분","Q1204795","보험품","","상시","","","","3","12","0","0","SEO26FF"
"gray","충분","Q1204949","보험품","","상시","","","","4","13","0","0","SEO26FF"
"gray","재고불요","Q1305036","계획품","","상시","","","","0","10","0","0","SEO26FF"
"gray","재고불요","Q1002292","보험품","","상시","","","","0","10","0","0","SEO26FF"
"gray","재고불요","Q1004847","계획품","","상시","","","","0","30","0","0","SEO26FF"
"gray","재고불요","Q1005323","계획품","","상시","","","","0","323","0","0","SEO26FF"
"gray","재고불요","Q1011982","계획품","","상시","","","","0","100","0","0","SEO26FF"
"gray","충분","Q1021920","보험품","","상시","","","","8","15","0","0","SEO26FF"
