"Item","Type","Grade","CSP","CEQ","UnitCost","StockDept","StockAll","Target","OrderNeed","OrderAmount","Action","Reason","DeptCode"
"Q1053318","계획품","A","X","O","36850","2","2","0","0","0","감축","핵심설비 계획품이나 3년무소요→0","SEO26FF"
"Q1053378","계획품","A","X","O","67000","2","2","0","0","0","감축","핵심설비 계획품이나 3년무소요→0","SEO26FF"
"Q1053392","계획품","C","X","X","176000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1053400","보험품","C","X","X","150000","2","2","1","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1","SEO26FF"
"Q1053401","보험품","C","X","X","150000","1","1","1","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1","SEO26FF"
"Q1053468","계획품","C","X","X","190000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1053581","보험품","B","X","X","9634025","1","1","1","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=1,상한3→1","SEO26FF"
"Q1053588","보험품","C","X","X","65000","4","4","4","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=4,상한8→4","SEO26FF"
"Q1053590","보험품","C","X","X","68750","4","4","2","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2","SEO26FF"
"Q1117822","보험품","C","X","X","1029700","1","1","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1051490","보험품","C","X","X","19716","8","8","2","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2","SEO26FF"
"Q1119268","계획품","C","X","X","23591","60","60","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1119452","계획품","B","X","X","30637","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1119526","보험품","C","X","X","317753","0","2","3","3","953259","발주","비핵심보험[C] μ_LT+SS(Z1.28)=3,상한5→3","SEO26FF"
"Q1119649","보험품","C","X","X","103890","20","90","7","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=7,상한20→7","SEO26FF"
"Q1119795","보험품","C","X","X","728590","1","6","1","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=3,상한1→1","SEO26FF"
"Q1120753","보험품","B","X","X","91512","2","2","2","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=3,상한2→2","SEO26FF"
"Q1121188","보험품","C","X","X","384451","0","0","2","2","768902","발주","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한0→2","SEO26FF"
"Q1000751","계획품","B","X","X","1285000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1204795","보험품","C","X","X","16373","12","12","3","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=3,상한4→3","SEO26FF"
"Q1204949","보험품","C","X","X","1880","13","33","4","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4","SEO26FF"
"Q1305036","계획품","C","X","X","2867","10","10","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1002238","보험품","C","X","X","197767","1","1","1","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=1,상한0→1","SEO26FF"
"Q1002292","보험품","C","X","X","1766","10","25","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1201276","보험품","B","X","X","475153","1","1","2","1","475153","발주","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2","SEO26FF"
"Q1201564","보험품","C","X","X","98467200","1","3","2","1","98467200","발주","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한10→2","SEO26FF"
"Q1004847","계획품","C","X","X","48014","30","30","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1005323","계획품","C","X","X","4509","323","1210","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1011982","계획품","B","X","X","2791","100","100","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1021614","보험품","B","X","X","118","10","10","10","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=10,상한10→10","SEO26FF"
"Q1021836","보험품","C","X","X","56","3","16","63","60","3335","발주","비핵심보험[C] μ_LT+SS(Z1.28)=63,상한100→63","SEO26FF"
"Q1021920","보험품","C","X","X","611","15","73","8","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=8,상한24→8","SEO26FF"
"Q1030043","계획품","A","X","O","210000","1","1","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.1)→0","SEO26FF"
"Q1030044","계획품","A","X","O","210000","1","1","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.2)→0","SEO26FF"
"Q1030453","계획품","C","X","X","51285","6","7","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1293261","계획품","B","X","X","11770000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1297201","보험품","B","X","X","343","22","22","2","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한4→2","SEO26FF"
"Q1297240","계획품","B","X","X","63716","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1308654","계획품","C","X","X","895678","1","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1012773","계획품","B","X","X","12404","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1012781","보험품","B","X","X","4135","50","50","100","50","206750","발주","비핵심보험[B] μ_LT+SS(Z1.65)=100,상한200→100","SEO26FF"
"Q1018930","보험품","C","X","X","3169","1","14","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1019015","보험품","A","X","X","509949","1","1","3","2","1019898","발주","비핵심보험[A] μ_LT+SS(Z2.05)=3,상한5→3","SEO26FF"
"Q1019385","계획품","S","X","O","41063883","2","2","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.4)→0","SEO26FF"
"Q1023561","보험품","B","X","X","2300","14","14","7","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=7,상한22→7","SEO26FF"
"Q1023576","보험품","C","X","X","12440","1","1","3","2","24880","발주","비핵심보험[C] μ_LT+SS(Z1.28)=3,상한3→3","SEO26FF"
"Q1024150","보험품","B","X","X","5834","9","9","6","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=6,상한10→6","SEO26FF"
"Q1024335","보험품","C","X","X","31939","32","45","6","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=6,상한10→6","SEO26FF"
"Q1031104","계획품","B","X","X","401049","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1031233","보험품","A","X","X","1690348","2","2","5","3","5071044","발주","비핵심보험[A] μ_LT+SS(Z2.05)=5,상한6→5","SEO26FF"
"Q1031361","계획품","C","X","X","939998","3","7","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1031708","보험품","B","X","X","260175","1","1","1","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=1,상한0→1","SEO26FF"
"Q1032182","보험품","A","X","O","558639","1","1","2","1","558639","발주","핵심보험[A] μ_LT+SS(Z2.05)=2,상한2,기준1→2","SEO26FF"
"Q1035525","계획품","C","X","X","99452","4","22","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1036694","보험품","C","X","X","85000","3","3","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1036702","보험품","C","X","X","82500","3","3","2","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2","SEO26FF"
"Q1036822","계획품","B","X","X","570000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1036844","계획품","C","X","X","650333","4","4","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1036971","계획품","C","X","X","560000","12","32","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1040729","보험품","C","X","X","1460000","2","3","2","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2","SEO26FF"
"Q1041363","계획품","B","X","X","1000000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1041364","보험품","C","X","X","825000","5","5","2","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한8→2","SEO26FF"
"Q1041372","보험품","C","X","X","4700000","4","4","2","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한5→2","SEO26FF"
"Q1080083","계획품","A","X","O","1750000","1","1","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.2)→0","SEO26FF"
"Q1080084","계획품","A","X","O","1750000","1","1","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.2)→0","SEO26FF"
"Q1080117","계획품","B","X","X","20500","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1010099","계획품","C","X","X","43384","9","9","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1010193","계획품","C","X","X","14411","15","25","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1010224","보험품","C","X","X","116059","7","7","3","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=3,상한7→3","SEO26FF"
"Q1010299","보험품","B","X","X","239090","4","4","7","3","717270","발주","비핵심보험[B] μ_LT+SS(Z1.65)=7,상한16→7","SEO26FF"
"Q1015021","계획품","C","X","X","41","54","54","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1019683","보험품","A","X","X","10049325","2","2","7","5","50246625","발주","비핵심보험[A] μ_LT+SS(Z2.05)=7,상한9→7","SEO26FF"
"Q1019689","계획품","A","X","X","8021737","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1019695","계획품","A","X","X","50274148","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1019962","보험품","C","X","X","310787","1","8","1","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=1,상한0→1","SEO26FF"
"Q1020094","계획품","B","X","X","1898633","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1020168","보험품","C","X","X","3293252","2","3","6","4","13173009","발주","비핵심보험[C] μ_LT+SS(Z1.28)=6,상한16→6","SEO26FF"
"Q1020996","보험품","B","X","X","87855","2","2","0","0","0","감축","비핵심보험[B] 소요無→0","SEO26FF"
"Q1024603","보험품","B","X","X","16667","14","14","11","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=11,상한40→11","SEO26FF"
"Q1024620","보험품","B","X","X","10833","10","10","12","2","21666","발주","비핵심보험[B] μ_LT+SS(Z1.65)=12,상한40→12","SEO26FF"
"Q1029602","보험품","A","X","O","1650000","4","4","2","0","0","감축","핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2","SEO26FF"
"Q1029614","계획품","A","X","O","1241316","1","1","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.2)→0","SEO26FF"
"Q1029653","계획품","A","X","O","150000","3","3","0","0","0","감축","핵심설비 계획품이나 3년무소요→0","SEO26FF"
"Q1029662","보험품","C","X","X","275000","5","5","2","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2","SEO26FF"
"Q1029893","계획품","C","X","X","180000","1","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1033612","보험품","B","X","X","230834","2","2","1","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=1,상한0→1","SEO26FF"
"Q1033796","계획품","B","X","X","161799","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1033995","계획품","A","X","X","26282850","5","5","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1034231","계획품","A","X","X","97916500","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1034397","계획품","B","X","X","1442980","6","6","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1039075","계획품","B","X","X","3390000","9","9","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1039945","계획품","C","X","X","830000","3","5","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1039948","계획품","B","X","X","2350000","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1039950","보험품","B","X","X","3380000","4","4","2","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2","SEO26FF"
"Q1039951","계획품","C","X","X","2600000","1","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1040051","보험품","S","O","X","3630000","1","1","2","1","3630000","발주","핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2","SEO26FF"
"Q1040053","계획품","B","X","X","1220000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1040054","보험품","B","X","X","1857000","2","2","2","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2","SEO26FF"
"Q1040058","보험품","B","X","X","690000","1","1","3","2","1380000","발주","비핵심보험[B] μ_LT+SS(Z1.65)=3,상한5→3","SEO26FF"
"Q1040060","계획품","A","X","X","630000","7","7","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1040061","보험품","C","X","X","1950000","4","5","4","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=4,상한11→4","SEO26FF"
"Q1040065","계획품","B","X","X","2005000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1040129","계획품","B","X","X","2030000","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1080541","계획품","C","X","X","650000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1080794","계획품","C","X","X","214800","4","4","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1080969","계획품","C","X","X","135000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1080970","계획품","C","X","X","125000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1113604","계획품","B","X","X","837206","24","24","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q2008527","보험품","C","X","X","74000","2","2","1","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=1,상한0→1","SEO26FF"
"Q2013987","계획품","S","X","O","5380000","2","2","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.4)→0","SEO26FF"
"Q2015221","계획품","C","X","X","626687","3","6","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q2018730","보험품","C","X","X","187000","11","11","1","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=5,상한1→1","SEO26FF"
"Q2019637","계획품","B","X","X","1400000","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1072616","계획품","B","X","X","1289380","8","8","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1072668","보험품","C","X","X","6400","20","20","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1072820","보험품","B","X","X","96000","2","2","3","1","96000","발주","비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3","SEO26FF"
"Q1072821","보험품","C","X","X","45200","4","4","4","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4","SEO26FF"
"Q1072836","보험품","B","X","X","4200000","1","1","2","1","4200000","발주","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2","SEO26FF"
"Q1072924","계획품","C","X","X","537550","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1072926","계획품","B","X","X","12342667","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1072928","계획품","B","X","X","20000000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1072961","보험품","C","X","X","76346","4","4","2","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2","SEO26FF"
"Q1072973","보험품","C","X","X","40500","14","14","9","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=9,상한16→9","SEO26FF"
"Q1072995","계획품","A","X","O","3203333","1","1","0","0","0","감축","핵심설비 계획품이나 3년무소요→0","SEO26FF"
"Q1073040","계획품","B","X","X","1080000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073183","계획품","B","X","X","38190","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073184","계획품","B","X","X","22910","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073210","계획품","C","X","X","320000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073215","계획품","C","X","X","320000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073310","계획품","B","X","X","3180000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073449","계획품","C","X","X","5280","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073553","계획품","B","X","X","476739","4","4","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073590","보험품","C","X","X","123500","8","8","15","7","864500","발주","비핵심보험[C] μ_LT+SS(Z1.28)=15,상한32→15","SEO26FF"
"Q1073594","계획품","C","X","X","80000","8","8","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073859","보험품","C","X","X","145000","1","1","1","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1","SEO26FF"
"Q1073865","보험품","C","X","X","20900","2","2","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1073866","보험품","C","X","X","4400","2","2","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1073870","보험품","C","X","X","37400","2","2","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1121309","계획품","C","X","X","63430","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1122097","보험품","C","X","X","1003","100","100","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1269776","보험품","B","X","X","748071","2","2","2","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한4→2","SEO26FF"
"Q2011794","계획품","C","X","X","103470","6","6","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q2011846","보험품","B","X","X","545000","3","3","10","7","3815000","발주","비핵심보험[B] μ_LT+SS(Z1.65)=10,상한10→10","SEO26FF"
"Q1076627","계획품","B","X","X","1150000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1076630","계획품","B","X","X","3800000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077285","보험품","B","X","X","200000","10","10","14","4","800000","발주","비핵심보험[B] μ_LT+SS(Z1.65)=14,상한60→14","SEO26FF"
"Q1077340","계획품","C","X","X","5100000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077367","계획품","C","X","X","127825","3","3","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077400","계획품","A","X","O","35150","2","2","0","0","0","감축","핵심설비 계획품이나 3년무소요→0","SEO26FF"
"Q1077476","보험품","C","X","O","13800000","2","3","2","0","0","유지","핵심보험[C] μ_LT+SS(Z1.28)=2,상한2,기준1→2","SEO26FF"
"Q1077486","계획품","C","X","X","600000","4","4","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077487","계획품","C","X","X","600000","4","4","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077622","계획품","S","X","O","3524000","1","1","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.5)→0","SEO26FF"
"Q1077624","보험품","B","X","X","10200000","1","1","1","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한1→1","SEO26FF"
"Q1077646","계획품","B","X","X","470000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077670","보험품","B","X","X","2000000","10","10","10","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=10,상한16→10","SEO26FF"
"Q1077676","계획품","B","X","X","7766","40","40","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077684","보험품","C","X","X","6700000","3","5","1","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1","SEO26FF"
"Q1077685","보험품","C","X","X","2600000","3","4","1","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1","SEO26FF"
"Q1077724","계획품","C","X","X","550000","6","6","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077747","계획품","B","X","X","63400","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077761","계획품","B","X","X","141000","7","7","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077763","계획품","B","X","X","101000","7","7","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077776","계획품","B","X","X","5450000","4","4","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077777","계획품","C","X","X","1680000","12","12","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077786","계획품","B","X","X","1180494","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077922","계획품","B","X","X","1100000","1","1","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077925","계획품","B","X","X","1130000","4","4","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1077941","보험품","C","X","X","195000","4","4","4","0","0","유지","비핵심보험[C] μ_LT+SS(Z1.28)=4,상한4→4","SEO26FF"
"Q1078004","보험품","C","X","X","116025","1","3","2","1","116025","발주","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2","SEO26FF"
"Q1078005","보험품","B","X","X","580000","2","2","1","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1","SEO26FF"
"Q1034310","보험품","C","X","X","319813","2","13","4","2","639626","발주","비핵심보험[C] μ_LT+SS(Z1.28)=4,상한15→4","SEO26FF"
"Q1072889","계획품","C","X","X","47520","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q2024605","보험품","B","X","X","17639000","2","2","2","0","0","유지","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2","SEO26FF"
"Q2028329","계획품","A","X","O","491000","1","1","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.5)→0","SEO26FF"
"Q1007239","보험품","C","X","X","14596","5","5","0","0","0","감축","비핵심보험[C] 소요無→0","SEO26FF"
"Q1021932","보험품","C","X","X","1303","2","36","5","3","3908","발주","비핵심보험[C] μ_LT+SS(Z1.28)=5,상한10→5","SEO26FF"
"Q1072930","계획품","B","X","X","40000000","2","2","0","0","0","감축","계획품 원칙0(비핵심설비→수리일정발주)","SEO26FF"
"Q1073256","보험품","B","X","X","440000","4","4","2","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2","SEO26FF"
"Q1080496","계획품","A","X","O","25000","2","2","0","0","0","감축","핵심설비 계획품이나 소요비활발(λ0.1)→0","SEO26FF"
"Q2026952","보험품","B","X","X","1923333","4","4","3","0","0","감축","비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3","SEO26FF"
"Q2032488","보험품","C","X","X","460000","3","3","2","0","0","감축","비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2","SEO26FF"
