"Item","Type","Grade","AgeDays","StockDept","StaleValue","PoolGrade","Action","DeptCode"
"Q4423761","계획품","B","2834","2","1870000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4384099","보험품","C","1136","2","1808332","strong","즉시공용화(전사재고有)","SEO26FF"
"Q1260654","보험품","S","2540","4","1763344","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4503767","보험품","A","833","15","1729890","review","보류/전환(핵심보험)","SEO26FF"
"Q2032490","보험품","C","750","4","1720000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4517465","보험품","B","1863","2","1690000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4169627","보험품","S","1172","4","1665428","strong","즉시공용화(전사재고有)","SEO26FF"
"Q2011846","보험품","B","1143","3","1635000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4576624","보험품","C","771","1","1543000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4576623","보험품","C","771","1","1541000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2116694","보험품","B","1284","1","1479621","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4471030","계획품","B","2379","1","1462350","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1004847","계획품","C","679","30","1440420","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2235169","보험품","B","1693","1","1440000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2235172","보험품","B","1693","1","1440000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1000108","보험품","C","1470","1","1422190","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4439270","보험품","B","2684","1","1378541","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4245876","보험품","C","1352","2","1309954","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4348128","보험품","B","1324","400","1288000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2096490","보험품","C","3261","1","1253120","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1029614","계획품","A","3870","1","1241316","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4559575","보험품","B","1513","3","1200000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2087833","보험품","B","4229","4","1180000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4605206","보험품","B","680","2","1172000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2177492","계획품","A","785","1","1150000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2194827","보험품","C","2605","2","1102000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4642447","보험품","C","727","1","1080000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1072924","계획품","C","2502","2","1075100","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4251042","계획품","C","2409","50","1049834","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4002139","보험품","B","1239","1","1025000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4504476","보험품","A","2004","2","980000","review","보류/전환(핵심보험)","SEO26FF"
"Q4210612","보험품","B","2638","2","973333","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2064661","보험품","C","570","1","970000","strong","즉시공용화(전사재고有)","SEO26FF"
"Q4014292","계획품","C","2311","8","960000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4562194","보험품","B","1499","1","946000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2142898","계획품","A","965","4","920000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4530897","보험품","B","1728","1","920000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1053133","보험품","C","1275","2","850000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4504478","보험품","A","2004","2","840000","review","보류/전환(핵심보험)","SEO26FF"
"Q4459402","보험품","B","2516","2","800000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4188532","보험품","C","932","4","776000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4468503","계획품","B","2366","1","763840","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4468504","계획품","B","2376","1","763840","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2133118","보험품","B","2565","2","749064","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4485045","보험품","B","1240","1","730000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4225250","계획품","C","2166","1","725000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4210610","보험품","C","2633","2","714000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2143052","보험품","C","1626","6","675000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4015362","보험품","B","3485","1","660000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4573456","보험품","B","1312","1","660000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1053112","보험품","A","1697","4","656400","review","보류/전환(핵심보험)","SEO26FF"
"Q1073594","계획품","C","1234","8","640000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2144319","계획품","C","2282","1","639034","strong","즉시공용화(전사재고有)","SEO26FF"
"Q2141021","보험품","B","3447","2","638056","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4572473","보험품","B","1385","1","634217","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4504475","보험품","A","2004","1","630000","review","보류/전환(핵심보험)","SEO26FF"
"Q4532058","보험품","B","1780","1","630000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4485087","보험품","B","1240","1","620000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4616814","보험품","B","772","2","608114","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4474243","계획품","C","2323","1","550700","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4611811","보험품","C","724","4","540000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2166833","계획품","B","3066","4","519200","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2168437","계획품","C","1938","2","500000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1033796","계획품","B","3710","3","485396","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1053113","보험품","A","1697","4","483200","review","보류/전환(핵심보험)","SEO26FF"
"Q2060222","보험품","B","815","5","479401","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1077646","계획품","B","4361","1","470000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4124066","보험품","B","790","1","467112","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1078241","계획품","C","4152","1","465000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1033612","보험품","B","3865","2","461668","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2217711","계획품","B","3496","1","455000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4208633","계획품","C","1955","2","440000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1078244","보험품","B","1667","1","415000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4468493","계획품","A","2376","2","399360","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1077367","계획품","C","2373","3","383475","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4572470","보험품","C","1392","1","363895","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4575867","보험품","B","1351","1","363000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1053392","계획품","C","1232","2","352000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073210","계획품","C","2530","1","320000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073215","계획품","C","2530","1","320000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2119613","보험품","C","689","4","320000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4015364","보험품","B","3495","1","318000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1019962","보험품","C","2512","1","310787","strong","즉시공용화(전사재고有)","SEO26FF"
"Q1030453","계획품","C","616","6","307710","strong","즉시공용화(전사재고有)","SEO26FF"
"Q1072961","보험품","C","727","4","305384","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4156386","보험품","C","3606","19","304095","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4515205","보험품","A","1521","20","301220","review","보류/전환(핵심보험)","SEO26FF"
"Q4189150","보험품","C","945","4","301200","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1078248","보험품","A","721","2","300000","review","보류/전환(핵심보험)","SEO26FF"
"Q4585578","보험품","C","1207","5","295000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2118354","보험품","B","1686","20","291680","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2228264","보험품","A","1450","2","280000","review","보류/전환(핵심보험)","SEO26FF"
"Q1080969","계획품","C","2330","2","270000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1031708","보험품","B","1590","1","260175","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4501966","보험품","A","2060","8","256000","review","보류/전환(핵심보험)","SEO26FF"
"Q4416013","계획품","A","2897","1","250000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4015363","보험품","B","3495","1","248000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2133119","보험품","C","3552","1","237761","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1024603","보험품","B","2010","14","233338","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1012781","보험품","B","682","50","206750","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4308842","계획품","C","2869","1","205340","strong","즉시공용화(전사재고有)","SEO26FF"
"Q2052411","보험품","A","1220","2","190000","review","보류/전환(핵심보험)","SEO26FF"
"Q4444346","계획품","C","2647","1","180000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4635563","보험품","C","814","10","180000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1020996","보험품","B","1599","2","175710","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4515206","보험품","A","1694","8","168664","review","보류/전환(핵심보험)","SEO26FF"
"Q4412119","보험품","A","1263","2","162038","review","보류/전환(핵심보험)","SEO26FF"
"Q4045098","계획품","C","2948","2","158000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1051490","보험품","C","1703","8","157728","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2095020","보험품","A","3124","10","156000","review","보류/전환(핵심보험)","SEO26FF"
"Q4280135","보험품","C","772","16","148848","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2008527","보험품","C","689","2","148000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073859","보험품","C","1798","1","145000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2059080","보험품","C","3069","10","142000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1078249","보험품","A","1241","1","141000","review","보류/전환(핵심보험)","SEO26FF"
"Q2059081","보험품","C","3039","10","140500","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2141016","보험품","C","3474","2","140000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2133117","보험품","B","3600","1","138716","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1053378","계획품","A","2470","2","134000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4008484","계획품","C","2337","10","128960","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1072668","보험품","C","1681","20","128000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1297240","계획품","B","2907","2","127433","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1080970","계획품","C","2330","1","125000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2059083","보험품","C","3332","10","118000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1078004","보험품","C","2911","1","116025","strong","즉시공용화(전사재고有)","SEO26FF"
"Q2101008","보험품","A","738","8","115552","review","보류/전환(핵심보험)","SEO26FF"
"Q2101010","보험품","A","738","8","115552","review","보류/전환(핵심보험)","SEO26FF"
"Q2200464","보험품","C","738","8","115552","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2200465","보험품","C","738","8","115552","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2126459","보험품","C","3597","40","114400","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4470227","계획품","A","2379","1","99290","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1072889","계획품","C","2893","2","95040","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2059079","보험품","C","3333","1","90000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073870","보험품","C","2926","2","74800","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1053318","계획품","A","2499","2","73700","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1007239","보험품","C","3643","5","72980","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1053317","계획품","A","2495","2","72000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1077400","계획품","A","3125","2","70300","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4635441","보험품","C","814","2","70000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2059082","보험품","C","3040","5","65000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1121309","계획품","C","1470","1","63430","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1077747","계획품","B","1261","1","63400","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4015365","보험품","B","3496","1","59567","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2095868","보험품","B","1508","1","56000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4342710","계획품","B","2136","20","55820","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2101009","보험품","A","738","4","53648","review","보류/전환(핵심보험)","SEO26FF"
"Q2200466","보험품","C","738","4","53648","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073865","보험품","C","2926","2","41800","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4015414","보험품","B","3500","1","39600","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073183","계획품","B","2488","1","38190","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4310783","계획품","S","1345","2","35078","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4089851","보험품","A","3124","2","33200","review","보류/전환(핵심보험)","SEO26FF"
"Q2079650","보험품","C","1792","2","33000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2079652","보험품","C","1792","2","33000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q2079654","보험품","C","1792","2","33000","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1305036","계획품","C","3375","10","28670","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073184","계획품","B","2495","1","22910","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q4011271","계획품","B","3674","5","15885","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073866","보험품","C","2920","2","8800","medium","공용화권장(비핵심·계획품)","SEO26FF"
"Q1073449","계획품","C","2380","1","5280","medium","공용화권장(비핵심·계획품)","SEO26FF"
