INbound Date	Qcode	수량	Dept Code	Item Type	부서명	섹션명	Leaf Class	Category
2026-01-12	Q4418347	8	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2020-11-24	Q1077622	11	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2020-11-06	Q1077622	10	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2020-11-10	Q1077622	10	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2020-04-14	Q2168437	3	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Drive Coupling	Drive Coupling
2020-04-23	Q2168437	2	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Drive Coupling	Drive Coupling
2020-04-29	Q2168437	2	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Drive Coupling	Drive Coupling
2021-10-04	Q2116695	29	SEO26FF	Consignment	(광양)압연설비1부	열연정비2섹션	Machinery Common	Machinery Common
2021-10-06	Q2116695	29	SEO26FF	Consignment	(광양)압연설비1부	열연정비2섹션	Machinery Common	Machinery Common
2021-10-05	Q2116695	28	SEO26FF	Consignment	(광양)압연설비1부	열연정비2섹션	Machinery Common	Machinery Common
2017-05-29	Q1316039	31	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Spare Parts	Spare Parts
2017-05-06	Q1316039	31	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Spare Parts	Spare Parts
2017-05-09	Q1316039	30	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Spare Parts	Spare Parts
2025-08-01	Q1073870	34	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-08-07	Q1073870	33	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-08-08	Q1073870	33	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2020-02-22	Q1029653	1	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비1섹션	Drive Coupling	Drive Coupling
2020-02-28	Q1029653	1	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비1섹션	Drive Coupling	Drive Coupling
2020-02-09	Q1029653	1	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비1섹션	Drive Coupling	Drive Coupling
2025-01-26	Q2091279	26	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2025-01-22	Q2091279	26	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2025-01-11	Q2091279	26	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2023-11-23	Q4312812	4	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2023-11-12	Q4312812	4	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2023-11-29	Q4312812	4	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2019-06-23	Q4013000	5	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Wheel	Wheel
2019-06-11	Q4013000	4	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Wheel	Wheel
2019-06-12	Q4013000	4	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Wheel	Wheel
2024-01-15	Q2054727	22	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Electrical & Electron	Electrical & Electron
2024-01-07	Q2054727	21	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Electrical & Electron	Electrical & Electron
2024-01-15	Q2054727	21	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Electrical & Electron	Electrical & Electron
2025-01-28	Q2200465	28	SEO26FF	Rubber Class (General)	(광양)압연설비1부	열연정비1섹션	Rubber Class (General)	Rubber Class (General)
2025-01-20	Q2200465	27	SEO26FF	Rubber Class (General)	(광양)압연설비1부	열연정비1섹션	Rubber Class (General)	Rubber Class (General)
2025-01-12	Q2200465	27	SEO26FF	Rubber Class (General)	(광양)압연설비1부	열연정비1섹션	Rubber Class (General)	Rubber Class (General)
2021-08-09	Q2130291	5	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Electrical & Electron	Electrical & Electron
2021-08-21	Q2130291	5	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Electrical & Electron	Electrical & Electron
2021-08-07	Q2130291	5	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Electrical & Electron	Electrical & Electron
2026-07-26	Q4515573	32	SEO26FF	Wheel	(광양)압연설비1부	열연정비2섹션	Wheel	Wheel
2026-07-02	Q4515573	31	SEO26FF	Wheel	(광양)압연설비1부	열연정비2섹션	Wheel	Wheel
2026-07-06	Q4515573	31	SEO26FF	Wheel	(광양)압연설비1부	열연정비2섹션	Wheel	Wheel
2026-05-11	Q1018930	12	SEO26FF	Ball & Roller BRG	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Ball & Roller BRG
2026-05-23	Q1018930	12	SEO26FF	Ball & Roller BRG	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Ball & Roller BRG
2026-05-16	Q1018930	12	SEO26FF	Ball & Roller BRG	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Ball & Roller BRG
2023-10-05	Q4702503	5	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2023-10-13	Q4702503	4	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2023-10-14	Q4702503	4	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2023-12-31	Q4711473	2	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2023-12-22	Q4711473	2	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2023-12-24	Q4711473	1	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2017-10-31	Q1072928	2	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2017-10-21	Q1072928	2	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2017-10-18	Q1072928	2	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2024-10-01	Q4185031	3	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Roller(S)
2024-10-06	Q4185031	3	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Roller(S)
2024-10-08	Q4185031	3	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Roller(S)
2025-06-27	Q4711186	13	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-06-11	Q4711186	13	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-06-23	Q4711186	13	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2026-05-23	Q1018930	28	SEO26FF	Ball & Roller BRG	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Ball & Roller BRG
2026-05-02	Q1018930	28	SEO26FF	Ball & Roller BRG	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Ball & Roller BRG
2026-05-25	Q1018930	27	SEO26FF	Ball & Roller BRG	(광양)압연설비1부	열연정비2섹션	Roll Bearing	Ball & Roller BRG
2019-03-27	Q4559686	5	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2019-03-24	Q4559686	5	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2019-03-26	Q4559686	4	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2018-01-19	Q2195767	3	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2018-01-15	Q2195767	3	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2018-01-22	Q2195767	2	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2024-06-01	Q2097306	13	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Roll Bearing	Ball & Roller BRG
2024-06-25	Q2097306	13	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Roll Bearing	Ball & Roller BRG
2024-06-02	Q2097306	12	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Roll Bearing	Ball & Roller BRG
2025-07-04	Q4308842	28	SEO26FF	Packing & Seal	(광양)압연설비1부	열연정비1섹션	Packing & Seal	Packing & Seal
2025-07-29	Q4308842	27	SEO26FF	Packing & Seal	(광양)압연설비1부	열연정비1섹션	Packing & Seal	Packing & Seal
2025-07-06	Q4308842	27	SEO26FF	Packing & Seal	(광양)압연설비1부	열연정비1섹션	Packing & Seal	Packing & Seal
2025-03-09	Q4230326	24	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Electrical & Electron	Electrical & Electron
2025-03-14	Q4230326	24	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Electrical & Electron	Electrical & Electron
2025-03-25	Q4230326	24	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Electrical & Electron	Electrical & Electron
2025-07-29	Q4015405	4	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2025-07-20	Q4015405	4	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2025-07-14	Q4015405	4	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2026-03-12	Q4693461	8	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2026-03-02	Q4693461	8	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2026-03-21	Q4693461	8	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-04-18	Q4251042	29	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2025-04-25	Q4251042	29	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2025-04-03	Q4251042	29	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2023-04-21	Q4524949	2	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2023-04-13	Q4524949	2	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2023-04-11	Q4524949	1	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2025-08-05	Q1077685	6	SEO26FF	Gear & Gear box	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2025-08-05	Q1077685	6	SEO26FF	Gear & Gear box	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2025-08-05	Q1077685	6	SEO26FF	Gear & Gear box	(광양)압연설비1부	열연정비1섹션	Gear & Gear box	Gear & Gear box
2025-06-16	Q2028061	8	SEO26FF	Control Valve (Ready)	(광양)압연설비1부	열연정비2섹션	Control Valve	Control Valve (Ready)
2025-06-09	Q2028061	7	SEO26FF	Control Valve (Ready)	(광양)압연설비1부	열연정비2섹션	Control Valve	Control Valve (Ready)
2025-06-09	Q2028061	7	SEO26FF	Control Valve (Ready)	(광양)압연설비1부	열연정비2섹션	Control Valve	Control Valve (Ready)
2025-09-04	Q4668643	13	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-09-24	Q4668643	13	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-09-29	Q4668643	13	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-08-03	Q2224741	10	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비1섹션	Hydraulic Cylinder	Hydraulic Cylinder
2025-08-24	Q2224741	10	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비1섹션	Hydraulic Cylinder	Hydraulic Cylinder
2025-08-19	Q2224741	9	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비1섹션	Hydraulic Cylinder	Hydraulic Cylinder
2018-01-07	Q1042421	19	SEO26FF	Consignment	(광양)압연설비1부	열연정비2섹션	Rotary/Swivel Joint	Rotary/Swivel Joint
2018-01-12	Q1042421	19	SEO26FF	Consignment	(광양)압연설비1부	열연정비2섹션	Rotary/Swivel Joint	Rotary/Swivel Joint
2018-01-27	Q1042421	18	SEO26FF	Consignment	(광양)압연설비1부	열연정비2섹션	Rotary/Swivel Joint	Rotary/Swivel Joint
2025-07-19	Q4347498	23	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-07-02	Q4347498	22	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-07-02	Q4347498	22	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2023-08-12	Q1041364	3	SEO26FF	Drive Joint	(광양)압연설비1부	열연정비2섹션	Drive Joint	Drive Joint
2023-08-10	Q1041364	3	SEO26FF	Drive Joint	(광양)압연설비1부	열연정비2섹션	Drive Joint	Drive Joint
2023-08-18	Q1041364	3	SEO26FF	Drive Joint	(광양)압연설비1부	열연정비2섹션	Drive Joint	Drive Joint
2026-02-24	Q1005323	15	SEO26FF	Steel Material	(광양)압연설비1부	열연정비2섹션	Steel Material	Steel Material
2026-02-12	Q1005323	15	SEO26FF	Steel Material	(광양)압연설비1부	열연정비2섹션	Steel Material	Steel Material
2026-02-16	Q1005323	14	SEO26FF	Steel Material	(광양)압연설비1부	열연정비2섹션	Steel Material	Steel Material
2021-08-20	Q4336678	1	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2021-08-16	Q4336678	1	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2021-08-16	Q4336678	0	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-11-21	Q2200466	5	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Rubber Class (General)	Rubber Class (General)
2025-11-15	Q2200466	4	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Rubber Class (General)	Rubber Class (General)
2025-11-03	Q2200466	4	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Rubber Class (General)	Rubber Class (General)
2021-09-02	Q4168315	1	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Rotary/Swivel Joint	Rotary/Swivel Joint
2021-09-29	Q4168315	1	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Rotary/Swivel Joint	Rotary/Swivel Joint
2021-09-27	Q4168315	0	SEO26FF	자가재	(광양)압연설비1부	열연정비1섹션	Rotary/Swivel Joint	Rotary/Swivel Joint
2024-11-21	Q4015950	17	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2024-11-15	Q4015950	17	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2024-11-13	Q4015950	17	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2024-05-02	Q4702503	27	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2024-05-05	Q4702503	27	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2024-05-21	Q4702503	26	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2019-03-02	Q1031361	2	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2019-03-17	Q1031361	2	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2019-03-05	Q1031361	2	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-09-18	Q2208062	30	SEO26FF	VMI	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-09-19	Q2208062	30	SEO26FF	VMI	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-09-09	Q2208062	30	SEO26FF	VMI	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2023-07-09	Q4668643	15	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2023-07-17	Q4668643	15	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2023-07-13	Q4668643	15	SEO26FF	일일공급품	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2020-04-23	Q2187474	1	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2020-04-17	Q2187474	1	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2020-04-12	Q2187474	0	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비2섹션	Machining Part	Machining(General)
2025-12-30	Q2011794	20	SEO26FF	Steel Grating	(광양)압연설비1부	열연정비2섹션	Steel Grating	Steel Grating
2025-12-22	Q2011794	20	SEO26FF	Steel Grating	(광양)압연설비1부	열연정비2섹션	Steel Grating	Steel Grating
2025-12-07	Q2011794	20	SEO26FF	Steel Grating	(광양)압연설비1부	열연정비2섹션	Steel Grating	Steel Grating
2025-01-05	Q1004847	10	SEO26FF	Steel Material	(광양)압연설비1부	열연정비1섹션	Steel Material	Steel Material
2025-01-12	Q1004847	9	SEO26FF	Steel Material	(광양)압연설비1부	열연정비1섹션	Steel Material	Steel Material
2025-01-11	Q1004847	9	SEO26FF	Steel Material	(광양)압연설비1부	열연정비1섹션	Steel Material	Steel Material
2024-12-19	Q2008527	12	SEO26FF	Non/Fe Casting Metal(Copper)	(광양)압연설비1부	열연정비1섹션	Non/Fe Casting Metal(Copper)	Non/Fe Casting Metal(Copper)
2024-12-25	Q2008527	12	SEO26FF	Non/Fe Casting Metal(Copper)	(광양)압연설비1부	열연정비1섹션	Non/Fe Casting Metal(Copper)	Non/Fe Casting Metal(Copper)
2024-12-20	Q2008527	12	SEO26FF	Non/Fe Casting Metal(Copper)	(광양)압연설비1부	열연정비1섹션	Non/Fe Casting Metal(Copper)	Non/Fe Casting Metal(Copper)
2017-07-15	Q4671514	4	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2017-07-19	Q4671514	4	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2017-07-19	Q4671514	3	SEO26FF	Machining(General)	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2024-10-16	Q2028329	11	SEO26FF	Drive Joint	(광양)압연설비1부	열연정비1섹션	Drive Joint	Drive Joint
2024-10-30	Q2028329	11	SEO26FF	Drive Joint	(광양)압연설비1부	열연정비1섹션	Drive Joint	Drive Joint
2024-10-03	Q2028329	10	SEO26FF	Drive Joint	(광양)압연설비1부	열연정비1섹션	Drive Joint	Drive Joint
2025-10-29	Q1031361	4	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-10-03	Q1031361	3	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-10-26	Q1031361	3	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Hydraulic Pump	Hydraulic & Pneumatics
2020-06-09	Q1049004	5	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Electrical & Electron	Electrical & Electron
2020-06-27	Q1049004	4	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Electrical & Electron	Electrical & Electron
2020-06-06	Q1049004	4	SEO26FF	자가재	(광양)압연설비1부	열연정비2섹션	Electrical & Electron	Electrical & Electron
2025-06-10	Q1033995	15	SEO26FF	Hydraulic & Pneumatics	(광양)압연설비1부	열연정비2섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-06-10	Q1033995	14	SEO26FF	Hydraulic & Pneumatics	(광양)압연설비1부	열연정비2섹션	Hydraulic Pump	Hydraulic & Pneumatics
2025-06-04	Q1033995	14	SEO26FF	Hydraulic & Pneumatics	(광양)압연설비1부	열연정비2섹션	Hydraulic Pump	Hydraulic & Pneumatics
2017-04-03	Q4532058	4	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2017-04-05	Q4532058	4	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2017-04-24	Q4532058	4	SEO26FF	Consignment	(광양)압연설비1부	열연정비1섹션	Machining Part	Machining(General)
2025-03-30	Q2100582	29	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Critical Bearing	Critical Bearing
2025-03-21	Q2100582	28	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Critical Bearing	Critical Bearing
2025-03-21	Q2100582	28	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Critical Bearing	Critical Bearing
2025-03-21	Q1021920	23	SEO26FF	Packing & Seal	(광양)압연설비1부	열연정비2섹션	Packing & Seal	Packing & Seal
2025-03-16	Q1021920	23	SEO26FF	Packing & Seal	(광양)압연설비1부	열연정비2섹션	Packing & Seal	Packing & Seal
2025-03-20	Q1021920	22	SEO26FF	Packing & Seal	(광양)압연설비1부	열연정비2섹션	Packing & Seal	Packing & Seal
2025-05-17	Q4264097	6	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비1섹션	Drive Coupling	Drive Coupling
2025-05-27	Q4264097	6	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비1섹션	Drive Coupling	Drive Coupling
2025-05-15	Q4264097	5	SEO26FF	Drive Coupling	(광양)압연설비1부	열연정비1섹션	Drive Coupling	Drive Coupling
2025-09-08	Q4659090	20	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2025-09-07	Q4659090	20	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2025-09-07	Q4659090	20	SEO26FF	Hydraulic Cylinder	(광양)압연설비1부	열연정비2섹션	Hydraulic Cylinder	Hydraulic Cylinder
2020-11-21	Q4625646	11	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Control Valve	Control Valve (Ready)
2020-11-05	Q4625646	10	SEO26FF	일일공급품	(광양)압연설비1부	열연정비1섹션	Control Valve	Control Valve (Ready)
