Item,DeptCode,Type,Grade,AgeDays,StockDept,StaleValue,PoolGrade,Action
Q4439263,SEO26FF,보험품,C,1259,1,11500000,strong,즉시공용화(전사재고有)
Q4192133,SEO26FF,보험품,S,1681,2,11121754,strong,즉시공용화(전사재고有)
Q4192171,SEO26FF,보험품,S,1681,2,11121754,strong,즉시공용화(전사재고有)
Q2013987,SEO26FF,계획품,S,3352,2,10760000,medium,공용화권장(비핵심·계획품)
Q1072616,SEO26FF,계획품,B,3557,8,10315040,medium,공용화권장(비핵심·계획품)
Q4439269,SEO26FF,보험품,C,1206,1,9990000,strong,즉시공용화(전사재고有)
Q1053581,SEO26FF,보험품,B,738,1,9634025,medium,공용화권장(비핵심·계획품)
Q2098900,SEO26FF,계획품,B,2170,1,9500000,medium,공용화권장(비핵심·계획품)
Q2210205,SEO26FF,계획품,B,1864,4,9465984,medium,공용화권장(비핵심·계획품)
Q2234798,SEO26FF,계획품,S,1702,1,9000000,medium,공용화권장(비핵심·계획품)
Q2024559,SEO26FF,보험품,S,2544,1,9000000,strong,즉시공용화(전사재고有)
Q4453988,SEO26FF,보험품,B,1323,1,8726315,medium,공용화권장(비핵심·계획품)
Q4230326,SEO26FF,보험품,S,4107,2,8413312,review,보류/전환(핵심보험)
Q2200005,SEO26FF,보험품,B,3488,16,8254400,medium,공용화권장(비핵심·계획품)
Q4192179,SEO26FF,보험품,S,1681,1,8200889,strong,즉시공용화(전사재고有)
Q4119198,SEO26FF,보험품,B,947,1,8031660,medium,공용화권장(비핵심·계획품)
Q2060465,SEO26FF,보험품,B,1506,1,7497000,medium,공용화권장(비핵심·계획품)
Q4336678,SEO26FF,보험품,B,2642,1,7354160,medium,공용화권장(비핵심·계획품)
Q4398385,SEO26FF,보험품,B,1140,1,7049560,medium,공용화권장(비핵심·계획품)
Q2106112,SEO26FF,보험품,B,4217,8,7000000,medium,공용화권장(비핵심·계획품)
Q2091278,SEO26FF,보험품,S,1030,1,6880000,review,보류/전환(핵심보험)
Q4073338,SEO26FF,보험품,B,1666,2,5900000,medium,공용화권장(비핵심·계획품)
Q2139998,SEO26FF,보험품,S,1147,1,5745152,review,보류/전환(핵심보험)
Q1219164,SEO26FF,보험품,S,2593,3,5665334,strong,즉시공용화(전사재고有)
Q4169942,SEO26FF,보험품,B,4521,1,5641350,medium,공용화권장(비핵심·계획품)
Q2233578,SEO26FF,계획품,B,1864,2,5593536,medium,공용화권장(비핵심·계획품)
Q4612557,SEO26FF,보험품,B,986,2,5549580,medium,공용화권장(비핵심·계획품)
Q4576432,SEO26FF,보험품,C,784,4,5400000,medium,공용화권장(비핵심·계획품)
Q4515573,SEO26FF,보험품,C,1168,2,5300000,strong,즉시공용화(전사재고有)
Q2163394,SEO26FF,계획품,B,2733,2,5270000,medium,공용화권장(비핵심·계획품)
Q4412288,SEO26FF,계획품,A,2894,2,5000000,medium,공용화권장(비핵심·계획품)
Q2184712,SEO26FF,계획품,B,2397,2,4908000,medium,공용화권장(비핵심·계획품)
Q4517801,SEO26FF,보험품,B,1863,6,4770000,medium,공용화권장(비핵심·계획품)
Q2173282,SEO26FF,계획품,C,1091,1,4769000,strong,즉시공용화(전사재고有)
Q1077925,SEO26FF,계획품,B,1231,4,4520000,medium,공용화권장(비핵심·계획품)
Q4140770,SEO26FF,보험품,C,3615,4,4072400,medium,공용화권장(비핵심·계획품)
Q2084886,SEO26FF,보험품,B,2891,4,3840000,medium,공용화권장(비핵심·계획품)
Q4450272,SEO26FF,보험품,C,2459,1,3800000,medium,공용화권장(비핵심·계획품)
Q4182619,SEO26FF,보험품,B,1182,1,3704000,medium,공용화권장(비핵심·계획품)
Q4559686,SEO26FF,보험품,B,1522,3,3540000,medium,공용화권장(비핵심·계획품)
Q4034332,SEO26FF,보험품,B,3346,2,3530000,medium,공용화권장(비핵심·계획품)
Q1077622,SEO26FF,계획품,S,2347,1,3524000,medium,공용화권장(비핵심·계획품)
Q4210501,SEO26FF,보험품,B,2638,1,3503333,medium,공용화권장(비핵심·계획품)
Q2060474,SEO26FF,보험품,B,1739,1,3490000,medium,공용화권장(비핵심·계획품)
Q2126080,SEO26FF,계획품,B,2485,1,3485350,medium,공용화권장(비핵심·계획품)
Q4536719,SEO26FF,보험품,B,1704,4,3480000,medium,공용화권장(비핵심·계획품)
Q4590955,SEO26FF,보험품,B,1218,2,3400000,medium,공용화권장(비핵심·계획품)
Q2200004,SEO26FF,보험품,B,3487,16,3360000,medium,공용화권장(비핵심·계획품)
Q2060332,SEO26FF,보험품,B,1535,1,3300693,medium,공용화권장(비핵심·계획품)
Q4543363,SEO26FF,보험품,B,1588,1,3300000,medium,공용화권장(비핵심·계획품)
Q4269272,SEO26FF,보험품,S,912,2,3245834,strong,즉시공용화(전사재고有)
Q4017406,SEO26FF,계획품,B,3335,2,3221000,medium,공용화권장(비핵심·계획품)
Q1072995,SEO26FF,계획품,A,3535,1,3203333,medium,공용화권장(비핵심·계획품)
Q4597580,SEO26FF,보험품,A,1176,30,3027330,review,보류/전환(핵심보험)
Q4200634,SEO26FF,계획품,A,1568,3,2981607,medium,공용화권장(비핵심·계획품)
Q1040729,SEO26FF,보험품,C,665,2,2920000,strong,즉시공용화(전사재고有)
Q4018004,SEO26FF,보험품,S,828,2,2862703,strong,즉시공용화(전사재고有)
Q4169635,SEO26FF,보험품,S,1294,1,2710126,strong,즉시공용화(전사재고有)
Q4605205,SEO26FF,보험품,B,661,2,2700000,medium,공용화권장(비핵심·계획품)
Q4460076,SEO26FF,보험품,A,2498,1,2685000,review,보류/전환(핵심보험)
Q4018012,SEO26FF,보험품,S,1681,3,2649186,strong,즉시공용화(전사재고有)
Q2202508,SEO26FF,보험품,A,3970,1,2630000,review,보류/전환(핵심보험)
Q1036844,SEO26FF,계획품,C,1899,4,2601333,medium,공용화권장(비핵심·계획품)
Q4636078,SEO26FF,보험품,C,813,20,2480880,medium,공용화권장(비핵심·계획품)
Q4493662,SEO26FF,보험품,B,2086,2,2400000,medium,공용화권장(비핵심·계획품)
Q4559574,SEO26FF,보험품,B,1513,6,2400000,medium,공용화권장(비핵심·계획품)
Q4018019,SEO26FF,보험품,S,779,1,2360508,strong,즉시공용화(전사재고有)
Q2062201,SEO26FF,보험품,S,2507,1,2325188,strong,즉시공용화(전사재고有)
Q4273074,SEO26FF,보험품,B,1332,2,2300000,medium,공용화권장(비핵심·계획품)
Q4140768,SEO26FF,보험품,C,4280,2,2298200,medium,공용화권장(비핵심·계획품)
Q2140042,SEO26FF,보험품,B,3240,5,2247000,medium,공용화권장(비핵심·계획품)
Q4354776,SEO26FF,계획품,C,911,12,2207760,medium,공용화권장(비핵심·계획품)
Q2179246,SEO26FF,보험품,B,2635,2,2194000,medium,공용화권장(비핵심·계획품)
Q2032491,SEO26FF,보험품,C,750,4,2160000,medium,공용화권장(비핵심·계획품)
Q2190703,SEO26FF,계획품,A,989,1,2140000,medium,공용화권장(비핵심·계획품)
Q4327789,SEO26FF,보험품,B,1242,1,2100000,medium,공용화권장(비핵심·계획품)
Q4037546,SEO26FF,계획품,B,3102,2,2035067,medium,공용화권장(비핵심·계획품)
Q1077285,SEO26FF,보험품,B,1536,10,2000000,medium,공용화권장(비핵심·계획품)
Q4057578,SEO26FF,계획품,B,2355,2,1964514,medium,공용화권장(비핵심·계획품)
Q4423761,SEO26FF,계획품,B,2834,2,1870000,medium,공용화권장(비핵심·계획품)
Q4384099,SEO26FF,보험품,C,1136,2,1808332,strong,즉시공용화(전사재고有)
Q1260654,SEO26FF,보험품,S,2540,4,1763344,strong,즉시공용화(전사재고有)
Q4503767,SEO26FF,보험품,A,833,15,1729890,review,보류/전환(핵심보험)
Q2032490,SEO26FF,보험품,C,750,4,1720000,medium,공용화권장(비핵심·계획품)
Q4517465,SEO26FF,보험품,B,1863,2,1690000,medium,공용화권장(비핵심·계획품)
Q4169627,SEO26FF,보험품,S,1172,4,1665428,strong,즉시공용화(전사재고有)
Q2011846,SEO26FF,보험품,B,1143,3,1635000,medium,공용화권장(비핵심·계획품)
Q4576624,SEO26FF,보험품,C,771,1,1543000,medium,공용화권장(비핵심·계획품)
Q4576623,SEO26FF,보험품,C,771,1,1541000,medium,공용화권장(비핵심·계획품)
Q2116694,SEO26FF,보험품,B,1284,1,1479621,medium,공용화권장(비핵심·계획품)
Q4471030,SEO26FF,계획품,B,2379,1,1462350,medium,공용화권장(비핵심·계획품)
Q1004847,SEO26FF,계획품,C,679,30,1440420,medium,공용화권장(비핵심·계획품)
Q2235169,SEO26FF,보험품,B,1693,1,1440000,medium,공용화권장(비핵심·계획품)
Q2235172,SEO26FF,보험품,B,1693,1,1440000,medium,공용화권장(비핵심·계획품)
Q1000108,SEO26FF,보험품,C,1470,1,1422190,strong,즉시공용화(전사재고有)
Q4439270,SEO26FF,보험품,B,2684,1,1378541,medium,공용화권장(비핵심·계획품)
Q4245876,SEO26FF,보험품,C,1352,2,1309954,strong,즉시공용화(전사재고有)
Q4348128,SEO26FF,보험품,B,1324,400,1288000,medium,공용화권장(비핵심·계획품)
Q2096490,SEO26FF,보험품,C,3261,1,1253120,medium,공용화권장(비핵심·계획품)
Q1029614,SEO26FF,계획품,A,3870,1,1241316,medium,공용화권장(비핵심·계획품)
Q4559575,SEO26FF,보험품,B,1513,3,1200000,medium,공용화권장(비핵심·계획품)
Q2087833,SEO26FF,보험품,B,4229,4,1180000,medium,공용화권장(비핵심·계획품)
Q4605206,SEO26FF,보험품,B,680,2,1172000,medium,공용화권장(비핵심·계획품)
Q2177492,SEO26FF,계획품,A,785,1,1150000,medium,공용화권장(비핵심·계획품)
Q2194827,SEO26FF,보험품,C,2605,2,1102000,medium,공용화권장(비핵심·계획품)
Q4642447,SEO26FF,보험품,C,727,1,1080000,medium,공용화권장(비핵심·계획품)
Q1072924,SEO26FF,계획품,C,2502,2,1075100,medium,공용화권장(비핵심·계획품)
Q4251042,SEO26FF,계획품,C,2409,50,1049834,medium,공용화권장(비핵심·계획품)
Q4002139,SEO26FF,보험품,B,1239,1,1025000,medium,공용화권장(비핵심·계획품)
Q4504476,SEO26FF,보험품,A,2004,2,980000,review,보류/전환(핵심보험)
Q4210612,SEO26FF,보험품,B,2638,2,973333,medium,공용화권장(비핵심·계획품)
Q2064661,SEO26FF,보험품,C,570,1,970000,strong,즉시공용화(전사재고有)
Q4014292,SEO26FF,계획품,C,2311,8,960000,medium,공용화권장(비핵심·계획품)
Q4562194,SEO26FF,보험품,B,1499,1,946000,medium,공용화권장(비핵심·계획품)
Q2142898,SEO26FF,계획품,A,965,4,920000,medium,공용화권장(비핵심·계획품)
Q4530897,SEO26FF,보험품,B,1728,1,920000,medium,공용화권장(비핵심·계획품)
Q1053133,SEO26FF,보험품,C,1275,2,850000,medium,공용화권장(비핵심·계획품)
Q4504478,SEO26FF,보험품,A,2004,2,840000,review,보류/전환(핵심보험)
Q4459402,SEO26FF,보험품,B,2516,2,800000,medium,공용화권장(비핵심·계획품)
Q4188532,SEO26FF,보험품,C,932,4,776000,medium,공용화권장(비핵심·계획품)
Q4468503,SEO26FF,계획품,B,2366,1,763840,medium,공용화권장(비핵심·계획품)
Q4468504,SEO26FF,계획품,B,2376,1,763840,medium,공용화권장(비핵심·계획품)
Q2133118,SEO26FF,보험품,B,2565,2,749064,medium,공용화권장(비핵심·계획품)
Q4485045,SEO26FF,보험품,B,1240,1,730000,medium,공용화권장(비핵심·계획품)
Q4225250,SEO26FF,계획품,C,2166,1,725000,medium,공용화권장(비핵심·계획품)
Q4210610,SEO26FF,보험품,C,2633,2,714000,medium,공용화권장(비핵심·계획품)
Q2143052,SEO26FF,보험품,C,1626,6,675000,medium,공용화권장(비핵심·계획품)
Q4015362,SEO26FF,보험품,B,3485,1,660000,medium,공용화권장(비핵심·계획품)
Q4573456,SEO26FF,보험품,B,1312,1,660000,medium,공용화권장(비핵심·계획품)
Q1053112,SEO26FF,보험품,A,1697,4,656400,review,보류/전환(핵심보험)
Q1073594,SEO26FF,계획품,C,1234,8,640000,medium,공용화권장(비핵심·계획품)
Q2144319,SEO26FF,계획품,C,2282,1,639034,strong,즉시공용화(전사재고有)
Q2141021,SEO26FF,보험품,B,3447,2,638056,medium,공용화권장(비핵심·계획품)
Q4572473,SEO26FF,보험품,B,1385,1,634217,medium,공용화권장(비핵심·계획품)
Q4504475,SEO26FF,보험품,A,2004,1,630000,review,보류/전환(핵심보험)
Q4532058,SEO26FF,보험품,B,1780,1,630000,medium,공용화권장(비핵심·계획품)
Q4485087,SEO26FF,보험품,B,1240,1,620000,medium,공용화권장(비핵심·계획품)
Q4616814,SEO26FF,보험품,B,772,2,608114,medium,공용화권장(비핵심·계획품)
Q4474243,SEO26FF,계획품,C,2323,1,550700,medium,공용화권장(비핵심·계획품)
Q4611811,SEO26FF,보험품,C,724,4,540000,medium,공용화권장(비핵심·계획품)
Q2166833,SEO26FF,계획품,B,3066,4,519200,medium,공용화권장(비핵심·계획품)
Q2168437,SEO26FF,계획품,C,1938,2,500000,medium,공용화권장(비핵심·계획품)
Q1033796,SEO26FF,계획품,B,3710,3,485396,medium,공용화권장(비핵심·계획품)
Q1053113,SEO26FF,보험품,A,1697,4,483200,review,보류/전환(핵심보험)
Q2060222,SEO26FF,보험품,B,815,5,479401,medium,공용화권장(비핵심·계획품)
Q1077646,SEO26FF,계획품,B,4361,1,470000,medium,공용화권장(비핵심·계획품)
Q4124066,SEO26FF,보험품,B,790,1,467112,medium,공용화권장(비핵심·계획품)
Q1078241,SEO26FF,계획품,C,4152,1,465000,medium,공용화권장(비핵심·계획품)
Q1033612,SEO26FF,보험품,B,3865,2,461668,medium,공용화권장(비핵심·계획품)
Q2217711,SEO26FF,계획품,B,3496,1,455000,medium,공용화권장(비핵심·계획품)
Q4208633,SEO26FF,계획품,C,1955,2,440000,medium,공용화권장(비핵심·계획품)
Q1078244,SEO26FF,보험품,B,1667,1,415000,medium,공용화권장(비핵심·계획품)
Q4468493,SEO26FF,계획품,A,2376,2,399360,medium,공용화권장(비핵심·계획품)
Q1077367,SEO26FF,계획품,C,2373,3,383475,medium,공용화권장(비핵심·계획품)
Q4572470,SEO26FF,보험품,C,1392,1,363895,medium,공용화권장(비핵심·계획품)
Q4575867,SEO26FF,보험품,B,1351,1,363000,medium,공용화권장(비핵심·계획품)
Q1053392,SEO26FF,계획품,C,1232,2,352000,medium,공용화권장(비핵심·계획품)
Q1073210,SEO26FF,계획품,C,2530,1,320000,medium,공용화권장(비핵심·계획품)
Q1073215,SEO26FF,계획품,C,2530,1,320000,medium,공용화권장(비핵심·계획품)
Q2119613,SEO26FF,보험품,C,689,4,320000,medium,공용화권장(비핵심·계획품)
Q4015364,SEO26FF,보험품,B,3495,1,318000,medium,공용화권장(비핵심·계획품)
Q1019962,SEO26FF,보험품,C,2512,1,310787,strong,즉시공용화(전사재고有)
Q1030453,SEO26FF,계획품,C,616,6,307710,strong,즉시공용화(전사재고有)
Q1072961,SEO26FF,보험품,C,727,4,305384,medium,공용화권장(비핵심·계획품)
Q4156386,SEO26FF,보험품,C,3606,19,304095,medium,공용화권장(비핵심·계획품)
Q4515205,SEO26FF,보험품,A,1521,20,301220,review,보류/전환(핵심보험)
Q4189150,SEO26FF,보험품,C,945,4,301200,medium,공용화권장(비핵심·계획품)
Q1078248,SEO26FF,보험품,A,721,2,300000,review,보류/전환(핵심보험)
Q4585578,SEO26FF,보험품,C,1207,5,295000,medium,공용화권장(비핵심·계획품)
Q2118354,SEO26FF,보험품,B,1686,20,291680,medium,공용화권장(비핵심·계획품)
Q2228264,SEO26FF,보험품,A,1450,2,280000,review,보류/전환(핵심보험)
Q1080969,SEO26FF,계획품,C,2330,2,270000,medium,공용화권장(비핵심·계획품)
Q1031708,SEO26FF,보험품,B,1590,1,260175,medium,공용화권장(비핵심·계획품)
Q4501966,SEO26FF,보험품,A,2060,8,256000,review,보류/전환(핵심보험)
Q4416013,SEO26FF,계획품,A,2897,1,250000,medium,공용화권장(비핵심·계획품)
Q4015363,SEO26FF,보험품,B,3495,1,248000,medium,공용화권장(비핵심·계획품)
Q2133119,SEO26FF,보험품,C,3552,1,237761,medium,공용화권장(비핵심·계획품)
Q1024603,SEO26FF,보험품,B,2010,14,233338,medium,공용화권장(비핵심·계획품)
Q1012781,SEO26FF,보험품,B,682,50,206750,medium,공용화권장(비핵심·계획품)
Q4308842,SEO26FF,계획품,C,2869,1,205340,strong,즉시공용화(전사재고有)
Q2052411,SEO26FF,보험품,A,1220,2,190000,review,보류/전환(핵심보험)
Q4444346,SEO26FF,계획품,C,2647,1,180000,medium,공용화권장(비핵심·계획품)
Q4635563,SEO26FF,보험품,C,814,10,180000,medium,공용화권장(비핵심·계획품)
Q1020996,SEO26FF,보험품,B,1599,2,175710,medium,공용화권장(비핵심·계획품)
Q4515206,SEO26FF,보험품,A,1694,8,168664,review,보류/전환(핵심보험)
Q4412119,SEO26FF,보험품,A,1263,2,162038,review,보류/전환(핵심보험)
Q4045098,SEO26FF,계획품,C,2948,2,158000,medium,공용화권장(비핵심·계획품)
Q1051490,SEO26FF,보험품,C,1703,8,157728,medium,공용화권장(비핵심·계획품)
Q2095020,SEO26FF,보험품,A,3124,10,156000,review,보류/전환(핵심보험)
Q4280135,SEO26FF,보험품,C,772,16,148848,medium,공용화권장(비핵심·계획품)
Q2008527,SEO26FF,보험품,C,689,2,148000,medium,공용화권장(비핵심·계획품)
Q1073859,SEO26FF,보험품,C,1798,1,145000,medium,공용화권장(비핵심·계획품)
Q2059080,SEO26FF,보험품,C,3069,10,142000,medium,공용화권장(비핵심·계획품)
Q1078249,SEO26FF,보험품,A,1241,1,141000,review,보류/전환(핵심보험)
Q2059081,SEO26FF,보험품,C,3039,10,140500,medium,공용화권장(비핵심·계획품)
Q2141016,SEO26FF,보험품,C,3474,2,140000,medium,공용화권장(비핵심·계획품)
Q2133117,SEO26FF,보험품,B,3600,1,138716,medium,공용화권장(비핵심·계획품)
Q1053378,SEO26FF,계획품,A,2470,2,134000,medium,공용화권장(비핵심·계획품)
Q4008484,SEO26FF,계획품,C,2337,10,128960,medium,공용화권장(비핵심·계획품)
Q1072668,SEO26FF,보험품,C,1681,20,128000,medium,공용화권장(비핵심·계획품)
Q1297240,SEO26FF,계획품,B,2907,2,127433,medium,공용화권장(비핵심·계획품)
Q1080970,SEO26FF,계획품,C,2330,1,125000,medium,공용화권장(비핵심·계획품)
Q2059083,SEO26FF,보험품,C,3332,10,118000,medium,공용화권장(비핵심·계획품)
Q1078004,SEO26FF,보험품,C,2911,1,116025,strong,즉시공용화(전사재고有)
Q2101008,SEO26FF,보험품,A,738,8,115552,review,보류/전환(핵심보험)
Q2101010,SEO26FF,보험품,A,738,8,115552,review,보류/전환(핵심보험)
Q2200464,SEO26FF,보험품,C,738,8,115552,medium,공용화권장(비핵심·계획품)
Q2200465,SEO26FF,보험품,C,738,8,115552,medium,공용화권장(비핵심·계획품)
Q2126459,SEO26FF,보험품,C,3597,40,114400,medium,공용화권장(비핵심·계획품)
Q4470227,SEO26FF,계획품,A,2379,1,99290,medium,공용화권장(비핵심·계획품)
Q1072889,SEO26FF,계획품,C,2893,2,95040,medium,공용화권장(비핵심·계획품)
Q2059079,SEO26FF,보험품,C,3333,1,90000,medium,공용화권장(비핵심·계획품)
Q1073870,SEO26FF,보험품,C,2926,2,74800,medium,공용화권장(비핵심·계획품)
Q1053318,SEO26FF,계획품,A,2499,2,73700,medium,공용화권장(비핵심·계획품)
Q1007239,SEO26FF,보험품,C,3643,5,72980,medium,공용화권장(비핵심·계획품)
Q1053317,SEO26FF,계획품,A,2495,2,72000,medium,공용화권장(비핵심·계획품)
Q1077400,SEO26FF,계획품,A,3125,2,70300,medium,공용화권장(비핵심·계획품)
Q4635441,SEO26FF,보험품,C,814,2,70000,medium,공용화권장(비핵심·계획품)
Q2059082,SEO26FF,보험품,C,3040,5,65000,medium,공용화권장(비핵심·계획품)
Q1121309,SEO26FF,계획품,C,1470,1,63430,medium,공용화권장(비핵심·계획품)
Q1077747,SEO26FF,계획품,B,1261,1,63400,medium,공용화권장(비핵심·계획품)
Q4015365,SEO26FF,보험품,B,3496,1,59567,medium,공용화권장(비핵심·계획품)
Q2095868,SEO26FF,보험품,B,1508,1,56000,medium,공용화권장(비핵심·계획품)
Q4342710,SEO26FF,계획품,B,2136,20,55820,medium,공용화권장(비핵심·계획품)
Q2101009,SEO26FF,보험품,A,738,4,53648,review,보류/전환(핵심보험)
Q2200466,SEO26FF,보험품,C,738,4,53648,medium,공용화권장(비핵심·계획품)
Q1073865,SEO26FF,보험품,C,2926,2,41800,medium,공용화권장(비핵심·계획품)
Q4015414,SEO26FF,보험품,B,3500,1,39600,medium,공용화권장(비핵심·계획품)
Q1073183,SEO26FF,계획품,B,2488,1,38190,medium,공용화권장(비핵심·계획품)
Q4310783,SEO26FF,계획품,S,1345,2,35078,medium,공용화권장(비핵심·계획품)
Q4089851,SEO26FF,보험품,A,3124,2,33200,review,보류/전환(핵심보험)
Q2079650,SEO26FF,보험품,C,1792,2,33000,medium,공용화권장(비핵심·계획품)
Q2079652,SEO26FF,보험품,C,1792,2,33000,medium,공용화권장(비핵심·계획품)
Q2079654,SEO26FF,보험품,C,1792,2,33000,medium,공용화권장(비핵심·계획품)
Q1305036,SEO26FF,계획품,C,3375,10,28670,medium,공용화권장(비핵심·계획품)
Q1073184,SEO26FF,계획품,B,2495,1,22910,medium,공용화권장(비핵심·계획품)
Q4011271,SEO26FF,계획품,B,3674,5,15885,medium,공용화권장(비핵심·계획품)
Q1073866,SEO26FF,보험품,C,2920,2,8800,medium,공용화권장(비핵심·계획품)
Q1073449,SEO26FF,계획품,C,2380,1,5280,medium,공용화권장(비핵심·계획품)
