Item,DeptCode,Type,TypeSource,Grade,CSP,CEQ,UnitCost,StockDept,StockAll,Target,OrderNeed,OrderAmount,Action,Reason
Q1023561,SEO26FF,보험품,master.csv,B,X,X,2300,14,14,7,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=7,상한22→7"
Q1023576,SEO26FF,보험품,master.csv,C,X,X,12440,1,1,3,2,24880,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한3→3"
Q1024150,SEO26FF,보험품,master.csv,B,X,X,5834,9,9,6,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=6,상한10→6"
Q1024335,SEO26FF,보험품,master.csv,C,X,X,31939,32,45,6,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=6,상한10→6"
Q1031104,SEO26FF,계획품,master.csv,B,X,X,401049,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1031233,SEO26FF,보험품,master.csv,A,X,X,1690348,2,2,5,3,5071044,발주,"비핵심보험[A] μ_LT+SS(Z2.05)=5,상한6→5"
Q1031361,SEO26FF,계획품,master.csv,C,X,X,939998,3,7,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1031708,SEO26FF,보험품,master.csv,B,X,X,260175,1,1,1,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한0→1"
Q1032182,SEO26FF,보험품,master.csv,A,X,O,558639,1,1,2,1,558639,발주,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한2,기준1→2"
Q1035525,SEO26FF,계획품,master.csv,C,X,X,99452,4,22,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1036694,SEO26FF,보험품,master.csv,C,X,X,85000,3,3,0,0,0,감축,비핵심보험[C] 소요無→0
Q1036702,SEO26FF,보험품,master.csv,C,X,X,82500,3,3,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2"
Q1036822,SEO26FF,계획품,master.csv,B,X,X,570000,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1036844,SEO26FF,계획품,master.csv,C,X,X,650333,4,4,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1036971,SEO26FF,계획품,master.csv,C,X,X,560000,12,32,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1040729,SEO26FF,보험품,master.csv,C,X,X,1460000,2,3,2,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2"
Q1041363,SEO26FF,계획품,master.csv,B,X,X,1000000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1041364,SEO26FF,보험품,master.csv,C,X,X,825000,5,5,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2"
Q1041372,SEO26FF,보험품,master.csv,C,X,X,4700000,4,4,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2"
Q1080083,SEO26FF,계획품,master.csv,A,X,O,1750000,1,1,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.2)→0
Q1080084,SEO26FF,계획품,master.csv,A,X,O,1750000,1,1,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.2)→0
Q1080117,SEO26FF,계획품,master.csv,B,X,X,20500,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1010099,SEO26FF,계획품,master.csv,C,X,X,43384,9,9,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1010193,SEO26FF,계획품,master.csv,C,X,X,14411,15,25,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1010224,SEO26FF,보험품,master.csv,C,X,X,116059,7,7,3,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한7→3"
Q1010299,SEO26FF,보험품,master.csv,B,X,X,239090,4,4,7,3,717270,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=7,상한10→7"
Q1015021,SEO26FF,계획품,master.csv,C,X,X,41,54,54,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1019683,SEO26FF,보험품,master.csv,A,X,X,10049325,2,2,7,5,50246625,발주,"비핵심보험[A] μ_LT+SS(Z2.05)=7,상한9→7"
Q1019689,SEO26FF,계획품,master.csv,A,X,X,8021737,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1019695,SEO26FF,계획품,master.csv,A,X,X,50274148,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1019962,SEO26FF,보험품,master.csv,C,X,X,310787,1,8,1,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한0→1"
Q1020094,SEO26FF,계획품,master.csv,B,X,X,1898633,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1020168,SEO26FF,보험품,master.csv,C,X,X,3293252,2,3,6,4,13173009,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=6,상한12→6"
Q1020996,SEO26FF,보험품,master.csv,B,X,X,87855,2,2,0,0,0,감축,비핵심보험[B] 소요無→0
Q1024603,SEO26FF,보험품,master.csv,B,X,X,16667,14,14,11,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=11,상한40→11"
Q1024620,SEO26FF,보험품,master.csv,B,X,X,10833,10,10,12,2,21666,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=12,상한40→12"
Q1029602,SEO26FF,보험품,master.csv,A,X,O,1650000,4,4,2,0,0,감축,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2"
Q1029614,SEO26FF,계획품,master.csv,A,X,O,1241316,1,1,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.2)→0
Q1029653,SEO26FF,계획품,master.csv,A,X,O,150000,3,3,0,0,0,감축,핵심설비 계획품이나 3년무소요→0
Q1029662,SEO26FF,보험품,master.csv,C,X,X,275000,5,5,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한5→2"
Q1029893,SEO26FF,계획품,master.csv,C,X,X,180000,1,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1033612,SEO26FF,보험품,master.csv,B,X,X,230834,2,2,1,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한0→1"
Q1033796,SEO26FF,계획품,master.csv,B,X,X,161799,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1033995,SEO26FF,계획품,master.csv,A,X,X,26282850,5,5,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1034231,SEO26FF,계획품,master.csv,A,X,X,97916500,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1034397,SEO26FF,계획품,master.csv,B,X,X,1442980,6,6,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1039075,SEO26FF,계획품,master.csv,B,X,X,3390000,9,9,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1039945,SEO26FF,계획품,master.csv,C,X,X,830000,3,5,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1039948,SEO26FF,계획품,master.csv,B,X,X,2350000,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1039950,SEO26FF,보험품,master.csv,B,X,X,3380000,4,4,2,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2"
Q1039951,SEO26FF,계획품,master.csv,C,X,X,2600000,1,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1040051,SEO26FF,보험품,master.csv,S,O,X,3630000,1,1,2,1,3630000,발주,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2"
Q1040053,SEO26FF,계획품,master.csv,B,X,X,1220000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1040054,SEO26FF,보험품,master.csv,B,X,X,1857000,2,2,2,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2"
Q1040058,SEO26FF,보험품,master.csv,B,X,X,690000,1,1,3,2,1380000,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한5→3"
Q1040060,SEO26FF,계획품,master.csv,A,X,X,630000,7,7,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1040061,SEO26FF,보험품,master.csv,C,X,X,1950000,4,5,4,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4"
Q1040065,SEO26FF,계획품,master.csv,B,X,X,2005000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1040129,SEO26FF,계획품,master.csv,B,X,X,2030000,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1080541,SEO26FF,계획품,master.csv,C,X,X,650000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1080794,SEO26FF,계획품,master.csv,C,X,X,214800,4,4,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1080969,SEO26FF,계획품,master.csv,C,X,X,135000,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1080970,SEO26FF,계획품,master.csv,C,X,X,125000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1113604,SEO26FF,계획품,master.csv,B,X,X,837206,24,24,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q2008527,SEO26FF,보험품,master.csv,C,X,X,74000,2,2,1,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한0→1"
Q2013987,SEO26FF,계획품,master.csv,S,X,O,5380000,2,2,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.4)→0
Q2015221,SEO26FF,계획품,master.csv,C,X,X,626687,3,6,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q2018730,SEO26FF,보험품,master.csv,C,X,X,187000,11,11,5,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=5,상한8→5"
Q2019637,SEO26FF,계획품,master.csv,B,X,X,1400000,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1072616,SEO26FF,계획품,master.csv,B,X,X,1289380,8,8,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1072668,SEO26FF,보험품,master.csv,C,X,X,6400,20,20,0,0,0,감축,비핵심보험[C] 소요無→0
Q1072820,SEO26FF,보험품,master.csv,B,X,X,96000,2,2,3,1,96000,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3"
Q1072821,SEO26FF,보험품,master.csv,C,X,X,45200,4,4,4,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4"
Q1072836,SEO26FF,보험품,master.csv,B,X,X,4200000,1,1,2,1,4200000,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2"
Q1072924,SEO26FF,계획품,master.csv,C,X,X,537550,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1072926,SEO26FF,계획품,master.csv,B,X,X,12342667,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1072928,SEO26FF,계획품,master.csv,B,X,X,20000000,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1072961,SEO26FF,보험품,master.csv,C,X,X,76346,4,4,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2"
Q1072973,SEO26FF,보험품,master.csv,C,X,X,40500,14,14,9,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=9,상한16→9"
Q1072995,SEO26FF,계획품,master.csv,A,X,O,3203333,1,1,0,0,0,감축,핵심설비 계획품이나 3년무소요→0
Q1073040,SEO26FF,계획품,master.csv,B,X,X,1080000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073183,SEO26FF,계획품,master.csv,B,X,X,38190,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073184,SEO26FF,계획품,master.csv,B,X,X,22910,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073210,SEO26FF,계획품,master.csv,C,X,X,320000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073215,SEO26FF,계획품,master.csv,C,X,X,320000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073310,SEO26FF,계획품,master.csv,B,X,X,3180000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073449,SEO26FF,계획품,master.csv,C,X,X,5280,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073553,SEO26FF,계획품,master.csv,B,X,X,476739,4,4,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073590,SEO26FF,보험품,master.csv,C,X,X,123500,8,8,15,7,864500,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=15,상한32→15"
Q1073594,SEO26FF,계획품,master.csv,C,X,X,80000,8,8,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1073859,SEO26FF,보험품,master.csv,C,X,X,145000,1,1,1,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한2→1"
Q1073865,SEO26FF,보험품,master.csv,C,X,X,20900,2,2,0,0,0,감축,비핵심보험[C] 소요無→0
Q1073866,SEO26FF,보험품,master.csv,C,X,X,4400,2,2,0,0,0,감축,비핵심보험[C] 소요無→0
Q1073870,SEO26FF,보험품,master.csv,C,X,X,37400,2,2,0,0,0,감축,비핵심보험[C] 소요無→0
Q1121309,SEO26FF,계획품,master.csv,C,X,X,63430,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1122097,SEO26FF,보험품,master.csv,C,X,X,1003,100,100,0,0,0,감축,비핵심보험[C] 소요無→0
Q1269776,SEO26FF,보험품,master.csv,B,X,X,748071,2,2,2,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한4→2"
Q2011794,SEO26FF,계획품,master.csv,C,X,X,103470,6,6,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q2011846,SEO26FF,보험품,master.csv,B,X,X,545000,3,3,10,7,3815000,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=10,상한0→10"
Q1076627,SEO26FF,계획품,master.csv,B,X,X,1150000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1076630,SEO26FF,계획품,master.csv,B,X,X,3800000,2,2,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077285,SEO26FF,보험품,master.csv,B,X,X,200000,10,10,14,4,800000,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=14,상한60→14"
Q1077340,SEO26FF,계획품,master.csv,C,X,X,5100000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077367,SEO26FF,계획품,master.csv,C,X,X,127825,3,3,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077400,SEO26FF,계획품,master.csv,A,X,O,35150,2,2,0,0,0,감축,핵심설비 계획품이나 3년무소요→0
Q1077476,SEO26FF,보험품,master.csv,C,X,O,13800000,2,3,2,0,0,유지,"핵심보험[C] μ_LT+SS(Z1.28)=2,상한2,기준1→2"
Q1077486,SEO26FF,계획품,master.csv,C,X,X,600000,4,4,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077487,SEO26FF,계획품,master.csv,C,X,X,600000,4,4,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077622,SEO26FF,계획품,master.csv,S,X,O,3524000,1,1,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.5)→0
Q1077624,SEO26FF,보험품,master.csv,B,X,X,10200000,1,1,1,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한1→1"
Q1077646,SEO26FF,계획품,master.csv,B,X,X,470000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077670,SEO26FF,보험품,master.csv,B,X,X,2000000,10,10,10,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=10,상한20→10"
Q1077676,SEO26FF,계획품,master.csv,B,X,X,7766,40,40,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077684,SEO26FF,보험품,master.csv,C,X,X,6700000,3,5,1,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1"
Q1077685,SEO26FF,보험품,master.csv,C,X,X,2600000,3,4,1,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한2→1"
Q1077724,SEO26FF,계획품,master.csv,C,X,X,550000,6,6,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077747,SEO26FF,계획품,master.csv,B,X,X,63400,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077761,SEO26FF,계획품,master.csv,B,X,X,141000,7,7,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077763,SEO26FF,계획품,master.csv,B,X,X,101000,7,7,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077776,SEO26FF,계획품,master.csv,B,X,X,5450000,4,4,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077777,SEO26FF,계획품,master.csv,C,X,X,1680000,12,12,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077786,SEO26FF,계획품,master.csv,B,X,X,1180494,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077922,SEO26FF,계획품,master.csv,B,X,X,1100000,1,1,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077925,SEO26FF,계획품,master.csv,B,X,X,1130000,4,4,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주)
Q1077941,SEO26FF,보험품,master.csv,C,X,X,195000,4,4,4,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한4→4"
Q1078004,SEO26FF,보험품,master.csv,C,X,X,116025,1,3,2,1,116025,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2"
Q1078005,SEO26FF,보험품,master.csv,B,X,X,580000,2,2,1,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1"
Q1034310,SEO26FF,보험품,master.csv,C,X,X,319813,2,13,4,2,639626,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한15→4"
