Signal,Status,Item,DeptCode,Type,Equipment,Kind,StopDate,OrderByDate,D_days,ExpectedNeed,CurrentStock,OrderNeed,OrderAmount
yellow,발주임박,Q1000745,SEO26FF,보험품,,상시,,,,4,2,2,2440000
yellow,발주임박,Q1039371,SEO26FF,보험품,,상시,,,,2,1,1,1179555
yellow,발주임박,Q2054727,SEO26FF,보험품,,상시,,,,21,16,5,19726878
yellow,발주임박,Q2212113,SEO26FF,보험품,,상시,,,,2,1,1,5700000
yellow,발주임박,Q4017998,SEO26FF,보험품,,상시,,,,2,1,1,17510329
yellow,발주임박,Q4018007,SEO26FF,보험품,,상시,,,,7,5,2,2163788
yellow,발주임박,Q4018210,SEO26FF,보험품,,상시,,,,6,3,3,8733404
yellow,발주임박,Q4039953,SEO26FF,보험품,,상시,,,,3,2,1,22320000
yellow,발주임박,Q4173290,SEO26FF,보험품,,상시,,,,3,2,1,15145171
green,여유,Q1042338,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q1053133,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q1078248,SEO26FF,보험품,FM Main Motor,상시,,,,2,2,0,0
green,여유,Q1078249,SEO26FF,보험품,FM Main Motor,상시,,,,1,1,0,0
green,여유,Q1053247,SEO26FF,보험품,FM Main Motor,상시,,,,4,4,0,0
green,여유,Q1053248,SEO26FF,보험품,FM Main Motor,상시,,,,4,4,0,0
green,여유,Q1053401,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q1053581,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q1053588,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q1119795,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q1002238,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q1021614,SEO26FF,보험품,,상시,,,,10,10,0,0
green,여유,Q1031708,SEO26FF,보험품,FM Main Motor,상시,,,,1,1,0,0
green,여유,Q1040729,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q1019962,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q1040054,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q1040061,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q1072821,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q1073859,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q1269776,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q1077476,SEO26FF,보험품,FM Spindle 감속기,상시,,,,2,2,0,0
green,여유,Q1077624,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q1077670,SEO26FF,보험품,,상시,,,,10,10,0,0
green,여유,Q1077941,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q2024605,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2042214,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2054201,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2056110,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2059088,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q2060332,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2060337,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2060465,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2070797,SEO26FF,계획품,,상시,,,,1,1,0,0
green,여유,Q2084886,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q2087833,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q2091279,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2094313,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2095868,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2106112,SEO26FF,보험품,,상시,,,,8,8,0,0
green,여유,Q2110732,SEO26FF,보험품,FM Roll Alignment,상시,,,,1,1,0,0
green,여유,Q2110733,SEO26FF,보험품,FM Roll Alignment,상시,,,,1,1,0,0
green,여유,Q2116694,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2116695,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2133118,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2133119,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2140042,SEO26FF,보험품,,상시,,,,5,5,0,0
green,여유,Q2141016,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2141021,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2176849,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2179246,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2200004,SEO26FF,보험품,,상시,,,,16,16,0,0
green,여유,Q2200005,SEO26FF,보험품,,상시,,,,16,16,0,0
green,여유,Q2202508,SEO26FF,보험품,FM Roll Alignment,상시,,,,1,1,0,0
green,여유,Q2206557,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q2224741,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q2235169,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2235172,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4002139,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4003811,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4030286,SEO26FF,보험품,Walking Beam 기어베어링,상시,,,,1,1,0,0
green,여유,Q4030636,SEO26FF,보험품,Walking Beam 기어베어링,상시,,,,1,1,0,0
green,여유,Q4034332,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4041104,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4073338,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4085105,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4089851,SEO26FF,보험품,FM Edge Heater,상시,,,,2,2,0,0
green,여유,Q4103142,SEO26FF,보험품,FM Hot Leveller,상시,,,,1,1,0,0
green,여유,Q4112995,SEO26FF,보험품,FM Hot Leveller,상시,,,,4,4,0,0
green,여유,Q4119198,SEO26FF,보험품,FM Main Motor,상시,,,,1,1,0,0
green,여유,Q4136434,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4140768,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4189151,SEO26FF,보험품,,상시,,,,6,6,0,0
green,여유,Q4203928,SEO26FF,보험품,FM Main Motor,상시,,,,1,1,0,0
green,여유,Q4204059,SEO26FF,보험품,FM Pinion Stand,상시,,,,4,4,0,0
green,여유,Q4204061,SEO26FF,보험품,FM Pinion Stand,상시,,,,1,1,0,0
green,여유,Q4204060,SEO26FF,보험품,FM Pinion Stand,상시,,,,2,2,0,0
green,여유,Q4210501,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4210610,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4210612,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4232430,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4239083,SEO26FF,보험품,,상시,,,,3,3,0,0
green,여유,Q4264097,SEO26FF,보험품,,상시,,,,5,5,0,0
green,여유,Q4312812,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4321160,SEO26FF,보험품,FM Main Motor,상시,,,,1,1,0,0
green,여유,Q4336678,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4390457,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4394089,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4398385,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4435466,SEO26FF,보험품,FM Main Motor,상시,,,,4,4,0,0
green,여유,Q4439263,SEO26FF,보험품,QOC Servo,상시,,,,1,1,0,0
green,여유,Q4439264,SEO26FF,보험품,QOC Servo,상시,,,,1,1,0,0
green,여유,Q4439269,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4439270,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4443501,SEO26FF,보험품,,상시,,,,6,6,0,0
green,여유,Q4450272,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4453988,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4459402,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4460076,SEO26FF,보험품,FM Edge Heater,상시,,,,1,1,0,0
green,여유,Q4471765,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4480769,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4485045,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4485080,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4485081,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4485087,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4493662,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4504475,SEO26FF,보험품,FM Hot Leveller,상시,,,,1,1,0,0
green,여유,Q4504476,SEO26FF,보험품,FM Roll Alignment,상시,,,,2,2,0,0
green,여유,Q4504478,SEO26FF,보험품,FM Roll Alignment,상시,,,,2,2,0,0
green,여유,Q4515206,SEO26FF,보험품,FM Roll Alignment,상시,,,,8,8,0,0
green,여유,Q4515573,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4517465,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4517801,SEO26FF,보험품,,상시,,,,6,6,0,0
green,여유,Q4524604,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4524949,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4532058,SEO26FF,보험품,Stand Main TR,상시,,,,1,1,0,0
green,여유,Q4536719,SEO26FF,보험품,,상시,,,,4,4,0,0
green,여유,Q4546235,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4551507,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4559574,SEO26FF,보험품,,상시,,,,6,6,0,0
green,여유,Q4559575,SEO26FF,보험품,,상시,,,,3,3,0,0
green,여유,Q4559686,SEO26FF,보험품,,상시,,,,3,3,0,0
green,여유,Q4562126,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4562194,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4572470,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4572473,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4575867,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4576623,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4576624,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4582819,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4587154,SEO26FF,보험품,QOC Servo,상시,,,,5,5,0,0
green,여유,Q4588343,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4590955,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4597580,SEO26FF,보험품,FM Hot Leveller,상시,,,,30,30,0,0
green,여유,Q4598537,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4612557,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4625628,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4625646,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4652294,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,QS429155,SEO26FF,보험품,Table Roller 기어박스,상시,,,,1,1,0,0
green,여유,Q1042306,SEO26FF,보험품,,상시,,,,3,3,0,0
green,여유,Q1218391,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2062201,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q2139998,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4018016,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4018019,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4018022,SEO26FF,보험품,,상시,,,,2,2,0,0
green,여유,Q4169635,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4174454,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4174455,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4192179,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4257701,SEO26FF,보험품,,상시,,,,1,1,0,0
green,여유,Q4441695,SEO26FF,보험품,,상시,,,,1,1,0,0
gray,재고불요,Q1042383,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,재고불요,Q1052933,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,충분,Q1053112,SEO26FF,보험품,FM Crop Shear,상시,,,,2,4,0,0
gray,충분,Q1053113,SEO26FF,보험품,FM Crop Shear,상시,,,,2,4,0,0
gray,재고불요,Q1053117,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,재고불요,Q1053210,SEO26FF,계획품,,상시,,,,0,3,0,0
gray,재고불요,Q1078241,SEO26FF,계획품,,상시,,,,0,1,0,0
gray,재고불요,Q1078244,SEO26FF,보험품,,상시,,,,0,1,0,0
gray,충분,Q1053287,SEO26FF,보험품,FM Main Motor,상시,,,,1,3,0,0
gray,재고충분,Q1053317,SEO26FF,계획품,FM Main Motor,대수리,2026-09-04,2026-05-17,-109,1,2,0,0
gray,재고충분,Q1053318,SEO26FF,계획품,FM Main Motor,대수리,2026-09-04,2026-05-16,-110,1,2,0,0
gray,재고충분,Q1053378,SEO26FF,계획품,FM Main Motor,대수리,2026-09-04,2026-05-17,-109,1,2,0,0
gray,재고불요,Q1053392,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,충분,Q1053400,SEO26FF,보험품,,상시,,,,1,2,0,0
gray,재고불요,Q1053468,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,충분,Q1053590,SEO26FF,보험품,,상시,,,,2,4,0,0
gray,재고불요,Q1117822,SEO26FF,보험품,,상시,,,,0,1,0,0
gray,충분,Q1051490,SEO26FF,보험품,,상시,,,,2,8,0,0
gray,재고불요,Q1119268,SEO26FF,계획품,,상시,,,,0,60,0,0
gray,재고불요,Q1119452,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,충분,Q1119649,SEO26FF,보험품,,상시,,,,7,20,0,0
gray,재고불요,Q1000751,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,충분,Q1204795,SEO26FF,보험품,,상시,,,,2,12,0,0
gray,충분,Q1204949,SEO26FF,보험품,,상시,,,,4,13,0,0
gray,재고불요,Q1305036,SEO26FF,계획품,,상시,,,,0,10,0,0
gray,재고불요,Q1002292,SEO26FF,보험품,,상시,,,,0,10,0,0
gray,재고불요,Q1004847,SEO26FF,계획품,,상시,,,,0,30,0,0
gray,재고불요,Q1005323,SEO26FF,계획품,,상시,,,,0,323,0,0
gray,재고불요,Q1011982,SEO26FF,계획품,,상시,,,,0,100,0,0
gray,충분,Q1021920,SEO26FF,보험품,,상시,,,,8,15,0,0
gray,재고충분,Q1030043,SEO26FF,계획품,FM Spindle 감속기,대수리,2026-09-04,2026-05-06,-120,1,1,0,0
gray,재고충분,Q1030044,SEO26FF,계획품,FM Spindle 감속기,대수리,2026-09-04,2026-05-04,-122,1,1,0,0
gray,재고불요,Q1030453,SEO26FF,계획품,,상시,,,,0,6,0,0
gray,재고불요,Q1293261,SEO26FF,계획품,,상시,,,,0,1,0,0
gray,충분,Q1297201,SEO26FF,보험품,,상시,,,,2,22,0,0
gray,재고불요,Q1297240,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,재고불요,Q1308654,SEO26FF,계획품,,상시,,,,0,1,0,0
gray,재고불요,Q1012773,SEO26FF,계획품,,상시,,,,0,2,0,0
gray,재고불요,Q1018930,SEO26FF,보험품,,상시,,,,0,1,0,0
gray,재고불요,Q1019385,SEO26FF,계획품,FM Crop Shear,상시,,,,0,2,0,0
gray,충분,Q1023561,SEO26FF,보험품,,상시,,,,7,14,0,0
gray,충분,Q1024150,SEO26FF,보험품,,상시,,,,6,9,0,0
gray,충분,Q1024335,SEO26FF,보험품,,상시,,,,6,32,0,0
gray,재고불요,Q1031104,SEO26FF,계획품,,상시,,,,0,1,0,0
gray,재고불요,Q1031361,SEO26FF,계획품,,상시,,,,0,3,0,0
