q,dept,targetIns,reasonIns,gradeIns,signalIns,statusIns,targetPln,reasonPln,gradePln,signalPln,statusPln
Q1010299,SEO26FF,7,"비핵심보험[B] μ_LT+SS(Z1.65)=7,상한10→7",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1011982,SEO26FF,78,"비핵심보험[B] μ_LT+SS(Z1.65)=78,상한200→78",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1012773,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한2→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1012781,SEO26FF,100,"비핵심보험[B] μ_LT+SS(Z1.65)=100,상한200→100",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1015021,SEO26FF,24,"비핵심보험[C] μ_LT+SS(Z1.28)=24,상한0→24",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1018930,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1019015,SEO26FF,3,"비핵심보험[A] μ_LT+SS(Z2.05)=3,상한5→3",A,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q1019385,SEO26FF,7,"핵심보험[S] μ_LT+SS(Z2.58)=7,상한8,기준1→7",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.4)→0,S,gray,재고불요
Q1019683,SEO26FF,7,"비핵심보험[A] μ_LT+SS(Z2.05)=7,상한9→7",A,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q1019689,SEO26FF,5,"비핵심보험[A] μ_LT+SS(Z2.05)=5,상한9→5",A,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q1019695,SEO26FF,7,"비핵심보험[A] μ_LT+SS(Z2.05)=7,상한10→7",A,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q1019962,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한0→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1020094,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한6→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1020168,SEO26FF,6,"비핵심보험[C] μ_LT+SS(Z1.28)=6,상한12→6",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1020996,SEO26FF,0,비핵심보험[B] 소요無→0,B,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1021614,SEO26FF,10,"비핵심보험[B] μ_LT+SS(Z1.65)=10,상한10→10",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1021836,SEO26FF,63,"비핵심보험[C] μ_LT+SS(Z1.28)=63,상한100→63",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1021920,SEO26FF,8,"비핵심보험[C] μ_LT+SS(Z1.28)=8,상한24→8",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1021932,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=5,상한4→4",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1023561,SEO26FF,7,"비핵심보험[B] μ_LT+SS(Z1.65)=7,상한22→7",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1023576,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한3→3",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1024150,SEO26FF,6,"비핵심보험[B] μ_LT+SS(Z1.65)=6,상한10→6",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1024335,SEO26FF,6,"비핵심보험[C] μ_LT+SS(Z1.28)=6,상한10→6",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1024603,SEO26FF,11,"비핵심보험[B] μ_LT+SS(Z1.65)=11,상한40→11",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1024620,SEO26FF,12,"비핵심보험[B] μ_LT+SS(Z1.65)=12,상한40→12",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1029602,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2",A,gray,충분,0,핵심설비 계획품이나 소요비활발(λ0.3)→0,A,gray,재고충분
Q1029614,SEO26FF,1,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",A,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.2)→0,A,gray,재고충분
Q1029653,SEO26FF,1,핵심보험[A] 소요無→기준1,A,gray,충분,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고불요
Q1029662,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한5→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1029893,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1030043,SEO26FF,1,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",A,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.1)→0,A,gray,재고충분
Q1030044,SEO26FF,1,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",A,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.2)→0,A,gray,재고충분
Q1030453,SEO26FF,5,"비핵심보험[C] μ_LT+SS(Z1.28)=5,상한6→5",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1031104,SEO26FF,0,비핵심보험[B] 소요無→0,B,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1031233,SEO26FF,5,"비핵심보험[A] μ_LT+SS(Z2.05)=5,상한6→5",A,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q1031361,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한8→4",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1031708,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한0→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고충분
Q1032182,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한2,기준1→2",A,yellow,발주임박,0,핵심설비 계획품이나 소요비활발(λ0.1)→0,A,red,즉시발주
Q1032374,SEO26FF,3,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한4,기준2→3",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1033612,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한0→1",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1033796,SEO26FF,0,비핵심보험[B] 소요無→0,B,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1033995,SEO26FF,7,"비핵심보험[A] μ_LT+SS(Z2.05)=7,상한10→7",A,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q1034231,SEO26FF,3,"비핵심보험[A] μ_LT+SS(Z2.05)=3,상한4→3",A,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q1034310,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한15→4",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1034397,SEO26FF,5,"비핵심보험[B] μ_LT+SS(Z1.65)=5,상한6→5",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고충분
Q1035525,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한8→4",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1036694,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1036702,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1036822,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1036844,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1036971,SEO26FF,15,"비핵심보험[C] μ_LT+SS(Z1.28)=15,상한42→15",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1039075,SEO26FF,12,"비핵심보험[B] μ_LT+SS(Z1.65)=12,상한22→12",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1039284,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준1→2",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1039371,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준1→2",S,yellow,발주임박,0,핵심설비 계획품이나 소요비활발(λ0.2)→0,S,gray,재고불요
Q1039945,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1039948,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한5→3",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1039950,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1039951,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한4→3",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1040012,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1040051,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2",S,yellow,발주임박,0,핵심설비 계획품이나 소요비활발(λ0.6)→0,S,gray,재고불요
Q1040053,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한5→3",B,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1040054,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1040058,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한5→3",B,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1040060,SEO26FF,9,"비핵심보험[A] μ_LT+SS(Z2.05)=9,상한20→9",A,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),A,gray,재고불요
Q1040061,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1040065,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한5→2",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1040129,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1040224,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한1,기준2→2",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1040225,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1040312,SEO26FF,4,"핵심보험[S] μ_LT+SS(Z2.58)=4,상한4,기준1→4",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.6)→0,S,gray,재고불요
Q1040729,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1041363,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1041364,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1041372,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1042306,SEO26FF,3,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한4,기준1→3",S,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.5)→0,S,gray,재고불요
Q1042338,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1042383,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한4→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1042421,SEO26FF,1,핵심보험[S] 소요無→기준1,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1048997,SEO26FF,1,핵심보험[S] 소요無→기준1,S,gray,충분,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1049004,SEO26FF,1,핵심보험[S] 소요無→기준1,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1051490,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한0→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1052919,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한8→3",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1052933,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한10→3",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053112,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2",A,gray,충분,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고불요
Q1053113,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2",A,gray,충분,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고불요
Q1053117,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한2→2",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053133,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053210,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한4→3",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053247,SEO26FF,4,"핵심보험[A] μ_LT+SS(Z2.05)=4,상한6,기준1→4",A,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.4)→0,A,gray,재고충분
Q1053248,SEO26FF,4,"핵심보험[A] μ_LT+SS(Z2.05)=4,상한6,기준1→4",A,green,여유,0,핵심설비 계획품이나 소요비활발(λ0.3)→0,A,gray,재고충분
Q1053287,SEO26FF,1,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",A,gray,충분,1,핵심설비계획품 소요활발(λ1.2)→소량1,A,gray,재고충분
Q1053317,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한0,기준1→2",A,green,여유,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q1053318,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한0,기준1→2",A,green,여유,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q1053378,SEO26FF,1,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한0,기준1→1",A,gray,충분,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q1053392,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한2→2",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053400,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053401,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한1→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053468,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053581,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한3→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1053588,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한8→4",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1053590,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한4→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1071793,SEO26FF,25,"핵심보험[S] μ_LT+SS(Z2.58)=25,상한32,기준6→25",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.7)→0,S,gray,재고불요
Q1072616,SEO26FF,7,"비핵심보험[B] μ_LT+SS(Z1.65)=7,상한11→7",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1072668,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1072820,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1072821,SEO26FF,4,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1072836,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고충분
Q1072889,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한4→3",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1072924,SEO26FF,3,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한6→3",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1072926,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1072928,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한6→3",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1072930,SEO26FF,3,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한5→3",B,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1072961,SEO26FF,2,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1072973,SEO26FF,9,"비핵심보험[C] μ_LT+SS(Z1.28)=9,상한16→9",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1072995,SEO26FF,2,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한3,기준1→2",A,yellow,발주임박,0,핵심설비 계획품이나 3년무소요→0,A,gray,재고충분
Q1073040,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1073119,SEO26FF,1,"핵심보험[S] μ_LT+SS(Z2.58)=1,상한2,기준1→1",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1073183,SEO26FF,0,비핵심보험[B] 소요無→0,B,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1073184,SEO26FF,0,비핵심보험[B] 소요無→0,B,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1073185,SEO26FF,24,"핵심보험[S] μ_LT+SS(Z2.58)=24,상한28,기준6→24",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.9)→0,S,gray,재고불요
Q1073210,SEO26FF,8,"비핵심보험[C] μ_LT+SS(Z1.28)=8,상한8→8",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1073215,SEO26FF,8,"비핵심보험[C] μ_LT+SS(Z1.28)=8,상한8→8",C,red,즉시발주,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1073256,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한2→2",B,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1073310,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1073416,SEO26FF,24,"핵심보험[S] μ_LT+SS(Z2.58)=24,상한30,기준6→24",S,red,즉시발주,0,핵심설비 계획품이나 소요비활발(λ0.7)→0,S,gray,재고불요
Q1073449,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1073453,SEO26FF,21,"핵심보험[S] μ_LT+SS(Z2.58)=21,상한30,기준6→21",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1073553,SEO26FF,4,"비핵심보험[B] μ_LT+SS(Z1.65)=4,상한4→4",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1073590,SEO26FF,15,"비핵심보험[C] μ_LT+SS(Z1.28)=15,상한32→15",C,yellow,발주임박,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1073594,SEO26FF,6,"비핵심보험[C] μ_LT+SS(Z1.28)=6,상한8→6",C,gray,충분,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1073859,SEO26FF,1,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한2→1",C,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1073865,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1073866,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1073870,SEO26FF,0,비핵심보험[C] 소요無→0,C,gray,재고불요,0,계획품 원칙0(비핵심설비→수리일정발주),C,gray,재고불요
Q1074634,SEO26FF,2,"핵심보험[S] μ_LT+SS(Z2.58)=1,상한0,기준2→2",S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1074772,SEO26FF,4,핵심보험[S] 소요無→기준4,S,red,즉시발주,0,핵심설비 계획품이나 3년무소요→0,S,gray,재고불요
Q1076627,SEO26FF,1,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
Q1076630,SEO26FF,2,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",B,green,여유,0,계획품 원칙0(비핵심설비→수리일정발주),B,gray,재고불요
