q,dept,name,group,type,csp,ceq,wh,stockDept,stockAll,suppliers,price,ltMean,ltStd,cycles,proc,recvDate,eq,holdStd
Q1019962,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,보험품,X,X,QFC01,1,8,3,310787,67.44,68.41,9,수입,2019-10-18,,
Q1020094,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,계획품,X,X,QFC01,2,2,1,1898633.38,83.8,48.14,5,국내,2025-08-26,,
Q1020168,SEO26FF,Ball & Roller BRG,Q_Ball & Roller BRG,보험품,X,X,QFC01,2,3,1,3293252.14,215.71,214.08,7,국내,2025-09-25,,
Q1020996,SEO26FF,Machinery Common,Q_Machinery Common,보험품,X,X,QFC01,2,2,1,87855,83.67,40.38,3,국내,2022-04-18,,
Q1021614,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,10,10,1,117.5,44.75,18.8,12,국내,2026-05-27,,
Q1021836,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,3,16,7,55.59,86.57,78.77,63,수입,2026-05-14,,
Q1021920,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,15,73,9,611.45,82.23,73.61,88,수입,2026-05-12,,
Q1021932,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,2,36,10,1302.58,72.33,65.81,45,수입,2026-06-25,,
Q1023561,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,14,14,1,2300,52.27,18.54,15,국내,2023-08-17,,
Q1023576,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,1,1,1,12440,47.67,8.96,3,국내,2024-08-19,,
Q1024150,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,9,9,3,5834.02,56.12,78.04,17,수입,2026-05-29,,
Q1024335,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,32,45,3,31939.05,120.32,55.19,19,수입,2024-12-12,,
Q1024603,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,14,14,1,16667,55.58,20.21,12,국내,2021-03-03,,
Q1024620,SEO26FF,Packing & Seal,Q_Packing & Seal,보험품,X,X,QFC01,10,10,1,10833,48.95,17.36,21,국내,2025-05-21,,
Q1029602,SEO26FF,Drive Coupling,Q_Drive Coupling,보험품,X,O,QFC01,4,4,2,1650000,63.12,18.91,8,국내,2025-10-16,FM Spindle 감속기,
Q1029614,SEO26FF,Drive Coupling,Q_Drive Coupling,계획품,X,O,QFC01,1,1,1,1241316,57,0,2,국내,2016-01-29,FM Spindle 감속기,
Q1029653,SEO26FF,Drive Coupling,Q_Drive Coupling,계획품,X,O,QFC01,3,3,2,150000,78.33,8.62,3,국내,2025-09-01,FM Crop Shear,
Q1029662,SEO26FF,Drive Coupling,Q_Drive Coupling,보험품,X,X,QFC01,5,5,3,275000,60.4,13.18,5,국내,2025-09-08,,
Q1029893,SEO26FF,Drive Coupling,Q_Drive Coupling,계획품,X,X,QFC01,1,3,4,180000,60,25.27,14,국내,2025-12-18,,
Q1030043,SEO26FF,Drive Coupling,Q_Drive Coupling,계획품,X,O,QFC01,1,1,4,210000,64.9,24.53,10,국내,2025-11-24,FM Spindle 감속기,
Q1030044,SEO26FF,Drive Coupling,Q_Drive Coupling,계획품,X,O,QFC01,1,1,4,210000,68.6,21.25,10,국내,2025-11-24,FM Spindle 감속기,
Q1030453,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QFC01,6,7,1,51285,57.5,37.83,8,국내,2024-12-26,,
Q1031104,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QFC01,1,1,0,401049,,,0,(미확인),,,
Q1031233,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,2,2,1,1690348,191.17,59.36,6,국내,2026-03-06,,
Q1031361,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QHB24,3,7,1,939998,209,81.74,15,국내,2026-07-20,,
Q1031708,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,1,1,1,260175,146,1.41,2,국내,2022-04-27,FM Main Motor,
Q1032182,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,O,QFC01,1,1,1,558639,67.33,7.64,3,국내,2021-07-27,FM Roll Alignment,
Q1032374,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,O,X,QFC01,0,1,1,208614,123.53,108.29,38,국내,2026-08-05,,2
Q1033612,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,2,2,1,230834,85,0,1,국내,2016-02-03,,
Q1033796,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QFC01,3,3,1,161798.53,97.5,12.02,2,수입,2016-07-07,,
Q1033995,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QHB27,5,5,1,26282850,126.6,45.4,42,국내,2026-08-27,,
Q1034231,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QHB25,3,3,1,97916500,144.7,47.48,10,국내,2026-07-28,,
Q1034310,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,보험품,X,X,QFC01,2,13,4,319813,127,95.55,26,수입,2026-07-01,,
Q1034397,SEO26FF,Hydraulic & Pneumatics,Q_Hydraulic & Pneumatics,계획품,X,X,QHB24,6,6,2,1442980,81.88,29.78,8,수입,2025-09-17,FM Main Motor,
Q1035525,SEO26FF,Machinery Common,Q_Machinery Common,계획품,X,X,QHB24,4,22,5,99452.24,62.3,76.89,439,수입,2026-08-26,,
Q1036694,SEO26FF,Drive Coupling,Q_Drive Coupling,보험품,X,X,QFC01,3,3,2,85000,39.14,17.59,7,국내,2025-09-23,,
Q1036702,SEO26FF,Drive Coupling,Q_Drive Coupling,보험품,X,X,QFC01,3,3,2,82500,58.25,15.75,16,국내,2026-05-28,,
Q1036822,SEO26FF,Expan/Joint(Non-Metal),Q_Expan/Joint(Non-Metal),계획품,X,X,QFC01,2,2,0,570000,65,8.49,2,(미확인),2015-05-22,,
Q1036844,SEO26FF,Expan/Joint(Non-Metal),Q_Expan/Joint(Non-Metal),계획품,X,X,QFC01,4,4,2,650333.33,73.67,23.44,3,국내,2021-06-22,,
Q1036971,SEO26FF,Expan/Joint(Non-Metal),Q_Expan/Joint(Non-Metal),계획품,X,X,QFC01,12,32,6,560000,52.38,25.6,50,국내,2026-06-17,,
Q1039075,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,9,9,4,3390000,93.32,24.19,19,국내,2026-08-27,,
Q1039284,SEO26FF,Hydraulic Cylinder(Critical),Q_Hydraulic Cylinder(Critical),보험품,O,X,QFC01,0,1,3,5435000,121.33,69.3,3,국내,2024-06-10,,1
Q1039371,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,1,1,3,1179555,86.75,10.81,4,국내,2024-02-29,,1
Q1039945,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,3,5,3,830000,102.2,23.32,5,국내,2025-02-25,,
Q1039948,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,3,3,5,2350000,99,27.66,10,국내,2026-01-08,,
Q1039950,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,4,4,6,3380000,89.33,24.86,9,국내,2026-05-21,,
Q1039951,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,1,2,4,2600000,88.67,33.52,6,국내,2025-10-30,,
Q1040012,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,0,0,1,6820905,113,0,1,국내,2018-02-23,,2
Q1040051,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,1,1,5,3630000,85.62,21.69,8,국내,2026-03-18,,2
Q1040053,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,1,1,3,1220000,85.1,13.09,10,국내,2025-05-30,,
Q1040054,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,2,2,4,1857000,80.27,20.01,11,국내,2026-05-27,,
Q1040058,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,1,1,4,690000,71.13,21.88,15,국내,2026-02-19,,
Q1040060,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,7,7,1,630000,122,2.83,2,국내,2017-06-02,,
Q1040061,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,X,X,QFC01,4,5,8,1950000,94.23,19.69,13,국내,2026-06-30,,
Q1040065,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,1,1,3,2005000,74,22.11,3,국내,2024-02-23,,
Q1040129,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,계획품,X,X,QFC01,3,3,4,2030000,98.6,15.87,5,국내,2024-02-14,,
Q1040224,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,0,0,2,8936000,95,26.87,2,국내,2015-09-30,,2
Q1040225,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,0,0,2,5261841,105,0,2,국내,2017-11-29,,2
Q1040312,SEO26FF,Hydraulic Cylinder,Q_Hydraulic Cylinder,보험품,O,X,QFC01,0,1,3,1120000,91.73,25.2,15,국내,2025-12-24,,1
Q1040729,SEO26FF,Pneumatic Cylinder,Q_Pneumatic Cylinder,보험품,X,X,QFC01,2,3,4,1460000,75.43,18.24,7,국내,2024-11-07,,
Q1041363,SEO26FF,Drive Joint,Q_Drive Joint,계획품,X,X,QFC01,1,1,0,1000000,,,0,(미확인),,,
Q1041364,SEO26FF,Drive Joint,Q_Drive Joint,보험품,X,X,QFC01,5,5,3,825000,58.83,16.19,6,국내,2023-06-02,,
Q1041372,SEO26FF,Drive Joint,Q_Drive Joint,보험품,X,X,QFC01,4,4,3,4700000,59.67,10.17,6,국내,2023-06-15,,
Q1042306,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,보험품,O,X,QFC01,3,8,2,205000,56.22,15.73,9,국내,2026-08-13,,1
Q1042338,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,보험품,X,X,QFC01,1,1,1,420000,70.5,20.51,2,국내,2025-03-20,,
Q1042383,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,계획품,X,X,QFC01,2,2,1,1137500,52.75,13.5,4,국내,2026-07-02,,
Q1042421,SEO26FF,Rotary/Swivel Joint,Q_Rotary/Swivel Joint,보험품,O,X,QFC01,0,0,0,5550000,196,66.04,0,(미확인),,,1
Q1048997,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,2,4,0,2149164.13,196,66.04,0,(미확인),,,1
Q1049004,SEO26FF,Electrical & Electron,Q_Electrical & Electron,보험품,O,X,QFC01,0,6,1,3016845.51,223,0,1,수입,2017-04-06,,1
Q1051490,SEO26FF,Instrument Parts,Q_Instrument Parts,보험품,X,X,QFC01,8,8,1,19716,35.2,9.98,5,국내,2022-01-04,,
Q1052919,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,2,2,5,39000,50.73,26.24,11,국내,2026-03-23,,
Q1052933,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,2,2,4,27500,49.33,17.33,9,국내,2025-10-28,,
Q1053112,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,O,QFC01,4,4,3,164100,55,3.46,3,국내,2022-01-10,FM Crop Shear,
Q1053113,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,O,QFC01,4,4,3,120800,55,3.46,3,국내,2022-01-10,FM Crop Shear,
Q1053117,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QHB25,2,2,2,340000,83.33,24.11,3,국내,2026-04-22,,
Q1053133,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,2,2,4,425000,55.43,9.93,7,국내,2023-03-08,,
Q1053210,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,3,3,3,20000,35.07,17.57,28,국내,2025-10-28,,
Q1053247,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,O,QFC01,4,4,4,26881,49.44,13.33,9,국내,2026-01-28,FM Main Motor,
Q1053248,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,O,QFC01,4,4,4,21000,44.12,10.96,8,국내,2026-01-28,FM Main Motor,
Q1053287,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,O,QFC01,3,3,2,25000,62.5,12.02,2,국내,2025-10-28,FM Main Motor,
Q1053317,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,O,QFC01,2,2,1,36000,54.33,22.85,3,국내,2019-11-04,FM Main Motor,
Q1053318,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,O,QFC01,2,2,2,36850,55,22.54,4,국내,2019-10-31,FM Main Motor,
Q1053378,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,O,QFC01,2,2,3,67000,61,8.68,4,국내,2019-11-29,FM Main Motor,
Q1053392,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,2,2,5,176000,84.12,31.1,8,국내,2023-04-20,,
Q1053400,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,2,2,4,150000,60.33,17.47,9,국내,2023-08-04,,
Q1053401,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,1,1,4,150000,60.33,17.47,9,국내,2023-08-04,,
Q1053468,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,2,2,3,190000,66.5,7.33,4,국내,2022-03-24,,
Q1053581,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,1,1,4,9634025,70,30.95,11,국내,2024-08-26,,
Q1053588,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,4,4,4,65000,51.85,13.72,13,국내,2025-06-25,,
Q1053590,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,4,4,3,68750,56,12.18,6,국내,2025-06-23,,
Q1071793,SEO26FF,Bolt & Nut,Q_Bolt & Nut,보험품,O,X,QFC01,0,0,1,76349,72.96,84.87,25,국내,2025-09-25,,6
Q1072616,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,8,8,2,1289380,64,19.52,3,국내,2016-12-07,,
Q1072668,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,20,20,1,6400,41,0,1,국내,2022-01-26,,
Q1072820,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,2,2,1,96000,41.38,16.83,8,국내,2026-01-29,,
Q1072821,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,4,4,2,45200,52.06,16.5,17,국내,2025-06-30,,
Q1072836,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QVC03,1,1,2,4200000,86.8,13.75,5,국내,2025-08-25,FM Main Motor,
Q1072889,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,2,2,3,47520,49.33,20.98,3,국내,2018-10-02,,
Q1072924,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,2,2,4,537550,65.86,21.52,7,국내,2019-10-28,,
Q1072926,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,3,3,2,12342666.67,77.38,41.78,8,국내,2020-02-04,,
Q1072928,SEO26FF,Gear & Gear box,Q_Gear & Gear box,계획품,X,X,QHB24,2,2,2,20000000,147.43,53.88,7,국내,2026-07-29,,
Q1072930,SEO26FF,Gear & Gear box,Q_Gear & Gear box,계획품,X,X,QHB24,2,2,3,40000000,145.75,48.02,8,국내,2026-07-29,,
Q1072961,SEO26FF,Resinoid Class (Bakelite),Q_Resinoid Class (Bakelite),보험품,X,X,QFC01,4,4,4,76346,46.78,14.99,9,국내,2024-09-06,,
Q1072973,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,14,14,2,40500,55,3.61,3,국내,2022-04-06,,
Q1072995,SEO26FF,Machining(General),Q_Machining(General),계획품,X,O,QVC03,1,1,1,3203333.33,55,0,1,국내,2016-12-29,FM Roll Alignment,
Q1073040,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,0,1080000,,,0,(미확인),,,
Q1073119,SEO26FF,Roller(S),Q_Roller(S),보험품,O,X,QFC01,0,0,2,6502210,85,22.63,2,수입,2021-08-30,,1
Q1073183,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,38190,52,24.04,2,국내,2019-11-11,,
Q1073184,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,22910,48.5,28.99,2,국내,2019-11-04,,
Q1073185,SEO26FF,Bolt & Nut,Q_Bolt & Nut,보험품,O,X,QFC01,0,0,1,74104,64.94,42.46,16,국내,2026-03-20,,6
Q1073210,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,1,1,3,320000,80,6.24,3,국내,2019-09-30,,
Q1073215,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,1,1,3,320000,80,6.24,3,국내,2019-09-30,,
Q1073256,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,4,4,1,440000,49.67,1.53,3,국내,2025-10-15,,
Q1073310,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QVC03,1,1,0,3180000,,,0,(미확인),,,
Q1073416,SEO26FF,Bolt & Nut,Q_Bolt & Nut,보험품,O,X,QFC01,0,0,1,76349,82.18,86.79,11,국내,2025-09-25,,6
Q1073449,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,5280,53.33,12.86,3,국내,2020-02-27,,
Q1073453,SEO26FF,Bolt & Nut,Q_Bolt & Nut,보험품,O,X,QFC01,0,0,1,76349,55.5,25.51,12,국내,2025-09-25,,6
Q1073553,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QHB25,4,4,0,476739,,,0,(미확인),,,
Q1073590,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QHB25,8,8,2,123500,49.5,19.04,16,국내,2025-07-24,,
Q1073594,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,X,QFC01,8,8,3,80000,52.25,12.53,8,국내,2023-04-18,,
Q1073859,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,1,1,2,145000,65.67,8.5,3,국내,2021-10-01,,
Q1073865,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,2,2,1,20900,43,0,1,국내,2018-08-30,,
Q1073866,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,2,2,1,4400,49,0,1,국내,2018-09-05,,
Q1073870,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,2,2,1,37400,43,0,1,국내,2018-08-30,,
Q1074634,SEO26FF,WEDGE SEGMENT MANDREL,Q_WEDGE SEGMENT MANDREL,보험품,O,X,QFC01,0,1,1,63152000,163.5,68.25,6,국내,2024-01-04,,2
Q1074772,SEO26FF,WEDGE SEGMENT MANDREL,Q_WEDGE SEGMENT MANDREL,보험품,O,X,QFC01,0,4,0,52155000,196,66.04,0,(미확인),,,4
Q1076627,SEO26FF,Drive Coupling,Q_Drive Coupling,계획품,X,X,QFC01,1,1,1,1150000,77,3.61,3,국내,2026-08-05,,
Q1076630,SEO26FF,Drive Coupling,Q_Drive Coupling,계획품,X,X,QFC01,2,2,1,3800000,54,28.82,7,국내,2023-01-09,,
Q1077285,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QFC01,10,10,1,200000,58.17,8.13,6,국내,2022-06-20,,
Q1077340,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QHB24,1,1,2,5100000,70.6,13.24,5,국내,2026-04-28,,
Q1077367,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,3,3,3,127825,51.33,9.67,6,국내,2020-03-05,,
Q1077400,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),계획품,X,O,QFC01,2,2,1,35150,58,29.21,3,국내,2018-02-12,FM Roll Alignment,
Q1077476,SEO26FF,Gear & Gear box,Q_Gear & Gear box,보험품,X,O,QFC01,2,3,4,13800000,87.6,13.01,5,국내,2025-10-15,FM Spindle 감속기,
Q1077486,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QVC03,4,4,3,600000,63.33,17.81,15,국내,2026-08-06,,
Q1077487,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QVC03,4,4,3,600000,63.33,17.81,15,국내,2026-08-06,,
Q1077622,SEO26FF,Machining(General),Q_Machining(General),계획품,X,O,QFC01,1,1,1,3524000,102,0,1,국내,2020-03-31,FM Roll Alignment,
Q1077624,SEO26FF,Machining(General),Q_Machining(General),보험품,X,X,QVC03,1,1,1,10200000,95.33,13.32,3,국내,2025-07-28,,
Q1077646,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,470000,68,0,1,국내,2014-09-25,,
Q1077670,SEO26FF,Non/Fe Casting Metal(Copper),Q_Non/Fe Casting Metal(Copper),보험품,X,X,QFC01,10,10,4,2000000,71.31,45.61,32,국내,2026-04-08,,
Q1077676,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,40,40,1,7765.85,49.06,16.34,17,국내,2025-07-30,,
Q1077684,SEO26FF,Gear & Gear box,Q_Gear & Gear box,보험품,X,X,QFC01,3,5,3,6700000,81.33,11.68,3,국내,2025-10-02,,
Q1077685,SEO26FF,Gear & Gear box,Q_Gear & Gear box,보험품,X,X,QFC01,3,4,1,2600000,86.67,15.7,3,국내,2025-12-30,,
Q1077724,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QVC03,6,6,4,550000,62.65,15.03,17,국내,2026-08-06,,
Q1077747,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,1,1,1,63400,50.83,26.45,6,국내,2023-03-22,,
Q1077761,SEO26FF,Machining(General),Q_Machining(General),계획품,X,X,QFC01,7,7,1,141000,57.17,20.83,12,국내,2026-05-12,,
