q,dept,ageDays,staleValue,poolGrade,action
Q1077747,SEO26FF,1261,63400,medium,공용화권장(비핵심·계획품)
Q1077925,SEO26FF,1231,4520000,medium,공용화권장(비핵심·계획품)
Q1078004,SEO26FF,2911,116025,strong,즉시공용화(전사재고有)
Q1078241,SEO26FF,4152,465000,medium,공용화권장(비핵심·계획품)
Q1078244,SEO26FF,1667,415000,medium,공용화권장(비핵심·계획품)
Q1078248,SEO26FF,721,300000,review,보류/전환(핵심보험)
Q1078249,SEO26FF,1241,141000,medium,공용화권장(비핵심·계획품)
Q1080969,SEO26FF,2330,270000,medium,공용화권장(비핵심·계획품)
Q1080970,SEO26FF,2330,125000,medium,공용화권장(비핵심·계획품)
Q1121309,SEO26FF,1470,63430,medium,공용화권장(비핵심·계획품)
Q1137969,SEO26FF,1590,37210492,strong,즉시공용화(전사재고有)
Q1218357,SEO26FF,3493,32368725,strong,즉시공용화(전사재고有)
Q1219164,SEO26FF,2593,5665334,strong,즉시공용화(전사재고有)
Q1260654,SEO26FF,2540,1763344,strong,즉시공용화(전사재고有)
Q1293261,SEO26FF,2778,11770000,medium,공용화권장(비핵심·계획품)
Q1297240,SEO26FF,2907,127433,medium,공용화권장(비핵심·계획품)
Q1305036,SEO26FF,3375,28670,medium,공용화권장(비핵심·계획품)
Q2008527,SEO26FF,689,148000,medium,공용화권장(비핵심·계획품)
Q2011846,SEO26FF,1143,1635000,medium,공용화권장(비핵심·계획품)
Q2013987,SEO26FF,3352,10760000,review,보류/전환(핵심보험)
Q2024559,SEO26FF,2544,9000000,strong,즉시공용화(전사재고有)
Q2032490,SEO26FF,750,1720000,medium,공용화권장(비핵심·계획품)
Q2032491,SEO26FF,750,2160000,medium,공용화권장(비핵심·계획품)
Q2052411,SEO26FF,1220,190000,medium,공용화권장(비핵심·계획품)
Q2054727,SEO26FF,2641,63126008,strong,즉시공용화(전사재고有)
Q2059079,SEO26FF,3333,90000,medium,공용화권장(비핵심·계획품)
Q2059080,SEO26FF,3069,142000,medium,공용화권장(비핵심·계획품)
Q2059081,SEO26FF,3039,140500,medium,공용화권장(비핵심·계획품)
Q2059082,SEO26FF,3040,65000,medium,공용화권장(비핵심·계획품)
Q2059083,SEO26FF,3332,118000,medium,공용화권장(비핵심·계획품)
Q2060222,SEO26FF,815,479401,medium,공용화권장(비핵심·계획품)
Q2060332,SEO26FF,1535,3300693,medium,공용화권장(비핵심·계획품)
Q2060465,SEO26FF,1506,7497000,medium,공용화권장(비핵심·계획품)
Q2060474,SEO26FF,1739,3490000,medium,공용화권장(비핵심·계획품)
Q2062201,SEO26FF,2507,2325188,strong,즉시공용화(전사재고有)
Q2064661,SEO26FF,570,970000,strong,즉시공용화(전사재고有)
Q2079650,SEO26FF,1792,33000,medium,공용화권장(비핵심·계획품)
Q2079652,SEO26FF,1792,33000,medium,공용화권장(비핵심·계획품)
Q2079654,SEO26FF,1792,33000,medium,공용화권장(비핵심·계획품)
Q2079803,SEO26FF,1280,14000000,medium,공용화권장(비핵심·계획품)
Q2084886,SEO26FF,2891,3840000,medium,공용화권장(비핵심·계획품)
Q2087833,SEO26FF,4229,1180000,medium,공용화권장(비핵심·계획품)
Q2088228,SEO26FF,2047,16055870,strong,즉시공용화(전사재고有)
Q2091278,SEO26FF,1030,6880000,review,보류/전환(핵심보험)
Q2095020,SEO26FF,3124,156000,medium,공용화권장(비핵심·계획품)
Q2095868,SEO26FF,1508,56000,medium,공용화권장(비핵심·계획품)
Q2096490,SEO26FF,3261,1253120,medium,공용화권장(비핵심·계획품)
Q2098900,SEO26FF,2170,9500000,medium,공용화권장(비핵심·계획품)
Q2101008,SEO26FF,738,115552,review,보류/전환(핵심보험)
Q2101009,SEO26FF,738,53648,review,보류/전환(핵심보험)
Q2101010,SEO26FF,738,115552,medium,공용화권장(비핵심·계획품)
Q2106112,SEO26FF,4217,7000000,medium,공용화권장(비핵심·계획품)
Q2116694,SEO26FF,1284,1479621,medium,공용화권장(비핵심·계획품)
Q2118354,SEO26FF,1686,291680,medium,공용화권장(비핵심·계획품)
Q2119613,SEO26FF,689,320000,medium,공용화권장(비핵심·계획품)
Q2126080,SEO26FF,2485,3485350,medium,공용화권장(비핵심·계획품)
Q2126459,SEO26FF,3597,114400,medium,공용화권장(비핵심·계획품)
Q2130291,SEO26FF,2282,18073228,strong,즉시공용화(전사재고有)
Q2133117,SEO26FF,3600,138716,medium,공용화권장(비핵심·계획품)
Q2133118,SEO26FF,2565,749064,medium,공용화권장(비핵심·계획품)
Q2133119,SEO26FF,3552,237761,medium,공용화권장(비핵심·계획품)
Q2139998,SEO26FF,1147,5745152,review,보류/전환(핵심보험)
Q2140042,SEO26FF,3240,2247000,medium,공용화권장(비핵심·계획품)
Q2141016,SEO26FF,3474,140000,medium,공용화권장(비핵심·계획품)
Q2141021,SEO26FF,3447,638056,medium,공용화권장(비핵심·계획품)
Q2142898,SEO26FF,965,920000,medium,공용화권장(비핵심·계획품)
Q2143052,SEO26FF,1626,675000,medium,공용화권장(비핵심·계획품)
Q2144319,SEO26FF,2282,639034,strong,즉시공용화(전사재고有)
Q2163394,SEO26FF,2733,5270000,medium,공용화권장(비핵심·계획품)
Q2166833,SEO26FF,3066,519200,medium,공용화권장(비핵심·계획품)
Q2168437,SEO26FF,1938,500000,medium,공용화권장(비핵심·계획품)
Q2173282,SEO26FF,1091,4769000,strong,즉시공용화(전사재고有)
Q2177492,SEO26FF,785,1150000,medium,공용화권장(비핵심·계획품)
Q2179246,SEO26FF,2635,2194000,medium,공용화권장(비핵심·계획품)
Q2184712,SEO26FF,2397,4908000,medium,공용화권장(비핵심·계획품)
Q2185181,SEO26FF,2542,27167800,strong,즉시공용화(전사재고有)
Q2190703,SEO26FF,989,2140000,review,보류/전환(핵심보험)
Q2194827,SEO26FF,2605,1102000,medium,공용화권장(비핵심·계획품)
Q2200004,SEO26FF,3487,3360000,medium,공용화권장(비핵심·계획품)
Q2200005,SEO26FF,3488,8254400,medium,공용화권장(비핵심·계획품)
Q2200464,SEO26FF,738,115552,medium,공용화권장(비핵심·계획품)
Q2200465,SEO26FF,738,115552,medium,공용화권장(비핵심·계획품)
Q2200466,SEO26FF,738,53648,medium,공용화권장(비핵심·계획품)
Q2202508,SEO26FF,3970,2630000,review,보류/전환(핵심보험)
Q2210205,SEO26FF,1864,9465984,medium,공용화권장(비핵심·계획품)
Q2217711,SEO26FF,3496,455000,medium,공용화권장(비핵심·계획품)
Q2228264,SEO26FF,1450,280000,review,보류/전환(핵심보험)
Q2233578,SEO26FF,1864,5593536,medium,공용화권장(비핵심·계획품)
Q2234798,SEO26FF,1702,9000000,medium,공용화권장(비핵심·계획품)
Q2235169,SEO26FF,1693,1440000,medium,공용화권장(비핵심·계획품)
Q2235172,SEO26FF,1693,1440000,medium,공용화권장(비핵심·계획품)
Q4002139,SEO26FF,1239,1025000,medium,공용화권장(비핵심·계획품)
Q4008484,SEO26FF,2337,128960,medium,공용화권장(비핵심·계획품)
Q4011271,SEO26FF,3674,15885,medium,공용화권장(비핵심·계획품)
Q4014292,SEO26FF,2311,960000,medium,공용화권장(비핵심·계획품)
Q4015362,SEO26FF,3485,660000,medium,공용화권장(비핵심·계획품)
Q4015363,SEO26FF,3495,248000,medium,공용화권장(비핵심·계획품)
Q4015364,SEO26FF,3495,318000,medium,공용화권장(비핵심·계획품)
Q4015365,SEO26FF,3496,59567,medium,공용화권장(비핵심·계획품)
Q4015414,SEO26FF,3500,39600,medium,공용화권장(비핵심·계획품)
Q4017406,SEO26FF,3335,3221000,medium,공용화권장(비핵심·계획품)
Q4018004,SEO26FF,828,2862703,strong,즉시공용화(전사재고有)
Q4018012,SEO26FF,1681,2649186,strong,즉시공용화(전사재고有)
Q4018019,SEO26FF,779,2360508,strong,즉시공용화(전사재고有)
Q4034332,SEO26FF,3346,3530000,medium,공용화권장(비핵심·계획품)
Q4037546,SEO26FF,3102,2035067,medium,공용화권장(비핵심·계획품)
Q4045098,SEO26FF,2948,158000,medium,공용화권장(비핵심·계획품)
Q4057578,SEO26FF,2355,1964514,medium,공용화권장(비핵심·계획품)
Q4073338,SEO26FF,1666,5900000,medium,공용화권장(비핵심·계획품)
Q4089851,SEO26FF,3124,33200,medium,공용화권장(비핵심·계획품)
Q4104776,SEO26FF,1751,19980000,strong,즉시공용화(전사재고有)
Q4119198,SEO26FF,947,8031660,medium,공용화권장(비핵심·계획품)
Q4124066,SEO26FF,790,467112,medium,공용화권장(비핵심·계획품)
Q4140768,SEO26FF,4280,2298200,medium,공용화권장(비핵심·계획품)
Q4140770,SEO26FF,3615,4072400,medium,공용화권장(비핵심·계획품)
Q4156386,SEO26FF,3606,304095,medium,공용화권장(비핵심·계획품)
Q4169627,SEO26FF,1172,1665428,strong,즉시공용화(전사재고有)
Q4169635,SEO26FF,1294,2710126,strong,즉시공용화(전사재고有)
Q4169942,SEO26FF,4521,5641350,medium,공용화권장(비핵심·계획품)
Q4172575,SEO26FF,1751,27940000,strong,즉시공용화(전사재고有)
Q4182619,SEO26FF,1182,3704000,medium,공용화권장(비핵심·계획품)
Q4188532,SEO26FF,932,776000,medium,공용화권장(비핵심·계획품)
Q4189150,SEO26FF,945,301200,medium,공용화권장(비핵심·계획품)
Q4192133,SEO26FF,1681,11121754,strong,즉시공용화(전사재고有)
Q4192171,SEO26FF,1681,11121754,strong,즉시공용화(전사재고有)
Q4192179,SEO26FF,1681,8200889,strong,즉시공용화(전사재고有)
Q4200634,SEO26FF,1568,2981607,medium,공용화권장(비핵심·계획품)
Q4208633,SEO26FF,1955,440000,medium,공용화권장(비핵심·계획품)
Q4210501,SEO26FF,2638,3503333,medium,공용화권장(비핵심·계획품)
Q4210610,SEO26FF,2633,714000,medium,공용화권장(비핵심·계획품)
Q4210612,SEO26FF,2638,973333,medium,공용화권장(비핵심·계획품)
Q4225250,SEO26FF,2166,725000,medium,공용화권장(비핵심·계획품)
Q4230326,SEO26FF,4107,8413312,review,보류/전환(핵심보험)
Q4245876,SEO26FF,1352,1309954,strong,즉시공용화(전사재고有)
Q4251042,SEO26FF,2409,1049834,medium,공용화권장(비핵심·계획품)
Q4269272,SEO26FF,912,3245834,strong,즉시공용화(전사재고有)
Q4273074,SEO26FF,1332,2300000,medium,공용화권장(비핵심·계획품)
Q4280135,SEO26FF,772,148848,medium,공용화권장(비핵심·계획품)
Q4308842,SEO26FF,2869,205340,strong,즉시공용화(전사재고有)
Q4310783,SEO26FF,1345,35078,review,보류/전환(핵심보험)
Q4327789,SEO26FF,1242,2100000,medium,공용화권장(비핵심·계획품)
Q4336678,SEO26FF,2642,7354160,medium,공용화권장(비핵심·계획품)
Q4342710,SEO26FF,2136,55820,medium,공용화권장(비핵심·계획품)
Q4348128,SEO26FF,1324,1288000,medium,공용화권장(비핵심·계획품)
Q4354776,SEO26FF,911,2207760,medium,공용화권장(비핵심·계획품)
Q4384099,SEO26FF,1136,1808332,strong,즉시공용화(전사재고有)
Q4386124,SEO26FF,2709,17847180,review,보류/전환(핵심보험)
Q4390457,SEO26FF,3079,35856000,medium,공용화권장(비핵심·계획품)
Q4398385,SEO26FF,1140,7049560,medium,공용화권장(비핵심·계획품)
Q4412119,SEO26FF,1263,162038,review,보류/전환(핵심보험)
Q4412288,SEO26FF,2894,5000000,medium,공용화권장(비핵심·계획품)
Q4416013,SEO26FF,2897,250000,review,보류/전환(핵심보험)
Q4418347,SEO26FF,1541,51170000,medium,공용화권장(비핵심·계획품)
Q4423761,SEO26FF,2834,1870000,medium,공용화권장(비핵심·계획품)
Q4439263,SEO26FF,1259,11500000,strong,즉시공용화(전사재고有)
Q4439265,SEO26FF,1232,11900000,review,보류/전환(핵심보험)
Q4439266,SEO26FF,1046,14806000,medium,공용화권장(비핵심·계획품)
Q4439269,SEO26FF,1206,9990000,strong,즉시공용화(전사재고有)
Q4439270,SEO26FF,2684,1378541,medium,공용화권장(비핵심·계획품)
Q4441695,SEO26FF,2493,56339009,review,보류/전환(핵심보험)
Q4444346,SEO26FF,2647,180000,medium,공용화권장(비핵심·계획품)
Q4450272,SEO26FF,2459,3800000,medium,공용화권장(비핵심·계획품)
Q4453988,SEO26FF,1323,8726315,medium,공용화권장(비핵심·계획품)
Q4459402,SEO26FF,2516,800000,medium,공용화권장(비핵심·계획품)
Q4460076,SEO26FF,2498,2685000,review,보류/전환(핵심보험)
Q4468493,SEO26FF,2376,399360,medium,공용화권장(비핵심·계획품)
Q4468503,SEO26FF,2366,763840,medium,공용화권장(비핵심·계획품)
Q4468504,SEO26FF,2376,763840,medium,공용화권장(비핵심·계획품)
Q4470227,SEO26FF,2379,99290,medium,공용화권장(비핵심·계획품)
Q4471030,SEO26FF,2379,1462350,medium,공용화권장(비핵심·계획품)
Q4474243,SEO26FF,2323,550700,medium,공용화권장(비핵심·계획품)
Q4485045,SEO26FF,1240,730000,medium,공용화권장(비핵심·계획품)
Q4485080,SEO26FF,2178,12883750,medium,공용화권장(비핵심·계획품)
Q4485081,SEO26FF,2178,11646910,medium,공용화권장(비핵심·계획품)
Q4485087,SEO26FF,1240,620000,medium,공용화권장(비핵심·계획품)
Q4493662,SEO26FF,2086,2400000,medium,공용화권장(비핵심·계획품)
Q4501966,SEO26FF,2060,256000,review,보류/전환(핵심보험)
Q4503767,SEO26FF,833,1729890,review,보류/전환(핵심보험)
Q4504475,SEO26FF,2004,630000,review,보류/전환(핵심보험)
Q4504476,SEO26FF,2004,980000,medium,공용화권장(비핵심·계획품)
Q4504478,SEO26FF,2004,840000,review,보류/전환(핵심보험)
Q4515205,SEO26FF,1521,301220,review,보류/전환(핵심보험)
Q4515206,SEO26FF,1694,168664,medium,공용화권장(비핵심·계획품)
Q4515573,SEO26FF,1168,5300000,strong,즉시공용화(전사재고有)
Q4517465,SEO26FF,1863,1690000,medium,공용화권장(비핵심·계획품)
Q4517801,SEO26FF,1863,4770000,medium,공용화권장(비핵심·계획품)
Q4530897,SEO26FF,1728,920000,medium,공용화권장(비핵심·계획품)
Q4532058,SEO26FF,1780,630000,medium,공용화권장(비핵심·계획품)
Q4536719,SEO26FF,1704,3480000,medium,공용화권장(비핵심·계획품)
Q4543363,SEO26FF,1588,3300000,medium,공용화권장(비핵심·계획품)
Q4559574,SEO26FF,1513,2400000,medium,공용화권장(비핵심·계획품)
Q4559575,SEO26FF,1513,1200000,medium,공용화권장(비핵심·계획품)
Q4559686,SEO26FF,1522,3540000,medium,공용화권장(비핵심·계획품)
Q4562194,SEO26FF,1499,946000,medium,공용화권장(비핵심·계획품)
Q4572470,SEO26FF,1392,363895,medium,공용화권장(비핵심·계획품)
Q4572473,SEO26FF,1385,634217,medium,공용화권장(비핵심·계획품)
Q4573456,SEO26FF,1312,660000,medium,공용화권장(비핵심·계획품)
Q4575867,SEO26FF,1351,363000,medium,공용화권장(비핵심·계획품)
Q4576432,SEO26FF,784,5400000,medium,공용화권장(비핵심·계획품)
Q4576623,SEO26FF,771,1541000,medium,공용화권장(비핵심·계획품)
Q4576624,SEO26FF,771,1543000,medium,공용화권장(비핵심·계획품)
Q4585578,SEO26FF,1207,295000,medium,공용화권장(비핵심·계획품)
Q4587154,SEO26FF,1095,66995500,review,보류/전환(핵심보험)
Q4590955,SEO26FF,1218,3400000,medium,공용화권장(비핵심·계획품)
Q4597580,SEO26FF,1176,3027330,medium,공용화권장(비핵심·계획품)
Q4598537,SEO26FF,709,19269375,medium,공용화권장(비핵심·계획품)
Q4605205,SEO26FF,661,2700000,medium,공용화권장(비핵심·계획품)
Q4605206,SEO26FF,680,1172000,medium,공용화권장(비핵심·계획품)
Q4611811,SEO26FF,724,540000,medium,공용화권장(비핵심·계획품)
Q4612557,SEO26FF,986,5549580,medium,공용화권장(비핵심·계획품)
Q4616814,SEO26FF,772,608114,medium,공용화권장(비핵심·계획품)
Q4625628,SEO26FF,709,27439590,medium,공용화권장(비핵심·계획품)
Q4625646,SEO26FF,821,39463680,medium,공용화권장(비핵심·계획품)
Q4635441,SEO26FF,814,70000,medium,공용화권장(비핵심·계획품)
Q4635563,SEO26FF,814,180000,medium,공용화권장(비핵심·계획품)
Q4636078,SEO26FF,813,2480880,medium,공용화권장(비핵심·계획품)
Q4642447,SEO26FF,727,1080000,medium,공용화권장(비핵심·계획품)
