q,dept,verdict,path,why,si,sp,conf,cspScore,stockSrc
Q1024603,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1024620,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1029602,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.737,14.3,68.8,HIGH,0,Dummy TSV
Q1029614,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.700,14.3,68.8,HIGH,0,Dummy TSV
Q1029653,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1029662,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.056,57.1,31.2,HIGH,0,Dummy TSV
Q1029893,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1030043,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1030044,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1030453,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.714,42.9,68.8,HIGH,0,Dummy TSV
Q1031104,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.833,42.9,68.8,HIGH,0,Dummy TSV
Q1031233,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1031361,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1031708,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1032182,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.100,57.1,31.2,HIGH,0,Dummy TSV
Q1032374,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.000,85.7,31.2,HIGH,20,Dummy TSV
Q1033612,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.071,57.1,31.2,HIGH,0,Dummy TSV
Q1033796,SEO26FF,회색지대,시계열 점수,불출발생월비율=0.025; 재고0비율=0.133,57.1,43.8,LOW,0,Dummy TSV
Q1033995,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.857,14.3,68.8,HIGH,0,Dummy TSV
Q1034231,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.062,57.1,31.2,HIGH,0,Dummy TSV
Q1034310,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1034397,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.733,42.9,68.8,HIGH,0,Dummy TSV
Q1035525,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=1.000,14.3,68.8,HIGH,0,Dummy TSV
Q1036694,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.889,42.9,68.8,HIGH,0,Dummy TSV
Q1036702,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.056,57.1,31.2,HIGH,0,Dummy TSV
Q1036822,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.053,57.1,31.2,HIGH,0,Dummy TSV
Q1036844,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.706,14.3,68.8,HIGH,0,Dummy TSV
Q1036971,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1039075,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.833,14.3,68.8,HIGH,0,Dummy TSV
Q1039284,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.008; 재고0비율=0.000,85.7,31.2,HIGH,20,Dummy TSV
Q1039371,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.050,85.7,31.2,HIGH,20,Dummy TSV
Q1039945,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.889,14.3,68.8,HIGH,0,Dummy TSV
Q1039948,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.714,14.3,68.8,HIGH,0,Dummy TSV
Q1039950,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.750,14.3,68.8,HIGH,0,Dummy TSV
Q1039951,SEO26FF,회색지대,시계열 점수,불출발생월비율=0.025; 재고0비율=0.118,57.1,43.8,LOW,0,Dummy TSV
Q1040012,SEO26FF,계획품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.571,42.9,62.5,MEDIUM,20,Dummy TSV
Q1040051,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.062,85.7,31.2,HIGH,20,Dummy TSV
Q1040053,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1040054,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1040058,SEO26FF,계획품,시계열 점수,VMI; 불출발생월비율=0.017; 재고0비율=0.941,14.3,100,HIGH,0,Dummy TSV
Q1040060,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.067,57.1,31.2,HIGH,0,Dummy TSV
Q1040061,SEO26FF,회색지대,시계열 점수,불출발생월비율=0.017; 재고0비율=0.111,57.1,43.8,LOW,0,Dummy TSV
Q1040065,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1040129,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1040224,SEO26FF,계획품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.867,42.9,68.8,HIGH,20,Dummy TSV
Q1040225,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.053,85.7,31.2,HIGH,20,Dummy TSV
Q1040312,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1040729,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.778,14.3,68.8,HIGH,0,Dummy TSV
Q1041363,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.062,57.1,31.2,HIGH,0,Dummy TSV
Q1041364,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.053,57.1,31.2,HIGH,0,Dummy TSV
Q1041372,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1042306,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.000,85.7,31.2,HIGH,20,Dummy TSV
Q1042338,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.050,57.1,31.2,HIGH,0,Dummy TSV
Q1042383,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1042421,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1048997,SEO26FF,계획품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.800,42.9,68.8,HIGH,20,Dummy TSV
Q1049004,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1051490,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.867,14.3,68.8,HIGH,0,Dummy TSV
Q1052919,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1052933,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1053112,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.667,14.3,68.8,HIGH,0,Dummy TSV
Q1053113,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1053117,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.750,14.3,68.8,HIGH,0,Dummy TSV
Q1053133,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.750,42.9,68.8,HIGH,0,Dummy TSV
Q1053210,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.062,57.1,31.2,HIGH,0,Dummy TSV
Q1053247,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1053248,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.889,14.3,68.8,HIGH,0,Dummy TSV
Q1053287,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1053317,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1053318,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.737,14.3,68.8,HIGH,0,Dummy TSV
Q1053378,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1053392,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.850,14.3,68.8,HIGH,0,Dummy TSV
Q1053400,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.786,42.9,68.8,HIGH,0,Dummy TSV
Q1053401,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.750,14.3,68.8,HIGH,0,Dummy TSV
Q1053468,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1053581,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.062,57.1,31.2,HIGH,0,Dummy TSV
Q1053588,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1053590,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1071793,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.059,85.7,31.2,HIGH,20,Dummy TSV
Q1072616,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.750,14.3,68.8,HIGH,0,Dummy TSV
Q1072668,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.059,57.1,31.2,HIGH,0,Dummy TSV
Q1072820,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1072821,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.071,57.1,31.2,HIGH,0,Dummy TSV
Q1072836,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.895,42.9,68.8,HIGH,0,Dummy TSV
Q1072889,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1072924,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1072926,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.789,14.3,68.8,HIGH,0,Dummy TSV
Q1072928,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1072930,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.786,42.9,68.8,HIGH,0,Dummy TSV
Q1072961,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1072973,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1072995,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.857,14.3,68.8,HIGH,0,Dummy TSV
Q1073040,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.850,14.3,68.8,HIGH,0,Dummy TSV
Q1073119,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1073183,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1073184,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.053,57.1,31.2,HIGH,0,Dummy TSV
Q1073185,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.071,85.7,31.2,HIGH,20,Dummy TSV
Q1073210,SEO26FF,계획품,시계열 점수,VMI; 불출발생월비율=0.017; 재고0비율=0.588,42.9,93.8,HIGH,0,Dummy TSV
Q1073215,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.824,14.3,68.8,HIGH,0,Dummy TSV
Q1073256,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1073310,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.714,14.3,68.8,HIGH,0,Dummy TSV
Q1073416,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.100,85.7,31.2,HIGH,20,Dummy TSV
Q1073449,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=1.000,14.3,68.8,HIGH,0,Dummy TSV
Q1073453,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.000,85.7,31.2,HIGH,20,Dummy TSV
Q1073553,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.800,14.3,68.8,HIGH,0,Dummy TSV
Q1073590,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.053,57.1,31.2,HIGH,0,Dummy TSV
Q1073594,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.688,14.3,68.8,HIGH,0,Dummy TSV
Q1073859,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1073865,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1073866,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=1.000,14.3,68.8,HIGH,0,Dummy TSV
Q1073870,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.875,14.3,68.8,HIGH,0,Dummy TSV
Q1074634,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.111,85.7,43.8,HIGH,20,Dummy TSV
Q1074772,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.000,85.7,31.2,HIGH,20,Dummy TSV
Q1076627,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1076630,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.059,57.1,31.2,HIGH,0,Dummy TSV
Q1077285,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.867,14.3,68.8,HIGH,0,Dummy TSV
Q1077340,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.833,14.3,68.8,HIGH,0,Dummy TSV
Q1077367,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.900,42.9,68.8,HIGH,0,Dummy TSV
Q1077400,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.842,14.3,68.8,HIGH,0,Dummy TSV
Q1077476,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.688,14.3,68.8,HIGH,0,Dummy TSV
Q1077486,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.889,14.3,68.8,HIGH,0,Dummy TSV
Q1077487,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.062,57.1,31.2,HIGH,0,Dummy TSV
Q1077622,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1077624,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1077646,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.800,14.3,68.8,HIGH,0,Dummy TSV
Q1077670,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1077676,SEO26FF,계획품,시계열 점수,VMI; 불출발생월비율=0.025; 재고0비율=0.750,14.3,100,HIGH,0,Dummy TSV
Q1077684,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.059,57.1,31.2,HIGH,0,Dummy TSV
Q1077685,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.778,14.3,68.8,HIGH,0,Dummy TSV
Q1077724,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.071,57.1,31.2,HIGH,0,Dummy TSV
Q1077747,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.632,14.3,68.8,HIGH,0,Dummy TSV
Q1077761,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.067,57.1,31.2,HIGH,0,Dummy TSV
Q1077763,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.929,14.3,68.8,HIGH,0,Dummy TSV
Q1077776,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1077777,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1077786,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.824,14.3,68.8,HIGH,0,Dummy TSV
Q1077922,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1077925,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.706,14.3,68.8,HIGH,0,Dummy TSV
Q1077941,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1078004,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1078005,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.053,57.1,31.2,HIGH,0,Dummy TSV
Q1078241,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.056,57.1,31.2,HIGH,0,Dummy TSV
Q1078244,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.833,14.3,68.8,HIGH,0,Dummy TSV
Q1078248,SEO26FF,회색지대,시계열 점수,불출발생월비율=0.017; 재고0비율=0.143,57.1,43.8,LOW,0,Dummy TSV
Q1078249,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.800,42.9,68.8,HIGH,0,Dummy TSV
Q1078283,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.053,85.7,31.2,HIGH,20,Dummy TSV
Q1080083,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.684,14.3,68.8,HIGH,0,Dummy TSV
Q1080084,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.812,14.3,68.8,HIGH,0,Dummy TSV
Q1080117,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.800,14.3,68.8,HIGH,0,Dummy TSV
Q1080496,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,Dummy TSV
Q1080541,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1080794,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1080969,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.950,42.9,68.8,HIGH,0,Dummy TSV
Q1080970,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1113604,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1117822,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1119268,SEO26FF,계획품,시계열 점수,VMI; 불출발생월비율=0.017; 재고0비율=0.789,14.3,100,HIGH,0,Dummy TSV
Q1119452,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1119526,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.053,57.1,31.2,HIGH,0,Dummy TSV
Q1119649,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.056,57.1,31.2,HIGH,0,Dummy TSV
Q1119795,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1120753,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,Dummy TSV
Q1121188,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,Dummy TSV
Q1121309,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.688,42.9,68.8,HIGH,0,Dummy TSV
