q,dept,verdict,path,why,si,sp,conf,cspScore,stockSrc
Q1030043,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1030044,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1030453,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.714,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1031104,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.833,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1031233,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1031361,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1031708,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1032182,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.100,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1032374,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.000,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1033612,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.071,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1033796,SEO26FF,회색지대,시계열 점수,불출발생월비율=0.025; 재고0비율=0.133,57.1,43.8,LOW,0,DOG Type TSV + DB 자재정본
Q1033995,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.857,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1034231,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.062,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1034310,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1034397,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.733,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1035525,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=1.000,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1036694,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.889,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1036702,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.056,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1036822,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.053,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1036844,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.706,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1036971,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1039075,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.833,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1039284,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.008; 재고0비율=0.000,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1039371,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.050,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1039945,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.889,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1039948,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.714,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1039950,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.750,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1039951,SEO26FF,회색지대,시계열 점수,불출발생월비율=0.025; 재고0비율=0.118,57.1,43.8,LOW,0,DOG Type TSV + DB 자재정본
Q1040012,SEO26FF,계획품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.571,42.9,62.5,MEDIUM,20,DOG Type TSV + DB 자재정본
Q1040051,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.062,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1040053,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1040054,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1040058,SEO26FF,계획품,시계열 점수,VMI; 불출발생월비율=0.017; 재고0비율=0.941,14.3,100,HIGH,0,DOG Type TSV + DB 자재정본
Q1040060,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.067,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1040061,SEO26FF,회색지대,시계열 점수,불출발생월비율=0.017; 재고0비율=0.111,57.1,43.8,LOW,0,DOG Type TSV + DB 자재정본
Q1040065,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1040129,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1040224,SEO26FF,계획품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.867,42.9,68.8,HIGH,20,DOG Type TSV + DB 자재정본
Q1040225,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.053,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1040312,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1040729,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.778,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1041363,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.062,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1041364,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.053,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1041372,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1042306,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.000,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1042338,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.050,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1042383,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1042421,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1048997,SEO26FF,계획품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.800,42.9,68.8,HIGH,20,DOG Type TSV + DB 자재정본
Q1049004,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1051490,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.867,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1052919,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1052933,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1053112,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.667,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1053113,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1053117,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.750,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1053133,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.750,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1053210,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.062,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1053247,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1053248,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.889,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1053287,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1053317,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1053318,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.737,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1053378,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1053392,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.850,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1053400,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.786,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1053401,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.750,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1053468,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1053581,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.062,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1053588,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1053590,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1071793,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.059,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1072616,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.750,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1072668,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.059,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1072820,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1072821,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.071,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1072836,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.895,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1072889,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1072924,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1072926,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.789,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1072928,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1072930,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.786,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1072961,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1072973,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1072995,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.857,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073040,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.850,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073119,SEO26FF,배제-순환품,사전 배제,Roll 계열 Leaf Class 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1073183,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1073184,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.053,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1073185,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.071,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1073210,SEO26FF,계획품,시계열 점수,VMI; 불출발생월비율=0.017; 재고0비율=0.588,42.9,93.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073215,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.824,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073256,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1073310,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.714,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073416,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.100,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1073449,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=1.000,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073453,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.000,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1073553,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.800,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073590,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.053,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1073594,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.688,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073859,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1073865,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1073866,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=1.000,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1073870,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.875,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1074634,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.025; 재고0비율=0.111,85.7,43.8,HIGH,20,DOG Type TSV + DB 자재정본
Q1074772,SEO26FF,보험품,시계열 점수,핵심 예비품 목록 일치 +20점; 불출발생월비율=0.017; 재고0비율=0.000,85.7,31.2,HIGH,20,DOG Type TSV + DB 자재정본
Q1076627,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1076630,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.059,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1077285,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.867,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077340,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.833,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077367,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.900,42.9,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077400,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.842,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077476,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.688,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077486,SEO26FF,계획품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.889,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077487,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.062,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1077622,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1077624,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1077646,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.800,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077670,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1077676,SEO26FF,계획품,시계열 점수,VMI; 불출발생월비율=0.025; 재고0비율=0.750,14.3,100,HIGH,0,DOG Type TSV + DB 자재정본
Q1077684,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.059,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1077685,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.778,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077724,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.071,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1077747,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.632,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077761,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.067,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1077763,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.929,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077776,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1077777,SEO26FF,보험품,시계열 점수,불출발생월비율=0.025; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1077786,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.824,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077922,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1077925,SEO26FF,계획품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.706,14.3,68.8,HIGH,0,DOG Type TSV + DB 자재정본
Q1077941,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.000,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
Q1078004,SEO26FF,배제-소모품,사전 배제,소모품 규칙 적용,,,HIGH,0,DOG Type TSV + DB 자재정본
Q1078005,SEO26FF,보험품,시계열 점수,불출발생월비율=0.017; 재고0비율=0.053,57.1,31.2,HIGH,0,DOG Type TSV + DB 자재정본
