q,dept,type,typeSrc,grade,target,need,amount,action,reason,signal,status,sigEq,sigKind,stopDate,dueDate,dDays,expect,issues,trend
Q1015021,SEO26FF,보험품,classification_result.csv,C,24,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=24,상한0→24",gray,충분,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1018930,SEO26FF,보험품,master.csv,C,0,0,0,감축,비핵심보험[C] 소요無→0,gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1019015,SEO26FF,보험품,master.csv,A,3,2,1019898,발주,"비핵심보험[A] μ_LT+SS(Z2.05)=3,상한5→3",red,즉시발주,,상시,,,,,3,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Q1019385,SEO26FF,계획품,master.csv,S,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.4)→0,gray,재고불요,,상시,,,,,3,0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Q1019683,SEO26FF,보험품,master.csv,A,7,5,50246625,발주,"비핵심보험[A] μ_LT+SS(Z2.05)=7,상한9→7",red,즉시발주,,상시,,,,,8,6;1;0;0;0;1;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Q1019689,SEO26FF,계획품,master.csv,A,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1019695,SEO26FF,계획품,master.csv,A,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,4,0;0;6;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Q1019962,SEO26FF,보험품,master.csv,C,1,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=1,상한0→1",green,여유,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1020094,SEO26FF,계획품,master.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1020168,SEO26FF,보험품,master.csv,C,6,4,13173009,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=6,상한12→6",red,즉시발주,,상시,,,,,1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1020996,SEO26FF,보험품,master.csv,B,0,0,0,감축,비핵심보험[B] 소요無→0,gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1021614,SEO26FF,계획품,classification_result.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1021836,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Q1021920,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,3,0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0
Q1021932,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
Q1023561,SEO26FF,보험품,classification_result.csv,B,7,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=7,상한22→7",gray,충분,,상시,,,,,1,0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1023576,SEO26FF,보험품,classification_result.csv,C,3,2,24880,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한3→3",red,즉시발주,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Q1024150,SEO26FF,보험품,classification_result.csv,B,6,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=6,상한10→6",gray,충분,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1024335,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Q1024603,SEO26FF,보험품,classification_result.csv,B,11,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=11,상한40→11",gray,충분,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1024620,SEO26FF,보험품,classification_result.csv,B,12,2,21666,발주,"비핵심보험[B] μ_LT+SS(Z1.65)=12,상한40→12",yellow,발주임박,,상시,,,,,1,0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1029602,SEO26FF,계획품,classification_result.csv,A,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.3)→0,gray,재고충분,FM Spindle 감속기,대수리,2026-09-04,2026-05-10,-116,0,1,0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Q1029614,SEO26FF,계획품,classification_result.csv,A,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.2)→0,gray,재고충분,FM Spindle 감속기,대수리,2026-09-04,2026-05-15,-111,0,1,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1029653,SEO26FF,보험품,classification_result.csv,A,1,0,0,감축,핵심보험[A] 소요無→기준1,gray,충분,FM Crop Shear,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1029662,SEO26FF,보험품,classification_result.csv,C,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한5→2",gray,충분,,상시,,,,,1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1029893,SEO26FF,계획품,master.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Q1030043,SEO26FF,보험품,classification_result.csv,A,1,0,0,유지,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",green,여유,FM Spindle 감속기,상시,,,,,1,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1030044,SEO26FF,계획품,master.csv,A,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.2)→0,gray,재고충분,FM Spindle 감속기,대수리,2026-09-04,2026-05-04,-122,0,1,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1030453,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1031104,SEO26FF,계획품,classification_result.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1031233,SEO26FF,보험품,classification_result.csv,A,5,3,5071044,발주,"비핵심보험[A] μ_LT+SS(Z2.05)=5,상한6→5",red,즉시발주,,상시,,,,,2,0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Q1031361,SEO26FF,계획품,master.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,5,0;0;1;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1031708,SEO26FF,보험품,master.csv,B,1,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한0→1",green,여유,FM Main Motor,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1032182,SEO26FF,보험품,classification_result.csv,A,2,1,558639,발주,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한2,기준1→2",yellow,발주임박,FM Roll Alignment,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Q1032374,SEO26FF,보험품,classification_result.csv,S,3,3,625842,발주,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한4,기준2→3",red,즉시발주,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1033612,SEO26FF,보험품,classification_result.csv,B,1,0,0,감축,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한0→1",gray,충분,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1033796,SEO26FF,계획품,master.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1033995,SEO26FF,계획품,classification_result.csv,A,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
Q1034231,SEO26FF,보험품,classification_result.csv,A,3,0,0,유지,"비핵심보험[A] μ_LT+SS(Z2.05)=3,상한4→3",green,여유,,상시,,,,,2,0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Q1034310,SEO26FF,보험품,classification_result.csv,C,4,2,639626,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한15→4",yellow,발주임박,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1034397,SEO26FF,계획품,classification_result.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고충분,FM Main Motor,대수리,2026-09-04,2026-04-17,-139,0,2,0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1035525,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,9,2;0;4;0;2;0;0;3;0;5;0;3;0;0;3;0;3;0;0;0;0;0;0;0
Q1036694,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1036702,SEO26FF,보험품,classification_result.csv,C,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한3→2",gray,충분,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1036822,SEO26FF,보험품,classification_result.csv,B,2,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",green,여유,,상시,,,,,2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Q1036844,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1036971,SEO26FF,계획품,master.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;0;0;0;0;0;0;0
Q1039075,SEO26FF,계획품,classification_result.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,3,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Q1039284,SEO26FF,보험품,classification_result.csv,S,2,2,10870000,발주,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준1→2",red,즉시발주,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1039371,SEO26FF,보험품,classification_result.csv,S,2,1,1179555,발주,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준1→2",yellow,발주임박,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Q1039945,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Q1039948,SEO26FF,계획품,classification_result.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,3,0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0
Q1039950,SEO26FF,계획품,classification_result.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,3,0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1039951,SEO26FF,계획품,master.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,5,0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Q1040012,SEO26FF,계획품,classification_result.csv,S,0,0,0,유지,핵심설비 계획품이나 3년무소요→0,gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1040051,SEO26FF,보험품,classification_result.csv,S,2,1,3630000,발주,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2",yellow,발주임박,,상시,,,,,3,0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Q1040053,SEO26FF,계획품,master.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,9,1;0;2;0;0;1;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;3;0;0
Q1040054,SEO26FF,보험품,master.csv,B,2,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한3→2",green,여유,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1040058,SEO26FF,계획품,classification_result.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,3,0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Q1040060,SEO26FF,보험품,classification_result.csv,A,9,2,1260000,발주,"비핵심보험[A] μ_LT+SS(Z2.05)=9,상한20→9",yellow,발주임박,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Q1040061,SEO26FF,보험품,master.csv,C,4,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=4,상한10→4",green,여유,,상시,,,,,3,0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Q1040065,SEO26FF,계획품,master.csv,B,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,2,0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
Q1040129,SEO26FF,보험품,classification_result.csv,B,3,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=3,상한4→3",green,여유,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Q1040224,SEO26FF,계획품,classification_result.csv,S,0,0,0,유지,핵심설비 계획품이나 3년무소요→0,gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1040225,SEO26FF,보험품,classification_result.csv,S,2,2,10523682,발주,"핵심보험[S] μ_LT+SS(Z2.58)=2,상한2,기준2→2",red,즉시발주,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1040312,SEO26FF,보험품,master.csv,S,4,4,4480000,발주,"핵심보험[S] μ_LT+SS(Z2.58)=4,상한4,기준1→4",red,즉시발주,,상시,,,,,2,0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Q1040729,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1041363,SEO26FF,보험품,classification_result.csv,B,1,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한1→1",green,여유,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1041364,SEO26FF,보험품,classification_result.csv,C,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2",gray,충분,,상시,,,,,3,0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1041372,SEO26FF,보험품,classification_result.csv,C,2,0,0,감축,"비핵심보험[C] μ_LT+SS(Z1.28)=2,상한6→2",gray,충분,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Q1042306,SEO26FF,보험품,classification_result.csv,S,3,0,0,유지,"핵심보험[S] μ_LT+SS(Z2.58)=3,상한4,기준1→3",green,여유,,상시,,,,,3,0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0
Q1042338,SEO26FF,보험품,classification_result.csv,B,1,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=1,상한2→1",green,여유,,상시,,,,,3,0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1042383,SEO26FF,보험품,classification_result.csv,B,2,0,0,유지,"비핵심보험[B] μ_LT+SS(Z1.65)=2,상한4→2",green,여유,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Q1042421,SEO26FF,보험품,master.csv,S,1,1,5550000,발주,핵심보험[S] 소요無→기준1,red,즉시발주,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1048997,SEO26FF,계획품,classification_result.csv,S,0,0,0,감축,핵심설비 계획품이나 3년무소요→0,gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1049004,SEO26FF,보험품,master.csv,S,1,1,3016846,발주,핵심보험[S] 소요無→기준1,red,즉시발주,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1051490,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1052919,SEO26FF,보험품,classification_result.csv,C,3,1,39000,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한8→3",yellow,발주임박,,상시,,,,,4,0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;4;0;0
Q1052933,SEO26FF,보험품,classification_result.csv,C,3,1,27500,발주,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한10→3",yellow,발주임박,,상시,,,,,3,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0
Q1053112,SEO26FF,계획품,classification_result.csv,A,0,0,0,감축,핵심설비 계획품이나 3년무소요→0,gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1053113,SEO26FF,보험품,classification_result.csv,A,2,0,0,감축,"핵심보험[A] μ_LT+SS(Z2.05)=2,상한4,기준1→2",gray,충분,FM Crop Shear,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1053117,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Q1053133,SEO26FF,계획품,classification_result.csv,C,0,0,0,감축,계획품 원칙0(비핵심설비→수리일정발주),gray,재고불요,,상시,,,,,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1053210,SEO26FF,보험품,classification_result.csv,C,3,0,0,유지,"비핵심보험[C] μ_LT+SS(Z1.28)=3,상한4→3",green,여유,,상시,,,,,2,0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
Q1053247,SEO26FF,보험품,classification_result.csv,A,4,0,0,유지,"핵심보험[A] μ_LT+SS(Z2.05)=4,상한6,기준1→4",green,여유,FM Main Motor,상시,,,,,2,0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
Q1053248,SEO26FF,계획품,classification_result.csv,A,0,0,0,감축,핵심설비 계획품이나 소요비활발(λ0.3)→0,gray,재고충분,FM Main Motor,대수리,2026-09-04,2026-06-02,-93,0,1,0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q1053287,SEO26FF,보험품,classification_result.csv,A,1,0,0,감축,"핵심보험[A] μ_LT+SS(Z2.05)=1,상한1,기준1→1",gray,충분,FM Main Motor,상시,,,,,1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
