eq,kind,stopStart,reStart,hours,crew,factory,line,dept
Table Roller 기어박스,합리화,2026-09-14,2026-09-22,192,,2열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,합리화,2026-09-14,2026-09-22,192,,2열연,가열로라인,SEO26FF
EP 집진기 TR,대수리,2026-11-06,2026-11-16,240,254,3열연,가열로라인,SEO26FF
FM Edge Heater,대수리,2026-11-06,2026-11-16,240,254,3열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,대수리,2026-11-06,2026-11-16,240,254,3열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,대수리,2026-11-06,2026-11-16,240,254,3열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,대수리,2026-11-06,2026-11-16,240,254,3열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,대수리,2026-11-06,2026-11-16,240,254,3열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,대수리,2026-11-06,2026-11-16,240,254,3열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,대수리,2026-11-06,2026-11-16,240,254,3열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,대수리,2026-11-06,2026-11-16,240,254,3열연,조압연 1호기 라인,SEO26FF
Stand Main TR,대수리,2026-11-06,2026-11-16,240,254,3열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,대수리,2026-11-06,2026-11-16,240,254,3열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,대수리,2026-11-06,2026-11-16,240,254,3열연,가열로라인,SEO26FF
EP 집진기 TR,대수리,2026-11-08,2026-11-18,240,254,3열연,가열로라인,SEO26FF
FM Edge Heater,대수리,2026-11-08,2026-11-18,240,254,3열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,대수리,2026-11-08,2026-11-18,240,254,3열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,대수리,2026-11-08,2026-11-18,240,254,3열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,대수리,2026-11-08,2026-11-18,240,254,3열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,대수리,2026-11-08,2026-11-18,240,254,3열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,대수리,2026-11-08,2026-11-18,240,254,3열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,대수리,2026-11-08,2026-11-18,240,254,3열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,대수리,2026-11-08,2026-11-18,240,254,3열연,조압연 1호기 라인,SEO26FF
Stand Main TR,대수리,2026-11-08,2026-11-18,240,254,3열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,대수리,2026-11-08,2026-11-18,240,254,3열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,대수리,2026-11-08,2026-11-18,240,254,3열연,가열로라인,SEO26FF
EP 집진기 TR,합리화,2026-11-16,2026-11-26,240,,3열연,가열로라인,SEO26FF
FM Edge Heater,합리화,2026-11-16,2026-11-26,240,,3열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,합리화,2026-11-16,2026-11-26,240,,3열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,합리화,2026-11-16,2026-11-26,240,,3열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,합리화,2026-11-16,2026-11-26,240,,3열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,합리화,2026-11-16,2026-11-26,240,,3열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,합리화,2026-11-16,2026-11-26,240,,3열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,합리화,2026-11-16,2026-11-26,240,,3열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,합리화,2026-11-16,2026-11-26,240,,3열연,조압연 1호기 라인,SEO26FF
Stand Main TR,합리화,2026-11-16,2026-11-26,240,,3열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,합리화,2026-11-16,2026-11-26,240,,3열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,합리화,2026-11-16,2026-11-26,240,,3열연,가열로라인,SEO26FF
EP 집진기 TR,합리화,2026-11-18,2026-11-26,192,,3열연,가열로라인,SEO26FF
FM Edge Heater,합리화,2026-11-18,2026-11-26,192,,3열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,합리화,2026-11-18,2026-11-26,192,,3열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,합리화,2026-11-18,2026-11-26,192,,3열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,합리화,2026-11-18,2026-11-26,192,,3열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,합리화,2026-11-18,2026-11-26,192,,3열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,합리화,2026-11-18,2026-11-26,192,,3열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,합리화,2026-11-18,2026-11-26,192,,3열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,합리화,2026-11-18,2026-11-26,192,,3열연,조압연 1호기 라인,SEO26FF
Stand Main TR,합리화,2026-11-18,2026-11-26,192,,3열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,합리화,2026-11-18,2026-11-26,192,,3열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,합리화,2026-11-18,2026-11-26,192,,3열연,가열로라인,SEO26FF
EP 집진기 TR,합리화,2026-11-27,2026-12-07,241,,1열연,가열로라인,SEO26FF
EP 집진기 TR,합리화,2026-11-27,2026-12-03,144,,1열연,가열로라인,SEO26FF
FM Edge Heater,합리화,2026-11-27,2026-12-07,241,,1열연,마무리압연 전 엣지히터라인,SEO26FF
FM Edge Heater,합리화,2026-11-27,2026-12-03,144,,1열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,합리화,2026-11-27,2026-12-07,241,,1열연,마무리압연 1호기 라인,SEO26FF
FM Main Motor,합리화,2026-11-27,2026-12-03,144,,1열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,합리화,2026-11-27,2026-12-07,241,,1열연,연속 마무리압연라인,SEO26FF
FM Pinion Stand,합리화,2026-11-27,2026-12-03,144,,1열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,합리화,2026-11-27,2026-12-07,241,,1열연,마무리압연 1호기 라인,SEO26FF
FM Roll Alignment,합리화,2026-11-27,2026-12-03,144,,1열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,합리화,2026-11-27,2026-12-07,241,,1열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,합리화,2026-11-27,2026-12-03,144,,1열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,합리화,2026-11-27,2026-12-07,241,,1열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,합리화,2026-11-27,2026-12-03,144,,1열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,합리화,2026-11-27,2026-12-07,241,,1열연,연속 마무리압연라인,SEO26FF
QOC Servo,합리화,2026-11-27,2026-12-03,144,,1열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,합리화,2026-11-27,2026-12-07,241,,1열연,조압연 1호기 라인,SEO26FF
RM Stand Adjust,합리화,2026-11-27,2026-12-03,144,,1열연,조압연 1호기 라인,SEO26FF
Stand Main TR,합리화,2026-11-27,2026-12-07,241,,1열연,조압연 1호기 라인,SEO26FF
Stand Main TR,합리화,2026-11-27,2026-12-03,144,,1열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,합리화,2026-11-27,2026-12-07,241,,1열연,가열로 입측라인,SEO26FF
Table Roller 기어박스,합리화,2026-11-27,2026-12-03,144,,1열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,합리화,2026-11-27,2026-12-07,241,,1열연,가열로라인,SEO26FF
Walking Beam 기어베어링,합리화,2026-11-27,2026-12-03,144,,1열연,가열로라인,SEO26FF
EP 집진기 TR,대수리,2026-12-04,2026-12-14,240,216,1열연,가열로라인,SEO26FF
FM Edge Heater,대수리,2026-12-04,2026-12-14,240,216,1열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,대수리,2026-12-04,2026-12-14,240,216,1열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,대수리,2026-12-04,2026-12-14,240,216,1열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,대수리,2026-12-04,2026-12-14,240,216,1열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,대수리,2026-12-04,2026-12-14,240,216,1열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,대수리,2026-12-04,2026-12-14,240,216,1열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,대수리,2026-12-04,2026-12-14,240,216,1열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,대수리,2026-12-04,2026-12-14,240,216,1열연,조압연 1호기 라인,SEO26FF
Stand Main TR,대수리,2026-12-04,2026-12-14,240,216,1열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,대수리,2026-12-04,2026-12-14,240,216,1열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,대수리,2026-12-04,2026-12-14,240,216,1열연,가열로라인,SEO26FF
EP 집진기 TR,대수리,2026-12-07,2026-12-17,240,216,1열연,가열로라인,SEO26FF
FM Edge Heater,대수리,2026-12-07,2026-12-17,240,216,1열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,대수리,2026-12-07,2026-12-17,240,216,1열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,대수리,2026-12-07,2026-12-17,240,216,1열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,대수리,2026-12-07,2026-12-17,240,216,1열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,대수리,2026-12-07,2026-12-17,240,216,1열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,대수리,2026-12-07,2026-12-17,240,216,1열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,대수리,2026-12-07,2026-12-17,240,216,1열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,대수리,2026-12-07,2026-12-17,240,216,1열연,조압연 1호기 라인,SEO26FF
Stand Main TR,대수리,2026-12-07,2026-12-17,240,216,1열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,대수리,2026-12-07,2026-12-17,240,216,1열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,대수리,2026-12-07,2026-12-17,240,216,1열연,가열로라인,SEO26FF
EP 집진기 TR,합리화,2026-12-14,2027-01-15,768,,1열연,가열로라인,SEO26FF
FM Edge Heater,합리화,2026-12-14,2027-01-15,768,,1열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,합리화,2026-12-14,2027-01-15,768,,1열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,합리화,2026-12-14,2027-01-15,768,,1열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,합리화,2026-12-14,2027-01-15,768,,1열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,합리화,2026-12-14,2027-01-15,768,,1열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,합리화,2026-12-14,2027-01-15,768,,1열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,합리화,2026-12-14,2027-01-15,768,,1열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,합리화,2026-12-14,2027-01-15,768,,1열연,조압연 1호기 라인,SEO26FF
Stand Main TR,합리화,2026-12-14,2027-01-15,768,,1열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,합리화,2026-12-14,2027-01-15,768,,1열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,합리화,2026-12-14,2027-01-15,768,,1열연,가열로라인,SEO26FF
EP 집진기 TR,합리화,2026-12-17,2027-01-15,696,,1열연,가열로라인,SEO26FF
FM Edge Heater,합리화,2026-12-17,2027-01-15,696,,1열연,마무리압연 전 엣지히터라인,SEO26FF
FM Main Motor,합리화,2026-12-17,2027-01-15,696,,1열연,마무리압연 1호기 라인,SEO26FF
FM Pinion Stand,합리화,2026-12-17,2027-01-15,696,,1열연,연속 마무리압연라인,SEO26FF
FM Roll Alignment,합리화,2026-12-17,2027-01-15,696,,1열연,마무리압연 1호기 라인,SEO26FF
FM Screw Down,합리화,2026-12-17,2027-01-15,696,,1열연,마무리압연 1호기 라인,SEO26FF
FM Spindle 감속기,합리화,2026-12-17,2027-01-15,696,,1열연,마무리압연 1호기 라인,SEO26FF
QOC Servo,합리화,2026-12-17,2027-01-15,696,,1열연,연속 마무리압연라인,SEO26FF
RM Stand Adjust,합리화,2026-12-17,2027-01-15,696,,1열연,조압연 1호기 라인,SEO26FF
Stand Main TR,합리화,2026-12-17,2027-01-15,696,,1열연,조압연 1호기 라인,SEO26FF
Table Roller 기어박스,합리화,2026-12-17,2027-01-15,696,,1열연,가열로 입측라인,SEO26FF
Walking Beam 기어베어링,합리화,2026-12-17,2027-01-15,696,,1열연,가열로라인,SEO26FF
